company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
american express co,AXP,2023-10-01,2023-12-31,28057000000.0,-9352.333333333334,-639.3333333333334,0.8925463792760084,1.1203899575629368,-8.951249037085947,151.45,148.67,149.19,187.75,186.53,187.34
american express co,AXP,2023-07-01,2023-09-30,27324000000.0,37.32786885245902,3.329234972677596,0.8909600258592824,1.1223848107389043,-0.002461901679487372,174.24,173.33,174.2,151.45,148.67,149.19
american express co,AXP,2023-04-01,2023-06-30,26703000000.0,36.08513513513513,2.9175675675675676,0.8909654395191585,-9.171403962101637,0.04977880672876702,163.67,161.75,164.95,170.58,170.32,172.08
american express co,AXP,2023-01-01,2023-03-31,25992000000.0,34.98250336473755,2.4253028263795424,0.8897906225354263,-9.073638042474608,0.07924566460214981,146.01,145.73,147.75,163.96,161.81,162.41
american express co,AXP,2022-10-01,2022-12-31,24711000000.0,-24711.0,-1558.0,0.8917864368480517,1.1213447061769861,-40.58224163027656,137.4,134.615,134.91,146.01,145.73,147.75
american express co,AXP,2022-07-01,2022-09-30,23940000000.0,32.00534759358289,2.4933155080213902,0.8886071237465974,1.1253567220840424,0.07545114208481823,136.7,134.3,138.62,138.39,135.84,137.79
american express co,AXP,2022-04-01,2022-06-30,23235000000.0,30.897606382978722,2.591755319148936,0.8868230572143908,-8.835721971164192,0.04690353854046572,189.53,186.94,187.0,141.65,138.45,139.47
american express co,AXP,2022-01-01,2022-03-31,22383000000.0,29.568031704095112,2.7542932628797887,0.8857205583523092,-8.750480275208863,0.03637535514720504,164.62,164.0,164.16,191.39,188.4,189.76
american express co,AXP,2021-10-01,2021-12-31,22177000000.0,-3168.1428571428573,-241.42857142857142,0.8823800835861425,1.1332984714884204,-0.3028392214128072,172.18,167.41,167.53,164.62,164.0,164.16
american express co,AXP,2021-07-01,2021-09-30,24426000000.0,31.076335877862597,2.286259541984733,0.867438036263778,1.1528200957237151,-0.04571448112276383,163.7,163.7,165.23,172.89,170.4,171.54
american express co,AXP,2021-04-01,2021-06-30,25539000000.0,31.883895131086142,2.8277153558052435,0.8634080856594267,-7.321077567641646,-0.08624168732991999,142.98,141.35,141.44,165.57,163.23,164.25
american express co,AXP,2021-01-01,2021-03-31,24449000000.0,30.4092039800995,2.762437810945274,0.8733652048252679,-7.8967237923841465,0.004789767643280548,119.71,119.16,120.91,142.9,142.61,143.49
american express co,AXP,2020-10-01,2020-12-31,22984000000.0,,,0.8798956977953357,1.136498340093715,,98.23,98.23,100.25,118.25,118.15,119.43
american express co,AXP,2020-07-01,2020-09-30,21869000000.0,27.200248756218905,1.314676616915423,0.8832152259704473,1.1322268577302135,-0.047579646373062466,94.16,93.5656,95.2,98.74,97.23,97.75
american express co,AXP,2020-04-01,2020-06-30,21062000000.0,26.196517412935325,0.29850746268656714,0.8883292331184255,-8.954895071693096,0.008822907919818298,89.94,85.07,85.61,94.44,93.34,94.52
american express co,AXP,2020-01-01,2020-03-31,21006000000.0,26.029739776951672,0.41511771995043373,0.8871009351821993,-8.85746929448729,-0.054016852899188575,124.29,123.78,124.49,88.51,85.27,90.27
american express co,AXP,2019-10-01,2019-12-31,23071000000.0,-4614.2,-338.6,0.8836683961859814,1.1316462196861625,-2.390592188156237,119.05,118.14,118.28,125.2,124.18,124.3
american express co,AXP,2019-07-01,2019-09-30,23025000000.0,27.90909090909091,2.101818181818182,0.8814268940798418,1.1345240390514084,-0.0038814405215563796,124.29,123.2,123.44,119.13,117.98,118.59
american express co,AXP,2019-04-01,2019-06-30,23092000000.0,27.688249400479616,2.0887290167865706,0.88313942602086,-8.5572059587736,,,,,124.29,123.2,123.44
american express co,AXP,2019-01-01,2019-03-31,22218000000.0,26418549.346016645,1818073.7217598096,0.8873286577109735,-8.875371320550904,,,,,,,
american express co,AXP,2018-10-01,2018-12-31,22290000000.0,-7430.0,-670.0,0.8818146149033415,1.1340252056375968,,,,,,,
american express co,AXP,2018-07-01,2018-09-30,21460000000.0,25.011655011655012,1.9044289044289044,0.8865102701330569,1.1280185167509784,,,,,,,
