company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"lake shore bancorp, inc.",LSBK,2023-10-01,2023-12-31,86273000.0,-33845.82189093762,-293.8407218517066,0.8810221232957947,1.135045277023378,-253.72772401096,10.16,10.02,10.16,11.5203,11.5203,11.71
"lake shore bancorp, inc.",LSBK,2023-07-01,2023-09-30,81857000.0,14.001426193136792,0.2687154494962911,0.885284130483223,1.1295808493191453,0.016159640184908973,11.04,10.77,10.77,10.16,10.02,10.16
"lake shore bancorp, inc.",LSBK,2023-04-01,2023-06-30,83394000.0,14.264552943430308,0.139576890445825,0.8832083871934525,-8.562258675684102,-0.2911422512844333,10.06,10.06,10.09,,,
"lake shore bancorp, inc.",LSBK,2023-01-01,2023-03-31,83315000.0,14.164763495288641,0.2863045277088888,0.8859190897078658,-8.76570845586029,0.39546650372884967,11.985,11.92,12.07,,,
"lake shore bancorp, inc.",LSBK,2022-10-01,2022-12-31,81184000.0,18954.93812748074,278.3095960775158,0.8840086067716891,1.1312107058005916,7.351646432219415,13.18,13.18,13.18,11.985,11.92,12.07
"lake shore bancorp, inc.",LSBK,2022-07-01,2022-09-30,78162000.0,13.271156094243851,0.30069877233061926,0.8876543706735965,1.126564610098354,,,,,13.01,13.01,13.15
"lake shore bancorp, inc.",LSBK,2022-04-01,2022-06-30,80614000.0,13.656334829057801,0.2852763521489237,0.8839242903116653,-8.615066861835412,,,,,,,
"lake shore bancorp, inc.",LSBK,2022-01-01,2022-03-31,82663000.0,14.173626626110007,0.18192199472923457,0.8831539100885997,-8.558266697313186,-0.017191487613094063,15.17,15.17,15.17,,,
"lake shore bancorp, inc.",LSBK,2021-10-01,2021-12-31,87976000.0,-4518.54134565999,-93.22033898305085,0.8767392562267159,1.1405899677673497,-8.49792221132745,14.85,14.85,14.92,15.17,15.17,15.17
"lake shore bancorp, inc.",LSBK,2021-07-01,2021-09-30,86491000.0,14.7057098266637,0.28751379122554155,0.8780628443497042,1.138870647397229,-0.027808933565248505,14.9,14.69,14.9,,,
"lake shore bancorp, inc.",LSBK,2021-04-01,2021-06-30,86444000.0,14.603990671718698,0.1677590432767649,0.8783987756037931,-8.223601406691037,0.030983895807611968,15.0,14.99,14.99,14.91,14.9,14.9
"lake shore bancorp, inc.",LSBK,2021-01-01,2021-03-31,85960000.0,14.537186939328553,0.28546732845028616,0.8781996330119236,-8.210155886458818,0.24706525976523738,13.026,13.0,13.0,14.65,14.65,15.05
"lake shore bancorp, inc.",LSBK,2020-10-01,2020-12-31,85924000.0,-6598.8787343522,-95.46117809692036,0.874782862139318,1.143140821888598,,,,,13.18,12.975,12.975
"lake shore bancorp, inc.",LSBK,2020-07-01,2020-09-30,84887000.0,14.287036694190395,0.20718534252062595,0.8756531407151112,1.1420046974117395,0.02746487837654678,12.25,12.25,12.25,13.4,13.4,13.4
"lake shore bancorp, inc.",LSBK,2020-04-01,2020-06-30,84508000.0,14.138955542966476,0.2263691822032665,0.8753208892246136,-8.02058976664931,0.7728531192753436,10.2,10.2,10.5,12.55,12.25,12.25
"lake shore bancorp, inc.",LSBK,2020-01-01,2020-03-31,83831000.0,14.002655511890923,0.1221021004066785,0.8665804057129579,-7.495150958475981,,,,,10.2,9.81,10.21
"lake shore bancorp, inc.",LSBK,2019-10-01,2019-12-31,82840000.0,-9354.110207768745,-132.33965672990064,0.8643899101116606,1.1568853225864488,-98.62746342067656,14.95,14.55,14.55,,,
"lake shore bancorp, inc.",LSBK,2019-07-01,2019-09-30,82459000.0,13.77103695028121,0.20240964338326717,0.8618349069644697,1.1603150347230322,0.18602866492607636,14.95,14.95,14.95,15.01,14.9,14.9
"lake shore bancorp, inc.",LSBK,2019-04-01,2019-06-30,81664000.0,13.579887850852709,0.1338632655752404,0.858725512583643,-7.078418887147335,,,,,14.95,14.95,14.95
"lake shore bancorp, inc.",LSBK,2019-01-01,2019-03-31,81062000.0,13.438119120864329,0.1488666819290934,0.8538098492868311,-6.840406108904295,,,,,,,
"lake shore bancorp, inc.",LSBK,2018-10-01,2018-12-31,79804000.0,-7660.203493952774,-95.9877135726627,0.8537606192322634,1.1712885057865998,,,,,,,
"lake shore bancorp, inc.",LSBK,2018-07-01,2018-09-30,78801000.0,12.971885441268148,0.17416345981474474,0.8557162553350435,1.168611667436964,,,,,,,
"lake shore bancorp, inc.",LSBK,2018-04-01,2018-06-30,78529000.0,12.905898808773493,0.1653317144192099,0.8554642852541509,1.16895587254459,,,,,,,
"lake shore bancorp, inc.",LSBK,2018-01-01,2018-03-31,78193000.0,12.81972880403356,0.15345703784962095,0.8524894167716814,1.1730350903204534,,,,,,,
"lake shore bancorp, inc.",LSBK,2017-10-01,2017-12-31,78375000.0,87374.58193979933,646.5997770345597,0.8489817467826127,1.1778816255940736,,,,,,,
"lake shore bancorp, inc.",LSBK,2017-07-01,2017-09-30,78161000.0,12.781555287368727,0.15371684049751927,0.8475683603082138,1.1798458352508054,,,,,,,
"lake shore bancorp, inc.",LSBK,2017-04-01,2017-06-30,77408000.0,12.642581825308682,0.18651597308420984,0.846693152605749,1.181065415401601,,,,,,,
"lake shore bancorp, inc.",LSBK,2017-01-01,2017-03-31,76601000.0,12.577768509685248,0.11756611862684087,0.844895488056501,1.1835783409144287,,,,,,,
"lake shore bancorp, inc.",LSBK,2016-10-01,2016-12-31,76030000.0,5253.59314538419,9.673852957435047,0.8445747320994166,1.184027845012877,,,,,,,
"lake shore bancorp, inc.",LSBK,2016-07-01,2016-09-30,77326000.0,12.810746673390737,0.12541364135939773,0.8383758577516925,1.192782438513606,,,,,,,
"lake shore bancorp, inc.",LSBK,2016-04-01,2016-06-30,77045000.0,12.836013410297767,0.11062512693150389,0.83948289512063,1.1912095002916103,,,,,,,
"lake shore bancorp, inc.",LSBK,2016-01-01,2016-03-31,75828000.0,12.718823886188767,0.3277494048849086,0.8401227943300393,1.190302187667049,,,,,,,
"lake shore bancorp, inc.",LSBK,2015-10-01,2015-12-31,73876000.0,61820.92050209205,697.907949790795,0.8439409782734983,1.1849169855998238,,,,,,,
"lake shore bancorp, inc.",LSBK,2015-07-01,2015-09-30,73345000.0,12.464638629996095,0.21005240093633068,0.8447057677690097,1.1838441717299324,,,,,,,
"lake shore bancorp, inc.",LSBK,2015-04-01,2015-06-30,71846000.0,12.186186116913841,0.11856114600287804,0.8508156281665809,1.1753427733278665,,,,,,,
"lake shore bancorp, inc.",LSBK,2015-01-01,2015-03-31,72525000.0,12.29936892917395,0.09649556595242989,0.8498282420224166,1.1767083635867472,,,,,,,
"lake shore bancorp, inc.",LSBK,2014-07-01,2014-09-30,69727000.0,12.098204936411854,0.11937362852627183,0.8567018847605875,1.1672671880247565,,,,,,,
"lake shore bancorp, inc.",LSBK,2014-04-01,2014-06-30,69034000.0,12.09850129582986,0.15755356295377704,0.8592900295956887,1.1637514291542728,,,,,,,
"lake shore bancorp, inc.",LSBK,2014-01-01,2014-03-31,67410000.0,11.827708138975659,0.13598091985916236,0.8618622064751195,1.1602782817103008,,,,,,,
"lake shore bancorp, inc.",LSBK,2013-10-01,2013-12-31,65271000.0,360613.2596685083,5806.629834254144,0.8646298896440445,1.156564227049432,,,,,,,
"lake shore bancorp, inc.",LSBK,2013-07-01,2013-09-30,65370000.0,11.462348019119695,0.1728908543192905,0.8653369974085046,1.1556191437495238,,,,,,,
"lake shore bancorp, inc.",LSBK,2013-04-01,2013-06-30,64795000.0,11.364106715793328,0.14030844004374818,0.8674845898045247,1.1527582296595444,,,,,,,
"lake shore bancorp, inc.",LSBK,2013-01-01,2013-03-31,66993000.0,11.754026042976157,0.15895910908507452,0.8627774693931058,1.1590474200762557,,,,,,,
"lake shore bancorp, inc.",LSBK,2012-10-01,2012-12-31,66985000.0,-187108.93854748603,-2405.027932960894,0.8611384635158078,1.1612534364302531,,,,,,,
"lake shore bancorp, inc.",LSBK,2012-07-01,2012-09-30,67056000.0,11.749008957708229,0.15120786701417027,0.8655472968502185,1.1553383664174834,,,,,,,
"lake shore bancorp, inc.",LSBK,2012-03-31,2012-06-30,,,,,,,,,,,,
"lake shore bancorp, inc.",LSBK,2012-01-01,2012-03-31,64338000.0,,,0.8697977694535344,1.1496925321253324,,,,,,,
"lake shore bancorp, inc.",BARI,2011-10-01,2011-12-31,63947000.0,,,0.8691211775757935,1.150587542682209,,,,,,,
"lake shore bancorp, inc.",BARI,2011-07-01,2011-09-30,63041000.0,,,0.8723442600377453,1.1463364245174619,,,,,,,
"lake shore bancorp, inc.",BARI,2011-04-01,2011-06-30,59117000.0,,,0.8777167111738096,1.139319768291361,,,,,,,
"lake shore bancorp, inc.",BARI,2011-01-01,2011-03-30,,,,,,,,,,,,
