company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
benchmark electronics inc,BHE,2023-10-01,2023-12-31,1079085000.0,34809.1935483871,566.1935483870968,0.52562583662856,2.292416617265576,-140.2932076604744,24.71,24.18,24.26,28.14,27.61,27.64
benchmark electronics inc,BHE,2023-07-01,2023-09-30,1063049000.0,29.821555811148205,0.5726148062950599,0.5443707956427911,2.4417954982377443,-0.0011365776339244916,25.99,25.73,25.83,24.71,24.18,24.26
benchmark electronics inc,BHE,2023-04-01,2023-06-30,3355192000.0,94.19933741366725,0.39280700769273963,-0.45406101852987457,2.384001850618004,0.021654419920064893,23.23,23.23,23.69,25.41,25.41,25.85
benchmark electronics inc,BHE,2023-01-01,2023-03-31,3313274000.0,93.76482906950419,0.34978492189268734,-0.45405257854657677,2.3752772654288816,0.07165706492217323,26.47,26.24,26.69,23.23,23.03,23.18
benchmark electronics inc,BHE,2022-10-01,2022-12-31,1026416000.0,-205283.2,-4243.8,0.539172220024774,2.2054059610004058,-155.61424569827932,24.99,24.72,24.78,26.47,26.24,26.69
benchmark electronics inc,BHE,2022-07-01,2022-09-30,1000617000.0,28.466245626013485,0.5356604364029472,0.560459510996452,2.0122546825303336,0.03747834147766026,22.01,21.6701,22.56,24.92,24.44,24.86
benchmark electronics inc,BHE,2022-04-01,2022-06-30,3152558000.0,89.67084791080012,0.4898313280427795,-0.4549473067240174,2.0396342783774353,,24.86,24.8,25.04,22.6,22.015,22.26
benchmark electronics inc,BHE,2022-01-01,2022-03-30,,,249.0909090909091,,,,27.4,27.03,27.08,25.58,25.58,25.9
benchmark electronics inc,BHE,2021-10-01,2021-12-31,973802000.0,-6449.019867549669,-82.24503311258277,0.48851713343277936,2.0601789169017484,1.7020327951478496,27.33,26.7,26.71,27.4,27.03,27.08
benchmark electronics inc,BHE,2021-07-01,2021-09-30,962336000.0,27.16698190441239,0.227676933066087,0.47709531690978857,2.131081412068934,-0.01766813777175049,28.54,28.36,28.46,27.51,27.0,27.12
