company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"brightspire capital, inc.",BRSP,2023-10-01,2023-12-31,1278466000.0,27792.739130434784,-354.5217391304348,0.6954767386632633,1.4378626119430589,-562.9642389581754,6.31,6.25,6.26,7.63,7.44,7.44
"brightspire capital, inc.",BRSP,2023-07-01,2023-09-30,1315294000.0,10.340605517425725,0.09530885162385905,0.6978194563528275,1.433035423269118,-0.04466158723988985,6.83,6.71,6.73,6.31,6.25,6.26
"brightspire capital, inc.",BRSP,2023-04-01,2023-06-30,1322542000.0,10.399550218993026,-0.05886469612260464,0.6962991930885633,-3.292714333457841,-0.33092340150134414,5.75,5.705,5.9,6.64,6.63,6.78
"brightspire capital, inc.",BRSP,2023-01-01,2023-03-31,1354571000.0,10.694122291082778,-0.0325820076579955,0.7057847143350812,-3.398871672285912,-0.1466287235836835,6.16,6.11,6.23,5.8,5.67,5.74
"brightspire capital, inc.",BRSP,2022-10-01,2022-12-31,1389024000.0,-5578.409638554217,-15.176706827309237,0.7075978409347108,1.4132321244494424,248.77823795180723,6.4,6.31,6.31,6.16,6.11,6.23
"brightspire capital, inc.",BRSP,2022-07-01,2022-09-30,1403208000.0,11.086944154735944,-0.1616810467431497,0.7572516168140356,1.3205650246179377,-0.009333222717360388,7.52,7.41,7.55,6.64,6.23,6.38
"brightspire capital, inc.",BRSP,2022-04-01,2022-06-30,1453349000.0,11.375974513917155,0.26300134631641564,0.7511427902163185,-4.018368609329212,,9.28,9.23,9.25,7.76,7.61,7.65
"brightspire capital, inc.",BRSP,2022-01-01,2022-03-30,,,95.94594594594595,,,,9.51,9.51,9.85,9.55,9.42,9.52
"brightspire capital, inc.",BRSP,2021-07-01,2021-09-30,1679293000.0,13.048829384659616,-0.5443730428228419,0.6934788461556013,1.4420050525602077,0.1060925534718844,9.35,9.26,9.4,9.44,9.36,9.47
"brightspire capital, inc.",BRSP,2021-04-01,2021-06-30,1787691000.0,13.933896085675537,-0.15370465634694228,0.6714880031048647,-3.0440288618111295,,,,,9.6,9.47,9.48
