company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"blackstone mortgage trust, inc.",BXMT,2023-10-01,2023-12-31,4387504000.0,85628.21288471672,-46.39044477839146,0.8174624934130543,1.2232977146447643,-391.1090457800561,21.98,21.46,21.75,21.81,21.26,21.27
"blackstone mortgage trust, inc.",BXMT,2023-07-01,2023-09-30,4493521000.0,26.027048843938164,0.17100678734302796,0.8131080691976461,1.2298488206946143,-0.1731105128476118,20.71,20.5646,20.81,21.98,21.46,21.75
"blackstone mortgage trust, inc.",BXMT,2023-04-01,2023-06-30,4566189000.0,26.452966518598558,0.5937883230976196,0.8163433273929602,-5.4449423797394285,-0.24390301726472596,17.69,17.4502,17.85,20.11,20.0,20.58
"blackstone mortgage trust, inc.",BXMT,2023-01-01,2023-03-31,4560699000.0,26.42376955761031,0.6868895368170642,0.8203435426770548,-5.566179000192734,-0.011927204582988448,21.24,20.87,21.17,17.625,17.37,17.56
"blackstone mortgage trust, inc.",BXMT,2022-10-01,2022-12-31,4544200000.0,13856.803073733,-144.96859181557602,0.8207697922042629,1.2183684261995018,-8.166140629396102,24.05,23.33,23.34,21.24,20.87,21.17
"blackstone mortgage trust, inc.",BXMT,2022-07-01,2022-09-30,4683907000.0,27.39577505011146,0.6038771032011967,0.811122340674559,1.2328596437972148,-0.06216485467056222,27.53,27.29,27.67,24.84,23.68,23.93
"blackstone mortgage trust, inc.",BXMT,2022-04-01,2022-06-30,4662987000.0,27.322360057783406,0.5499936686128096,0.8167298772833514,-5.456426749634944,0.29557562214876887,31.8,31.75,31.79,28.11,27.7,27.89
"blackstone mortgage trust, inc.",BXMT,2022-01-01,2022-03-31,4669837000.0,27.59069429466386,0.5923816574466908,0.8059799805067472,-5.154107306100834,0.25772313287562437,31.18,30.86,30.88,32.2,31.82,31.89
"blackstone mortgage trust, inc.",BXMT,2021-10-01,2021-12-31,4618711000.0,,,0.7965620311664975,1.2553950111525964,,30.83,30.315,30.32,31.18,30.86,30.88
"blackstone mortgage trust, inc.",BXMT,2021-07-01,2021-09-30,4270552000.0,,,0.7937516468758234,1.259839905763928,,32.05,31.83,31.89,30.58,30.42,30.75
"blackstone mortgage trust, inc.",BXMT,2021-04-01,2021-06-30,3956955000.0,,,0.7789626342054773,-4.5241219574142235,,31.17,31.0,31.0,32.7,32.12,32.12
"blackstone mortgage trust, inc.",BXMT,2021-01-01,2021-03-31,3904093000.0,,,0.7750413000274853,-4.445260397229267,,27.37,27.13,27.53,31.41,31.17,31.38
"blackstone mortgage trust, inc.",BXMT,2020-10-01,2020-12-31,3904231000.0,,,0.7697835155526976,1.2990665294800565,,22.2,21.85,21.97,27.79,27.43,27.5
"blackstone mortgage trust, inc.",BXMT,2020-07-01,2020-09-30,3903952000.0,,,0.7686794253224722,1.300932439528332,,23.96,23.821,24.09,22.45,21.665,22.18
"blackstone mortgage trust, inc.",BXMT,2020-04-01,2020-06-30,3895784000.0,,,0.7794396834580158,-4.533907167337819,,19.31,18.15,18.62,23.75,23.08,24.13
"blackstone mortgage trust, inc.",BXMT,2020-01-01,2020-03-31,3674427000.0,,,0.7807371114928439,-4.5607353200920855,,37.2,37.18,37.22,20.11,17.46,19.5
"blackstone mortgage trust, inc.",BXMT,2019-10-01,2019-12-31,3784681000.0,,,0.7713442184270286,1.296438057238907,,35.84,35.75,35.85,37.67,37.2,37.23
"blackstone mortgage trust, inc.",BXMT,2019-07-01,2019-09-30,3760617000.0,,,0.7506621618181066,1.3321571951595326,,35.42,35.42,35.58,35.92,35.675,35.74
"blackstone mortgage trust, inc.",BXMT,2019-04-01,2019-06-30,3776425000.0,,,0.7407192610451737,-3.8568233183500267,,,,,35.42,35.42,35.58
"blackstone mortgage trust, inc.",BXMT,2019-01-01,2019-03-31,3451589000.0,,,0.7667249473176257,-4.286785014090611,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2018-10-01,2018-12-31,3374607000.0,,,0.766743655984586,1.304216855522445,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2018-07-01,2018-09-30,3307993000.0,,,0.7336446991519368,1.3630576233372353,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2018-04-01,2018-06-30,3028662000.0,,,0.7554048517619478,1.3237934568033882,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2018-01-01,2018-03-31,2926511000.0,,,0.738967505077471,1.3532394768768123,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2017-10-01,2017-12-31,2917406000.0,,,0.7156198687471519,1.397389932382282,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2017-07-01,2017-09-30,2525792000.0,,,0.7416576206998586,1.3483310520781258,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2017-04-01,2017-06-30,2506473000.0,,,0.7421082101530514,1.3475123793520103,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2017-01-01,2017-03-31,2495982000.0,,,0.7212644278246665,1.3864540679151474,,,,,,,
"blackstone mortgage trust, inc.",BXMT,2016-10-01,2016-12-31,2493603000.0,,,0.7170416499529367,1.3946191271673483,,,,,,,
