company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
cf bankshares inc.,CFBK,2023-10-01,2023-12-31,155374000.0,36949.82164090368,1007.1343638525565,0.9245249840305254,1.0816365347320702,837.4394377695352,16.75,16.75,16.75,19.5,19.5,19.5
cf bankshares inc.,CFBK,2023-07-01,2023-09-30,151270000.0,23.528595635100988,0.6269833344687782,0.9240784721539088,1.0821591781801039,0.24651166422697737,15.27,14.74,15.0,16.75,16.75,16.75
cf bankshares inc.,CFBK,2023-04-01,2023-06-30,147341000.0,22.95637243789443,0.6579618762274464,0.9249351325547711,-13.321811308461324,0.22702472444837582,19.75,19.5,19.5,15.545,15.515,15.515
cf bankshares inc.,CFBK,2023-01-01,2023-03-31,143333000.0,22.385791590502738,0.6946899945899142,0.9257461236796162,-13.467310389093928,0.7732712818064218,20.53,20.53,21.18,19.68,19.68,19.68
cf bankshares inc.,CFBK,2022-10-01,2022-12-31,139248000.0,-12334.839224023386,-413.76561254318364,0.9234974238726628,1.0828400536371023,-191.63577392047736,20.97,20.62,20.62,20.53,20.53,21.18
cf bankshares inc.,CFBK,2022-07-01,2022-09-30,134872000.0,21.095072503754185,0.6645779929744612,0.9235437704997953,1.0827857129704082,,20.77,20.77,21.0,20.525,20.525,20.525
cf bankshares inc.,CFBK,2022-03-31,2022-06-30,,,,,,,22.5,22.13,22.13,,,
cf bankshares inc.,CFBK,2022-01-01,2022-03-31,128342000.0,19.997566174879218,0.7039706719398505,0.9168874397339715,1.0906464159768,0.3375278526094531,20.6,20.6,21.215,22.5,22.13,22.13
cf bankshares inc.,CFBK,2021-10-01,2021-12-31,125330000.0,-6275.913870806209,-223.68552829243865,0.9162002395043023,1.0914644603684414,-358.43142002380864,19.11,19.11,20.45,20.6,20.6,21.215
cf bankshares inc.,CFBK,2021-07-01,2021-09-30,123169000.0,18.91850461961163,0.6260652017109581,0.9090974171855027,1.0999921252619163,-1.2286798419846665,19.26,19.05,19.48,,,
cf bankshares inc.,CFBK,2021-04-01,2021-06-30,119859000.0,18.337096350266247,0.5337782658463606,0.9205063600085158,-12.579622723366622,-0.8105860501597282,19.79,19.5928,19.96,19.31,19.26,19.26
