company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
community healthcare trust inc,CHCT,2023-10-01,2023-12-31,513256000.0,1958.9923664122136,15.049618320610687,0.4571086468121835,2.1876637140291932,-0.1347103726986978,29.41,29.23,29.7,26.96,26.62,26.64
community healthcare trust inc,CHCT,2023-07-01,2023-09-30,522294000.0,20.470878733244493,0.11248726189542996,0.45316743550065647,2.2066898935383708,0.045827027092214825,33.02,32.53,33.02,29.41,29.23,29.7
community healthcare trust inc,CHCT,2023-04-01,2023-06-30,505325000.0,20.160582485537603,0.24045481747456612,0.4388183451679464,-1.781954187898877,-0.001259075470735473,36.44,36.12,36.6,32.7,32.49,32.86
community healthcare trust inc,CHCT,2023-01-01,2023-03-31,494515000.0,20.41173071366657,-0.3196433730961324,0.44204180554082506,-1.79224897121422,0.009649427062265955,36.09,35.51,35.8,36.0,35.97,36.21
community healthcare trust inc,CHCT,2022-10-01,2022-12-31,496814000.0,9373.849056603774,84.47169811320755,0.4331357503494309,2.3087450047548677,30.779316857230498,31.37,31.26,32.75,36.09,35.51,35.8
community healthcare trust inc,CHCT,2022-07-01,2022-09-30,478486000.0,20.286005002755754,0.20833509984313392,0.41067999788158815,2.4349858896423076,0.009088435665359518,36.05,35.98,36.21,31.54,30.38,31.22
community healthcare trust inc,CHCT,2022-04-01,2022-06-30,472962000.0,20.059462210535244,0.20849944863856137,0.3982932036018798,-1.6619390141279848,0.010939104298011704,42.16,41.94,42.21,35.82,35.51,36.49
community healthcare trust inc,CHCT,2022-01-01,2022-03-31,471114000.0,19.987865931268562,0.20644887568943573,0.3811147747724078,-1.615808487966819,-0.006350573156486802,47.32,47.28,47.38,42.22,41.65,41.88
community healthcare trust inc,CHCT,2021-10-01,2021-12-31,462112000.0,4530.509803921569,53.88235294117647,0.38730869638427384,2.5819198208961356,-0.6155559758737364,46.65,45.15,45.19,47.32,47.28,47.38
community healthcare trust inc,CHCT,2021-07-01,2021-09-30,461671000.0,19.669009884117248,0.20202794819359238,0.38245593853331766,2.614680278818275,-0.004658881891321883,47.47,47.42,47.46,46.4,46.055,46.3
community healthcare trust inc,CHCT,2021-04-01,2021-06-30,457056000.0,19.70493640870877,0.22259107566285838,0.38688634104527764,-1.6310189561016593,-0.0006685882977531838,46.17,45.67,46.12,48.09,47.61,47.61
community healthcare trust inc,CHCT,2021-01-01,2021-03-31,450086000.0,19.732632704438583,0.2094328337897715,0.3878970938827245,-1.6337122238861017,0.053146529167636,46.93,46.75,47.11,46.81,46.175,46.23
community healthcare trust inc,CHCT,2020-10-01,2020-12-31,429916000.0,1504.2020922990798,16.598439522759875,0.356800248951978,2.8026886274246707,3.3769870575690053,46.98,46.03,46.76,47.1,46.46,47.2
community healthcare trust inc,CHCT,2020-07-01,2020-09-30,409621000.0,18.733099172451976,0.2158586305242488,0.3346765810366559,2.9879592916316833,-0.003154253199809692,40.93,40.37,40.9,46.9,45.98,46.61
community healthcare trust inc,CHCT,2020-04-01,2020-06-30,387103000.0,18.20498199385569,0.19253582711279735,0.36779279573545165,-1.5817598933617152,0.009978862312323093,38.65,37.54,38.28,39.72,38.79,41.16
community healthcare trust inc,CHCT,2020-01-01,2020-03-31,367775000.0,17.737245026650598,0.17728805035134962,0.38370752437352745,-1.622606213037863,0.03050684250203223,42.43,42.4,42.86,35.02,33.635,38.18
community healthcare trust inc,CHCT,2019-10-01,2019-12-31,353411000.0,1048.022489969367,6.562539848228292,0.3717484014214328,2.6899913925019128,1.7335490144382297,44.04,44.04,44.55,42.14,41.96,42.49
community healthcare trust inc,CHCT,2019-07-01,2019-09-30,300947000.0,15.979852706715088,0.12074612823876002,0.4354477443947534,2.2964868066774367,0.051011962225521304,38.96,38.96,39.41,44.11,43.64,44.0
community healthcare trust inc,CHCT,2019-04-01,2019-06-30,279120000.0,15.297877830507494,0.09399491429965733,0.4309480122324159,-1.7573086844368013,,,,,38.96,38.96,39.41
community healthcare trust inc,CHCT,2019-01-01,2019-03-31,269683000.0,15.020214796484703,0.0627134890254179,0.4095351739539772,-1.69358098211604,,,,,,,
community healthcare trust inc,CHCT,2018-10-01,2018-12-31,271659000.0,-10064.426496739774,69.83550681683462,0.3631549335396301,2.7536456416910355,,,,,,,
community healthcare trust inc,CHCT,2018-07-01,2018-09-30,279317000.0,15.807699075042724,0.11313164057687289,0.32743318083313266,3.0540582278667188,,,,,,,
community healthcare trust inc,CHCT,2018-04-01,2018-06-30,276358000.0,15.725673440223089,0.13753519965052288,0.3272425410921555,-1.4864197888246404,,,,,,,
community healthcare trust inc,CHCT,2018-01-01,2018-03-31,279610000.0,15.910722868962642,0.10652291838882037,0.3006043202897536,-1.4298058009370194,,,,,,,
community healthcare trust inc,CHCT,2017-10-01,2017-12-31,283374000.0,304.4472282446373,1.6674151412468226,0.2654251541089676,3.767540432846316,,,,,,,
community healthcare trust inc,CHCT,2017-07-01,2017-09-30,287896000.0,17.725418554110316,0.03564834990006764,0.1893655902170638,5.280790448009754,,,,,,,
community healthcare trust inc,CHCT,2017-04-01,2017-06-30,185414000.0,14.615428454721172,0.03673287702061369,0.4004494672681121,2.4971939826067295,,,,,,,
community healthcare trust inc,CHCT,2017-01-01,2017-03-31,190008000.0,14.977554714447994,0.07196806163051565,0.31595943450227343,3.1649632541445905,,,,,,,
community healthcare trust inc,CHCT,2016-10-01,2016-12-31,194007000.0,399.10595263565,2.1250596580155685,0.2286893360208962,4.372744341295505,,,,,,,
community healthcare trust inc,CHCT,2016-07-01,2016-09-30,197754000.0,15.588140262520255,0.08387077499985614,0.052012425456846464,19.226175115207372,,,,,,,
community healthcare trust inc,CHCT,2016-04-01,2016-06-30,201467000.0,16.735389916634137,0.042198365378201604,0.029603155871742136,33.78018223234624,,,,,,,
community healthcare trust inc,CHCT,2016-01-01,2016-03-31,119594000.0,15.922125715749436,0.015443639171086631,0.33277914774439027,3.00499597639485,,,,,,,
community healthcare trust inc,CHCT,2015-10-01,2015-12-31,122270000.0,130.31207968572483,0.12895854782017424,0.14378549470249224,6.954804461111381,,,,,,,
community healthcare trust inc,CHCT,2015-07-01,2015-09-30,124959000.0,16.636394027412194,-0.008920032969506934,0.016458087367178277,60.76040172166427,,,,,,,
community healthcare trust inc,CHCT,2015-03-31,2015-06-30,,,,,,,,,,,,
community healthcare trust inc,CHCT,2015-01-01,2015-03-30,,,,,,,,,,,,
