company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"c. h. robinson worldwide, inc.",CHRW,2023-10-01,2023-12-31,1418697000.0,74668.26315789473,1630.157894736842,0.728493592687856,1.4038517675255227,-39.8607871895362,87.56,85.76,86.13,86.74,85.93,86.39
"c. h. robinson worldwide, inc.",CHRW,2023-07-01,2023-09-30,1404584000.0,11.856631550513237,0.6917628984332793,0.7358646188262634,1.1168880822088942,-0.019556999783786496,94.7,93.135,94.35,87.56,85.76,86.13
"c. h. robinson worldwide, inc.",CHRW,2023-04-01,2023-06-30,1388107000.0,11.713983122362869,0.8212320675105486,0.7431933444101959,1.1050135597037978,-0.01965632763617461,97.08,96.84,99.37,93.41,93.28,94.28
"c. h. robinson worldwide, inc.",CHRW,2023-01-01,2023-03-31,1381388000.0,11.643919215078053,0.9684328534340335,0.7531288959293614,1.097283189070881,-0.018955637080639014,91.6,90.48,91.56,96.74,96.5,96.65
"c. h. robinson worldwide, inc.",CHRW,2022-10-01,2022-12-31,1353422000.0,-614.9123125851886,-43.70422535211268,0.7727084636255483,1.0801678798814993,3.33234553348816,98.92,96.04,96.31,91.6,90.48,91.56
"c. h. robinson worldwide, inc.",CHRW,2022-07-01,2022-09-30,1677561000.0,13.422635621699472,1.8066730676908305,0.7531375772014839,1.3198949172908334,-0.05034624332502627,101.21,100.328,101.37,98.88,97.14,98.73
"c. h. robinson worldwide, inc.",CHRW,2022-04-01,2022-06-30,2052415000.0,15.98391807172618,2.711615591293174,0.724782864465938,1.4826812020368645,-0.019822974985556234,109.59,107.415,107.71,101.31,100.32,101.45
"c. h. robinson worldwide, inc.",CHRW,2022-01-01,2022-03-31,2095502000.0,16.057609636855453,2.0716480586058132,0.721392390556042,1.4908015722340684,0.001550671144218555,107.58,106.6,107.09,110.88,108.27,109.76
"c. h. robinson worldwide, inc.",CHRW,2021-10-01,2021-12-31,2021934000.0,-2812.147426981919,-320.0250347705146,0.7123076581591187,1.44427512264223,0.03670962435911245,88.58,86.41,87.0,107.58,106.6,107.09
"c. h. robinson worldwide, inc.",CHRW,2021-07-01,2021-09-30,1950800000.0,14.796162160112253,1.8738139481967462,0.7045409040006325,1.3625711283322257,0.010306480114637352,94.21,93.15,93.67,88.83,87.68,88.44
"c. h. robinson worldwide, inc.",CHRW,2021-04-01,2021-06-30,1906170000.0,14.302532357906584,1.454053648471206,0.6772793793481287,1.4392948597247348,-0.012605117347357912,98.14,95.08,95.43,94.29,93.52,94.54
"c. h. robinson worldwide, inc.",CHRW,2021-01-01,2021-03-31,1868187000.0,13.889040057096976,1.2884363755315669,0.6661938815603624,1.482071635229064,0.0037286531398405785,93.24,92.76,93.87,97.5,97.4,97.81
"c. h. robinson worldwide, inc.",CHRW,2020-10-01,2020-12-31,1879933000.0,12788.659863945579,1005.4897959183673,0.6345570148309047,1.5989834388921864,-10.826003631689925,104.11,101.73,102.19,93.82,92.77,93.04
"c. h. robinson worldwide, inc.",CHRW,2020-07-01,2020-09-30,1873359000.0,13.808101952517488,1.0063241223253312,0.6308534380801909,1.6199506070202996,0.006476690387599692,77.79,77.535,79.06,103.61,102.95,103.7
"c. h. robinson worldwide, inc.",CHRW,2020-04-01,2020-06-30,1704328000.0,12.623716761721354,1.066135841789497,0.6468218320741349,1.556087678829674,-0.043485200155353114,64.79,64.23,66.2,77.21,76.835,77.76
"c. h. robinson worldwide, inc.",CHRW,2020-01-01,2020-03-31,1587118000.0,11.715295923941126,0.5768339312340375,0.6726457824566036,1.444341381650944,0.0035265109775669133,77.53,77.18,78.2,62.57,61.94,65.19
c h robinson worldwide inc,CHRW,2019-10-01,2019-12-31,1670730000.0,12.285050405523652,0.7287366633087494,0.640011118149733,1.6966924972269315,-0.011713197740075924,84.23,84.165,84.78,78.28,77.41,77.54
"c. h. robinson worldwide, inc.",CHRW,2019-07-01,2019-09-30,1673096000.0,12.267898518844405,1.077093415456812,0.6391505837639158,1.8709233408174935,-0.011018069902444546,84.33,84.0,84.35,84.59,83.36,83.79
"c. h. robinson worldwide, inc.",CHRW,2019-04-01,2019-06-30,1659311000.0,12.095425884754164,1.2332252068374823,0.645757389505667,1.8087954609246562,,,,,84.33,84.0,84.35
c h robinson worldwide inc,CHRW,2019-01-01,2019-03-31,1652561000.0,11.98776241530895,1.1736184659132125,0.6481999572533489,1.9083882646551917,,,,,,,
c h robinson worldwide inc,CHRW,2018-10-01,2018-12-31,1595087000.0,11.575629367838197,1.358157289345922,0.639724742129262,1.9207631496878232,,,,,,,
c h robinson worldwide inc,CHRW,2018-07-01,2018-09-30,1566603000.0,11.287009085210775,1.267282434058373,0.6513020391646757,1.851122394300391,,,,,,,
c h robinson worldwide inc,CHRW,2018-04-01,2018-06-30,1518159000.0,10.885669420065394,1.1412479206103368,0.6590922564112237,1.8092786446360563,,,,,,,
c h robinson worldwide inc,CHRW,2018-01-01,2018-03-31,1484672000.0,10.602376599634368,1.0161748743144423,0.6553506960436197,1.299137589562828,,,,,,,
c h robinson worldwide inc,CHRW,2017-10-01,2017-12-31,1425745000.0,10.215121944229502,1.0930272547502364,0.6634086699337132,1.2633964443867491,,,,,,,
c h robinson worldwide inc,CHRW,2017-07-01,2017-09-30,1354875000.0,9.648594949509336,0.848770135733717,0.6755247404676898,1.2358875941322116,,,,,,,
c h robinson worldwide inc,CHRW,2017-04-01,2017-06-30,1337208000.0,9.479643558460523,0.7873969417486052,0.6628226357318624,1.2712264964444944,,,,,,,
c h robinson worldwide inc,CHRW,2017-01-01,2017-03-31,1315874000.0,9.300514545814368,0.8628537502473778,0.6514927918841955,1.1146515305744695,,,,,,,
c h robinson worldwide inc,CHRW,2016-10-01,2016-12-31,1257847000.0,8.876142289589376,0.8630452117337398,0.6589128136933063,1.0879787703213601,,,,,,,
c h robinson worldwide inc,CHRW,2016-07-01,2016-09-30,1269668000.0,8.90301589638948,0.9047548926800878,0.6534807544195486,1.0932060671286816,,,,,,,
c h robinson worldwide inc,CHRW,2016-04-01,2016-06-30,1262840000.0,8.831172463950544,1.0006433656414775,0.6229281561746992,1.259910275656623,,,,,,,
c h robinson worldwide inc,CHRW,2016-01-01,2016-03-31,1191806000.0,8.303821633861697,0.8288660512105905,0.6231139585958709,1.2431834000823583,,,,,,,
c h robinson worldwide inc,CHRW,2015-10-01,2015-12-31,1150450000.0,8.017967160101474,0.8822098631206267,0.6387183853071796,1.194740842346077,,,,,,,
c h robinson worldwide inc,CHRW,2015-07-01,2015-09-30,1131363000.0,7.82527770476836,0.9644067562146384,0.6584631546852665,1.1738816980646434,,,,,,,
c h robinson worldwide inc,CHRW,2015-04-01,2015-06-30,1111851000.0,7.640799917534275,0.9429131017420884,0.6733706148094573,1.147225837818574,,,,,,,
c h robinson worldwide inc,CHRW,2015-01-01,2015-03-31,1058020000.0,7.236600913791689,0.7282700883696752,0.6802815403248617,1.1185994030631774,,,,,,,
c h robinson worldwide inc,CHRW,2014-10-01,2014-12-31,1047015000.0,7.178415697674419,0.7743733545414656,0.6742672985852763,1.336069828538068,,,,,,,
c h robinson worldwide inc,CHRW,2014-07-01,2014-09-30,1018717000.0,6.946776591246948,0.8522632734612604,0.6537077501271338,1.372790591648222,,,,,,,
c h robinson worldwide inc,CHRW,2014-04-01,2014-06-30,1010101000.0,6.833040195905998,0.8022675307456063,0.6674133204438699,1.3341744712431465,,,,,,,
c h robinson worldwide inc,CHRW,2014-01-01,2014-03-31,981597000.0,6.609324185110122,0.62745005622252,0.6683982125338832,1.3206059591927208,,,,,,,
c h robinson worldwide inc,CHRW,2013-10-01,2013-12-31,939724000.0,6.229278252107971,0.6161637588163547,0.664721719355306,1.3106377182020834,,,,,,,
c h robinson worldwide inc,CHRW,2013-07-01,2013-09-30,988563000.0,6.299629119828707,0.686555275165048,0.6581221676266994,1.3423667023673453,,,,,,,
c h robinson worldwide inc,CHRW,2013-04-01,2013-06-30,1499065000.0,9.379825801849604,0.6999962457295174,0.48689306514190267,1.339583331768079,,,,,,,
c h robinson worldwide inc,CHRW,2013-01-01,2013-03-31,1489685000.0,9.273610687450587,0.6433324825538326,0.47371368209824205,1.3530834534550638,,,,,,,
c h robinson worldwide inc,CHRW,2012-10-01,2012-12-31,1504372000.0,9.350895077076082,1.5936847339632023,0.4635337749289019,1.3571392051886966,,,,,,,
c h robinson worldwide inc,CHRW,2012-07-01,2012-09-30,1290875000.0,8.028728340237091,0.7235262653779652,0.4245557929573252,1.8401543619510583,,,,,,,
c h robinson worldwide inc,CHRW,2012-04-01,2012-06-30,1278190000.0,7.895569131554726,0.70779000166783,0.42937920954429,1.798722482227145,,,,,,,
c h robinson worldwide inc,CHRW,2012-01-01,2012-03-31,1248113000.0,7.6715839034254705,0.6546071435157014,0.41520790334936525,1.836439502814076,,,,,,,
c h robinson worldwide inc,CHRW,2011-10-01,2011-12-31,1248474000.0,7.663157765515379,0.6703576623966511,0.41606638974650156,1.8383346717893028,,,,,,,
c h robinson worldwide inc,CHRW,2011-07-01,2011-09-30,1268224000.0,7.735525898455608,0.6974589503989069,0.4180958577394723,1.8475871213515198,,,,,,,
c h robinson worldwide inc,CHRW,2011-04-01,2011-06-30,1288426000.0,7.827285595387803,0.6744731390524097,0.4126958875410988,1.8834762166432368,,,,,,,
c h robinson worldwide inc,CHRW,2011-01-01,2011-03-31,1227526000.0,7.43396477798503,0.5876068893679901,0.4144415918455742,1.8574162409789623,,,,,,,
c h robinson worldwide inc,CHRW,2010-10-01,2010-12-31,1204068000.0,7.309386932476977,0.6262467446533397,0.39666853568599275,1.9203661967815222,,,,,,,
c h robinson worldwide inc,CHRW,2010-07-01,2010-09-30,1170580000.0,7.107735091777935,0.6231488059456801,0.40941958060304207,1.8580973672710692,,,,,,,
c h robinson worldwide inc,CHRW,2010-04-01,2010-06-30,1104872000.0,6.706395789959271,0.590146222435341,0.4251129354688656,1.7809948079523032,,,,,,,
c h robinson worldwide inc,CHRW,2010-01-01,2010-03-31,1063095000.0,6.425864361702128,0.5078094777562863,0.4229231568439377,1.7504404412348227,,,,,,,
c h robinson worldwide inc,CHRW,2009-10-01,2009-12-31,1079900000.0,-2283.086680761099,-185.48414376321352,0.411257365416236,1.7863576052155827,,,,,,,
c h robinson worldwide inc,CHRW,2009-07-01,2009-09-30,1118243000.0,6.688416242501091,0.570963748048639,0.39292998551057445,1.8800007449632605,,,,,,,
c h robinson worldwide inc,CHRW,2009-04-01,2009-06-30,1101309000.0,6.556503464863192,0.5492165360893482,0.38940693729621423,1.9083679079722862,,,,,,,
c h robinson worldwide inc,CHRW,2009-01-01,2009-03-30,,,189.74,,,,,,,,,
