company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
cincinnati financial corp,CINF,2023-10-01,2023-12-31,12098000000.0,,,0.6308096066404224,1.5852643800493444,,103.71,101.95,102.29,103.3,102.92,103.46
cincinnati financial corp,CINF,2023-07-01,2023-09-30,10624000000.0,67.7119184193754,-0.6309751434034416,0.6563480511078764,1.5235818835937116,-0.011876876554697905,97.13,96.72,97.32,103.71,101.95,102.29
cincinnati financial corp,CINF,2023-04-01,2023-06-30,11030000000.0,70.2547770700637,3.4012738853503186,0.6481883133452412,1.542761539218581,-0.012813215916988665,111.35,110.97,112.08,95.73,95.4,96.64
cincinnati financial corp,CINF,2023-01-01,2023-03-31,10741000000.0,68.32697201017811,1.4312977099236641,0.6475356041215462,1.5443166269700501,-0.012157359929934112,103.08,101.48,102.39,111.21,109.73,110.36
cincinnati financial corp,CINF,2022-10-01,2022-12-31,10531000000.0,-21062.0,-2026.0,0.645850147968792,1.5483467846914867,3.543863463419937,91.99,89.36,89.57,103.08,101.48,102.39
cincinnati financial corp,CINF,2022-07-01,2022-09-30,9431000000.0,59.68987341772152,-2.6455696202531644,0.6655555161530551,1.502504262574595,-0.019443367266251732,116.86,116.25,118.98,92.06,91.26,91.85
cincinnati financial corp,CINF,2022-04-01,2022-06-30,10553000000.0,66.12155388471177,-5.06265664160401,0.6384968484516306,1.5661784430495198,-0.01283225370703025,138.67,135.58,135.96,118.03,117.28,117.9
cincinnati financial corp,CINF,2022-01-01,2022-03-31,12092000000.0,75.38653366583542,-1.701995012468828,0.6002644628099174,1.6659323714065426,-0.01018305669362649,115.1,113.57,113.67,136.94,136.345,138.15
cincinnati financial corp,CINF,2021-10-01,2021-12-31,13105000000.0,-131050.0,-14700.0,0.5824704495491764,1.7168252926375671,20.76035882101666,117.05,113.62,114.22,115.1,113.57,113.67
cincinnati financial corp,CINF,2021-07-01,2021-09-30,11841000000.0,73.50093109869646,0.9497206703910615,0.6040726251379276,1.6554300896712055,-0.00822232921928557,116.26,115.22,116.62,115.83,115.57,116.35
cincinnati financial corp,CINF,2021-04-01,2021-06-30,11858000000.0,73.6064556176288,4.36374922408442,0.6004313104424301,1.6654694427296706,-0.007950501836862585,104.62,103.04,103.09,117.34,116.155,116.36
cincinnati financial corp,CINF,2021-01-01,2021-03-31,11138000000.0,69.18012422360249,3.8509316770186337,0.606611803765055,1.6485007278020378,-0.01104018627805211,86.64,85.525,87.37,104.04,104.04,105.08
cincinnati financial corp,CINF,2020-10-01,2020-12-31,10789000000.0,-107890.0,-10490.0,0.6082710042843656,1.644004058974512,30.310748853795214,78.52,77.33,77.97,86.14,86.0,86.46
cincinnati financial corp,CINF,2020-07-01,2020-09-30,9745000000.0,60.56556867619639,3.0080795525170916,0.630451270383011,1.5861654135338346,-0.01253669203487688,62.96,62.96,64.03,78.24,76.68,77.89
cincinnati financial corp,CINF,2020-04-01,2020-06-30,9258000000.0,57.57462686567164,5.652985074626866,0.6362278978388998,1.571763833992095,-0.009555397615099109,78.75,74.55,75.45,63.03,62.0,63.75
cincinnati financial corp,CINF,2020-01-01,2020-03-31,8042000000.0,49.580764488286064,-7.558569667077682,0.6558394316771515,1.524763458401305,-0.018435414715289835,104.34,104.1576,105.15,75.85,74.01,79.74
cincinnati financial corp,CINF,2019-10-01,2019-12-31,9864000000.0,,,0.6117758186397985,1.6345856922285127,,116.02,115.52,116.67,104.09,103.725,104.44
cincinnati financial corp,CINF,2019-07-01,2019-09-30,9371000000.0,57.385180649112066,1.518677281077771,0.6212513135558968,1.6096545442716805,-0.0065328955343086,103.11,102.88,103.67,117.0,115.04,115.76
cincinnati financial corp,CINF,2019-04-01,2019-06-30,9131000000.0,55.91549295774648,2.6209430496019595,0.6248099601429922,1.6004866500065764,,,,,103.11,102.88,103.67
cincinnati financial corp,CINF,2019-01-01,2019-03-31,8630000000.0,52.94478527607362,4.263803680981595,0.6304385063377869,1.5861975275098492,,,,,,,
cincinnati financial corp,CINF,2018-10-01,2018-12-31,7833000000.0,-78330.0,4520.0,0.6428994757237292,1.5554531272159977,,,,,,,
cincinnati financial corp,CINF,2018-07-01,2018-09-30,8334000000.0,51.223110018438845,3.398893669330055,0.629270462633452,1.5891418068712004,,,,,,,
cincinnati financial corp,CINF,2018-04-01,2018-06-30,7916000000.0,48.504901960784316,1.329656862745098,0.6362132352941177,1.5718000577867668,,,,,,,
cincinnati financial corp,CINF,2018-01-01,2018-03-31,7946000000.0,48.451219512195124,-0.18902439024390244,0.6299021891010712,1.5875480627033423,,,,,,,
cincinnati financial corp,CINF,2017-10-01,2017-12-31,8243000000.0,-82430.0,-6420.0,0.6226250972851715,1.6061029411764707,,,,,,,
cincinnati financial corp,CINF,2017-07-01,2017-09-30,7523000000.0,45.8719512195122,0.6219512195121951,0.6515839199703594,1.5347217286232142,,,,,,,
cincinnati financial corp,CINF,2017-04-01,2017-06-30,7373000000.0,44.87522824102252,0.6086427267194157,0.6528392504002261,1.5317706455102778,,,,,,,
cincinnati financial corp,CINF,2017-01-01,2017-03-31,7256000000.0,44.08262454434994,1.221142162818955,0.6503638028236881,1.5376009483588946,,,,,,,
cincinnati financial corp,CINF,2016-10-01,2016-12-31,7060000000.0,,,0.6536839007161778,1.529791385261894,,,,,,,
cincinnati financial corp,CINF,2016-07-01,2016-09-30,7121000000.0,43.26245443499393,1.0935601458080195,0.6518699584453679,1.5340482975851208,,,,,,,
cincinnati financial corp,CINF,2016-04-01,2016-06-30,6971000000.0,42.37689969604863,0.7477203647416414,0.6540618331596447,1.528907435508346,,,,,,,
cincinnati financial corp,CINF,2016-01-01,2016-03-31,6735000000.0,41.017052375152254,1.1449451887941535,0.6536740885483622,1.5298143486469478,,,,,,,
cincinnati financial corp,CINF,2015-10-01,2015-12-31,6427000000.0,-64270.0,-1560.0,0.6597310461668784,1.5157691999036995,,,,,,,
cincinnati financial corp,CINF,2015-07-01,2015-09-30,6350000000.0,38.71951219512195,1.0609756097560976,0.6613513945922884,1.5120554793968228,,,,,,,
cincinnati financial corp,CINF,2015-04-01,2015-06-30,6497000000.0,39.59171237050579,1.0725167580743449,0.6560249894112664,1.5243321765797757,,,,,,,
cincinnati financial corp,CINF,2015-01-01,2015-03-31,6608000000.0,40.292682926829265,0.7804878048780488,0.6503148647933534,1.5377166571730816,,,,,,,
cincinnati financial corp,CINF,2014-10-01,2014-12-31,6573000000.0,,,0.6494960806270996,1.539655172413793,,,,,,,
cincinnati financial corp,CINF,2014-07-01,2014-09-30,6376000000.0,38.99694189602447,1.1192660550458715,0.6548662985817906,1.527029261034882,,,,,,,
cincinnati financial corp,CINF,2014-04-01,2014-06-30,6343000000.0,38.79510703363914,0.5137614678899083,0.6540496318516499,1.52893595730487,,,,,,,
cincinnati financial corp,CINF,2014-01-01,2014-03-31,6168000000.0,37.74785801713586,0.5569155446756426,0.6562256158733697,1.5238661457448615,,,,,,,
cincinnati financial corp,CINF,2013-10-01,2013-12-31,6070000000.0,131956.52173913043,2652.1739130434785,0.6563243120824369,1.5236369910282954,,,,,,,
cincinnati financial corp,CINF,2013-07-01,2013-09-30,5816000000.0,35.52623541628489,0.8001954675951377,0.664571197877617,1.5047296710925975,,,,,,,
