company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
compx international inc,CIX,2023-10-01,2023-12-31,168849000.0,168849.0,6696.0,0.09997121596554444,7.360069747166522,-163.63636363636365,18.81,18.1101,18.59,25.73,24.4817,25.28
compx international inc,CIX,2023-07-01,2023-09-30,165148000.0,13.411401656650966,0.4675166477180445,0.09873390089500109,7.350774484693256,-0.01155080387290423,21.64,21.29,21.8,18.81,18.1101,18.59
compx international inc,CIX,2023-04-01,2023-06-30,341485000.0,27.74045491470349,0.33078797725426484,-0.9072472995766451,7.79608957445369,-0.05255401224292303,18.3,18.08,18.08,22.09,21.74,21.74
compx international inc,CIX,2023-01-01,2023-03-31,337885000.0,27.454700576907452,1.3090111318761681,-0.9144927700466887,8.556473829201101,0.025252661631868827,18.2892,18.2892,18.48,18.04,18.04,18.25
compx international inc,CIX,2022-10-01,2022-12-31,158436000.0,-13203.0,-396.75,0.10683420994774138,6.675133609559839,15.484098228663449,16.56,16.22,16.24,18.2892,18.2892,18.48
compx international inc,CIX,2022-07-01,2022-09-30,156769000.0,12.738197773624766,0.402210124319493,0.1118910038522547,6.190875870731986,-0.08873114463176575,22.54,22.35,23.19,16.06,16.0506,16.53
compx international inc,CIX,2022-04-01,2022-06-30,371536000.0,30.042532546292552,0.49939354734373737,-0.9043069558130833,7.680256189185861,-0.01650643010407103,23.7,23.35,23.52,22.67,22.505,22.66
compx international inc,CIX,2022-01-01,2022-03-31,366855000.0,29.630482190453115,0.4025522978757774,-0.9119179895558637,8.410158998170818,-0.011275588983760491,22.17,22.13,22.26,23.63,23.35,23.35
compx international inc,CIX,2021-10-01,2021-12-31,173088000.0,,,0.10061729678049591,7.310653046333455,,21.7,20.78,20.78,22.17,22.13,22.26
compx international inc,CIX,2021-07-01,2021-09-30,172990000.0,,,0.10060309867942185,7.501243226012114,,20.559,20.4777,20.77,21.17,21.05,21.85
compx international inc,CIX,2021-04-01,2021-06-30,359238000.0,,,-0.9118675458624048,8.468181110938229,,20.7,18.01,18.01,20.74,20.01,20.37
compx international inc,CIX,2021-01-01,2021-03-31,352897000.0,,,-0.9199949945865366,9.008671798955845,,14.27,14.23,14.23,15.31,15.0689,18.82
compx international inc,CIX,2020-10-01,2020-12-31,167656000.0,,,0.08904887391670516,7.6993155893536125,,14.49,14.49,14.95,14.53,14.39,14.46
compx international inc,CIX,2020-07-01,2020-09-30,166747000.0,,,0.0836365035226361,8.333077644251258,,13.45,13.45,13.82,14.5,14.27,14.51
compx international inc,CIX,2020-04-01,2020-06-30,347388000.0,,,-0.9168561149491249,8.230526405596793,,15.19,14.674,15.2,12.8,12.57,13.75
compx international inc,CIX,2020-01-01,2020-03-31,345070000.0,,,-0.9186757706507718,8.861284012093188,,14.26,14.26,14.59,15.48,14.995,15.38
