company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
cna financial corp,CNA,2023-10-01,2023-12-31,9893000000.0,98930.0,3670.0,0.8471202732147548,1.1804699186398628,-90.20100502512564,39.8,39.29,39.35,42.39,42.02,42.31
cna financial corp,CNA,2023-07-01,2023-09-30,8563000000.0,31.57448377581121,0.9513274336283186,0.8617800878099173,1.1603888441439247,-0.0017141446646675932,38.72,38.2889,38.62,39.8,39.29,39.35
cna financial corp,CNA,2023-04-01,2023-06-30,8726000000.0,32.17551622418879,1.0435103244837758,0.8616852650266295,1.1605165372870756,0.02650701867987473,38.95,38.84,39.03,38.49,38.49,38.57
cna financial corp,CNA,2023-01-01,2023-03-31,8667000000.0,31.946185035016587,1.09472908219683,0.8603335750543872,1.1623398516520567,-0.041985266320416506,42.14,42.01,42.28,38.67,38.49,38.71
cna financial corp,CNA,2022-10-01,2022-12-31,8825000000.0,-88250.0,-2480.0,0.8551545291906708,1.1693792944608652,29.18918918918919,37.0,36.87,36.9,42.14,42.01,42.28
cna financial corp,CNA,2022-07-01,2022-09-30,8094000000.0,29.82313927781872,0.4716285924834193,0.8655816656979158,1.155292492469446,-0.011548366483560899,44.03,44.03,44.9,37.11,36.525,37.15
cna financial corp,CNA,2022-04-01,2022-06-30,9512000000.0,35.0092013249908,0.7545086492454913,0.8471452216812098,1.1804351537454711,-0.007338594906191416,49.15,48.61,48.62,44.96,44.5,44.61
cna financial corp,CNA,2022-01-01,2022-03-31,10817000000.0,39.79764532744665,1.1515820456217807,0.8304332831703035,1.204190655969797,-0.056844217265869156,44.53,44.02,44.11,49.22,49.02,49.15
cna financial corp,CNA,2021-10-01,2021-12-31,12809000000.0,,,0.8077852308708113,1.2379528144157532,,42.84,41.96,41.96,44.53,44.02,44.11
cna financial corp,CNA,2021-04-01,2021-06-30,12668000000.0,46.59065833026848,1.353438764251563,0.8086607156342985,1.2366125628046845,-0.009625708341839385,45.85,44.59,44.63,45.84,45.28,45.39
cna financial corp,CNA,2021-01-01,2021-03-31,12089000000.0,44.46119897020964,1.147480691430673,0.8102585029742753,1.2341740275840694,-0.03072829505442929,38.42,38.24,38.96,45.83,45.55,45.94
cna financial corp,CNA,2020-07-01,2020-09-30,12021000000.0,44.24365108575635,0.7839528892160471,0.8085065710872162,1.2368483272254405,-0.0028907712820605324,31.83,31.54,32.15,30.29,29.39,29.83
cna financial corp,CNA,2020-04-01,2020-06-30,11645000000.0,42.89134438305709,0.5561694290976059,0.8124647717207505,1.230822596630327,-0.011369418291030092,32.72,30.88,31.04,31.67,31.295,31.88
cna financial corp,CNA,2020-01-01,2020-03-31,10362000000.0,38.16574585635359,-0.22467771639042358,0.822583682903861,1.2156817850675437,-0.05600783611858228,44.39,44.38,44.81,32.03,31.15,32.98
cna financial corp,CNA,2019-10-01,2019-12-31,12215000000.0,,,0.7984722497195275,1.2523916771700725,,49.04,48.8201,49.25,44.55,44.3,44.47
cna financial corp,CNA,2019-07-01,2019-09-30,12123000000.0,44.635493372606774,0.3939617083946981,0.799454094292804,1.250853560121671,-0.00782370953838217,46.59,46.48,47.07,49.14,48.65,48.92
cna financial corp,CNA,2019-04-01,2019-06-30,12087000000.0,44.50294550810015,1.0235640648011781,0.7984256958457716,1.2524647004762302,,,,,46.59,46.48,47.07
cna financial corp,CNA,2019-01-01,2019-03-31,11455000000.0,42.1759941089838,1.2592047128129602,0.8041110180070797,1.2436093743354175,,,,,,,
cna financial corp,CNA,2018-10-01,2018-12-31,11217000000.0,,,0.8037339025755879,1.2441928812452379,,,,,,,
cna financial corp,CNA,2018-07-01,2018-09-30,11510000000.0,42.37849779086893,1.2371134020618557,0.7989835659023036,1.2515901986928677,,,,,,,
cna financial corp,CNA,2018-04-01,2018-06-30,11415000000.0,42.04419889502763,0.994475138121547,0.8027066265684952,1.2457851559976745,,,,,,,
cna financial corp,CNA,2018-01-01,2018-03-31,11425000000.0,42.09653647752395,1.0722181282240235,0.8018178979687419,1.2471659743856005,,,,,,,
cna financial corp,CNA,2017-10-01,2017-12-31,12244000000.0,,,0.783548712146658,1.2762448390226293,,,,,,,
cna financial corp,CNA,2017-07-01,2017-09-30,12169000000.0,44.87094395280236,0.5309734513274337,0.7849316036902195,1.2739963524193367,,,,,,,
cna financial corp,CNA,2017-04-01,2017-06-30,12028000000.0,44.367392106233865,1.0033198081888601,0.7859976870385197,1.272268374946239,,,,,,,
cna financial corp,CNA,2017-01-01,2017-03-31,11693000000.0,43.19541928333949,0.9604728481714074,0.7881741272803029,1.2687551714627194,,,,,,,
cna financial corp,CNA,2016-10-01,2016-12-31,11969000000.0,,,0.783299838864447,1.2766503328402368,,,,,,,
cna financial corp,CNA,2016-07-01,2016-09-30,12195000000.0,45.08317929759704,1.268022181146026,0.7855220809370548,1.2730386888769478,,,,,,,
cna financial corp,CNA,2016-04-01,2016-06-30,11886000000.0,43.940850277264325,0.7726432532347505,0.7911292306610902,1.264015992892048,,,,,,,
cna financial corp,CNA,2016-01-01,2016-03-31,11470000000.0,42.43433222345542,0.244173140954495,0.793340780512414,1.2604923691860466,,,,,,,
cna financial corp,CNA,2015-10-01,2015-12-31,11756000000.0,,,0.7864370447072502,1.2715575985770715,,,,,,,
cna financial corp,CNA,2015-07-01,2015-09-30,12265000000.0,45.37550869404365,0.6585275619681835,0.7762351309932132,1.2882694432039863,,,,,,,
cna financial corp,CNA,2015-04-01,2015-06-30,12234000000.0,45.26082130965594,0.5105438401775805,0.777652575333503,1.2859212863419651,,,,,,,
cna financial corp,CNA,2015-01-01,2015-03-31,12437000000.0,,,0.7757685026593347,1.2890443432183694,,,,,,,
cna financial corp,CNA,2014-10-01,2014-12-31,12794000000.0,,,0.7697512867580895,1.2991209202281866,,,,,,,
cna financial corp,CNA,2014-07-01,2014-09-30,13034000000.0,48.291959985179695,0.7891811782141533,0.7661265722847248,1.3052673489940745,,,,,,,
cna financial corp,CNA,2014-04-01,2014-06-30,13074000000.0,48.44016302334198,0.9892552797332346,0.7800360045089759,1.281992105774001,,,,,,,
cna financial corp,CNA,2014-01-01,2014-03-31,12582000000.0,46.634544106745736,0.048183839881393624,0.7839035449299258,1.2756671486788485,,,,,,,
cna financial corp,CNA,2013-07-01,2013-09-30,12153000000.0,45.061179087875416,1.0085279940674823,0.78748666655009,1.2698627703512901,,,,,,,
cna financial corp,CNA,2013-04-01,2013-06-30,11944000000.0,44.2862439747868,0.7193177604746014,0.7925200201504334,1.2617977774368192,,,,,,,
cna financial corp,CNA,2013-01-01,2013-03-31,12405000000.0,46.029684601113175,0.9276437847866419,0.788768368893354,1.267799317818747,,,,,,,
cna financial corp,CNA,2012-10-01,2012-12-31,12314000000.0,,,0.7895834045316291,1.266490650969529,,,,,,,
cna financial corp,CNA,2012-07-01,2012-09-30,12660000000.0,46.99331848552338,0.8203414996288048,0.7840032757797039,1.2755048746518105,,,,,,,
cna financial corp,CNA,2012-04-01,2012-06-30,12214000000.0,45.337787676317745,0.6161841128433556,0.7838191826404007,1.2758044484588462,,,,,,,
cna financial corp,CNA,2012-01-01,2012-03-31,11981000000.0,44.48941700705533,0.928332714444857,0.7860803113896477,1.2721346477081725,,,,,,,
cna financial corp,CNA,2011-10-01,2011-12-31,11557000000.0,,,0.7905543775711774,1.2649351244784741,,,,,,,
cna financial corp,CNA,2011-07-01,2011-09-30,11956000000.0,44.39658373561084,0.2784998143334571,0.7859035885681541,1.2724207072548306,,,,,,,
cna financial corp,CNA,2011-04-01,2011-06-30,11749000000.0,43.627924248050505,0.46787968808020797,0.7893462903862014,1.2668710959682,,,,,,,
cna financial corp,CNA,2011-01-01,2011-03-30,,,,,,,,,,,,
