company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
culp inc,CULP,2023-10-30,2024-01-28,80796000.0,6.479230152365678,-0.25565356856455496,0.4310060705080353,2.0500909279252317,0.0,5.49,5.4201,5.54,5.12,5.09,5.1
culp inc,CULP,2023-07-31,2023-10-29,83628000.0,6.713872832369942,-0.19460500963391136,0.41173325830050644,2.127873183619551,-0.06250988988485848,5.52,5.39,5.61,5.49,5.4201,5.54
culp inc,CULP,2023-05-01,2023-07-30,86117000.0,6.983214401556925,-0.27100227051573145,0.3973702257491148,2.302266607408957,0.06200461271309606,5.43,5.41,5.46,5.52,5.39,5.61
culp inc,CULP,2023-01-30,2023-04-30,89080000.0,8098.181818181818,-425.54545454545456,0.41465209648909535,2.169831894593367,-1.97027307293467,5.26,5.22,5.26,5.43,5.41,5.46
culp inc,CULP,2022-10-31,2023-01-29,93504000.0,7.602569314578421,-0.7291649727620132,0.3791152604948273,2.5582930048394195,-0.0014328059744211333,4.71,4.71,4.99,5.26,5.22,5.26
culp inc,CULP,2022-08-01,2022-10-30,102108000.0,8.31498371335505,-0.99128664495114,0.36826084266534675,2.5311416495836814,-0.0011861422093267274,5.355,4.98,5.02,4.71,4.71,4.99
culp inc,CULP,2022-05-02,2022-07-31,113995000.0,9.314839025984638,-0.4656806667756169,0.36841376253532054,2.6887625353869775,-0.0020239606773354117,6.5,6.44,6.46,5.355,4.98,5.02
culp inc,CULP,2022-01-31,2022-05-01,119501000.0,-17071.571428571428,860.4285714285714,0.3269937993838806,3.292050620469345,23.263888888888886,8.64,8.6,8.77,6.5,6.44,6.46
culp inc,CULP,2021-11-01,2022-01-30,126734000.0,10.377825090075335,-0.023665247297739927,0.40097463214962636,2.2027287156799837,-0.009565019530317765,12.97,12.6,13.23,8.64,8.6,8.77
culp inc,CULP,2021-08-02,2021-10-31,128454000.0,10.509203959748016,0.06962284218277019,0.38634181297026154,2.3022727679130233,-0.013032933376490731,14.89,14.74,14.97,12.97,12.6,13.23
culp inc,CULP,2021-05-03,2021-08-01,129549000.0,10.521318931210915,0.18273369609355966,0.3896338245825638,2.29750496124294,-0.01207448910562348,14.32,14.15,14.15,14.89,14.74,14.97
culp inc,CULP,2021-02-01,2021-05-02,129006000.0,43002.0,495.0,0.39739349775784755,2.3387607786778157,-28.56841661395741,15.81,15.29,15.43,14.32,14.15,14.15
culp inc,CULP,2020-11-02,2021-01-31,128362000.0,10.431694433157253,0.16919951239333605,0.39445602845578315,2.382224715499279,-0.00876785422309138,12.55,12.23,12.41,15.81,15.29,15.43
culp inc,CULP,2020-08-03,2020-11-01,127251000.0,10.34729224264108,0.19385265896893805,0.3724553201562315,2.5867327135279004,-0.009639116456774966,11.11,10.86,11.1,12.55,12.23,12.41
culp inc,CULP,2020-05-04,2020-08-02,125869000.0,10.244079108000326,-0.22243021079189387,0.31810474193740623,3.2083421948107187,-0.4600790634810331,7.02,6.55,6.91,11.11,10.86,11.1
culp inc,CULP,2020-02-03,2020-05-03,129698000.0,10.547125315117508,-2.262747011466211,0.39698908333488314,3.7808768912485355,0.23025979525041534,12.76,12.55,12.63,7.02,6.55,6.91
culp inc,CULP,2019-11-04,2020-02-02,161896000.0,13.046659682488517,-0.0046740269159481025,0.23684359385311587,3.681366875799476,-0.010490205983351238,15.61,15.26,15.35,12.76,12.55,12.63
culp inc,CULP,2019-08-05,2019-11-03,167722000.0,13.517246937459703,0.18536428110896197,0.2817721670763354,3.189043304105708,-0.007666289360545634,17.84,17.38,17.39,15.61,15.26,15.35
culp inc,CULP,2019-04-29,2019-08-04,166136000.0,13.399145092346156,0.10791192838132108,0.26568750082874026,3.443969396939694,-0.0068363369273488715,20.74,20.45,20.74,17.84,17.38,17.39
culp inc,CULP,2019-01-28,2019-04-28,164247000.0,13.262839147286822,-0.11046511627906977,0.25249173971218697,3.502074335076154,,,,,20.74,20.45,20.74
culp inc,CULP,2018-10-29,2019-01-27,167232000.0,13.44524843222383,0.2535777456182666,0.25644263432158926,3.1437338990756176,,,,,,,
culp inc,CULP,2018-07-30,2018-10-28,167469000.0,13.381462245305633,0.23435876947662804,0.24635144074775775,3.268089308245104,,,,,,,
culp inc,CULP,2018-04-30,2018-07-29,166030000.0,13.271782573940847,0.07649880095923262,0.266561235488488,3.3327386017402763,,,,,,,
culp inc,CULP,2018-01-29,2018-04-29,163376000.0,13.122570281124498,1.0173493975903614,0.2505137991779213,3.2542134831460676,,,,,,,
culp inc,CULP,2017-10-30,2018-01-28,152182000.0,12.237214538436797,-0.0601479575426182,0.29819593809374484,2.8589957216843054,,,,,,,
culp inc,CULP,2017-07-31,2017-10-29,153080000.0,12.305466237942122,0.31961414790996784,0.23857085300159667,2.7582322598633766,,,,,,,
culp inc,CULP,2017-05-01,2017-07-30,149677000.0,12.071699330591176,0.40196790063714816,0.28006676158226873,2.435375617239561,,,,,,,
