company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
chicago rivet & machine co,CVR,2023-10-01,2023-12-31,25966889.0,,,0.06697647812746298,8.49825323387782,,17.66,17.625,17.625,16.0201,16.0201,16.98
chicago rivet & machine co,CVR,2023-07-01,2023-09-30,27606402.0,28.5741513581995,-0.997836734524889,0.08239046997636373,8.14320778894686,-0.0038887728169920183,25.715,25.715,25.715,17.66,17.625,17.625
chicago rivet & machine co,CVR,2023-04-01,2023-06-30,28667057.0,29.67198788571334,-1.3574811723449798,0.10311360405981154,8.205267296179414,-0.007573148316619275,29.05,29.05,29.72,,,
chicago rivet & machine co,CVR,2023-01-01,2023-03-31,30191112.0,31.24946901665611,-0.6035790140477699,0.10391515294304948,8.36773507146046,-0.00764286811178704,28.785,28.02,28.63,30.0,25.4,29.66
chicago rivet & machine co,CVR,2022-10-01,2022-12-31,30986798.0,,,0.07849042501980677,12.868823854615979,,26.3,25.77,25.77,28.785,28.02,28.63
chicago rivet & machine co,CVR,2022-07-01,2022-09-30,32511995.0,33.65171115334137,3.7045248475363617,0.11889162555034728,7.167213236991651,-0.007719323878251852,28.4999,28.227,28.49,26.0,25.7401,26.15
chicago rivet & machine co,CVR,2022-04-01,2022-06-30,29145484.0,30.167186264402794,0.15929914338827406,0.10406693063745724,8.177112637827586,,,,,,,
chicago rivet & machine co,CVR,2022-01-01,2022-03-31,29204129.0,30.22788707961231,0.4629936696020834,0.11412172430633707,7.2348379612228575,-0.008208953679022014,26.8,26.8,26.8,26.2308,26.2308,26.4277
chicago rivet & machine co,CVR,2021-10-01,2021-12-31,28969365.0,,,0.08804603299513591,10.312326913116197,,26.87,26.87,26.87,26.8,26.8,26.8
chicago rivet & machine co,CVR,2021-07-01,2021-09-30,29100736.0,30.120869612019888,0.1787116046254549,0.10821609761618095,7.617502904297979,-0.008587039757915298,25.62,25.6,25.8727,27.0,26.26,26.87
chicago rivet & machine co,CVR,2021-04-01,2021-06-30,29140626.0,30.162157965992225,0.3307073981609138,0.10119647179385949,8.370272411091161,-0.008696647386371954,25.2971,24.76,25.5,25.875,25.875,26.13
chicago rivet & machine co,CVR,2021-01-01,2021-03-31,29033668.0,30.0514505264291,0.5590623227467882,0.10812532797903417,7.729981018018511,-0.009623795214251529,22.86,22.86,22.86,24.85,24.84,25.24
chicago rivet & machine co,CVR,2020-10-01,2020-12-31,28706089.0,,,0.08105436472053604,11.892439203680983,,21.5521,20.4,21.6,22.88,22.88,23.556
chicago rivet & machine co,CVR,2020-07-01,2020-09-30,28338439.0,,,0.0985092867724527,8.267698884417612,,,,,20.54,20.54,20.54
chicago rivet & machine co,CVR,2020-04-01,2020-06-30,28125918.0,,,0.0753078261418466,12.290032781532354,,21.0001,21.0001,21.2001,,,
