company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
douglas emmett inc,DEI,2023-10-01,2023-12-31,3845397000.0,-4022.38179916318,42.69351464435147,0.601274359414107,1.6631342819514519,3.6262744627050254,12.89,12.66,12.76,14.76,14.48,14.5
douglas emmett inc,DEI,2023-07-01,2023-09-30,4007456000.0,24.034449255718553,-0.08176300543367439,0.5929896560854326,1.6863700567753732,0.10917155582410729,12.8,12.41,12.57,12.89,12.66,12.76
douglas emmett inc,DEI,2023-04-01,2023-06-30,4074318000.0,24.071926549132673,-0.04290542137354067,0.5762479843708658,-2.359870780827613,-0.03226377462792247,12.18,11.87,12.33,12.08,12.0,12.63
douglas emmett inc,DEI,2023-01-01,2023-03-31,4183806000.0,23.803407959491366,0.10453161892299377,0.56768636381954,-2.313135456089503,-0.022107803380789635,15.68,15.43,15.68,12.26,11.9,12.01
douglas emmett inc,DEI,2022-10-01,2022-12-31,4275783000.0,305413.0714285714,1783.4285714285713,0.5613432482724192,1.7814412181451964,-254.55858747993577,17.8,17.68,17.93,15.68,15.43,15.68
douglas emmett inc,DEI,2022-07-01,2022-09-30,4297733000.0,24.448943020980295,0.12934624311655213,0.5617123040751152,1.78027077695324,-0.016407318892186686,22.2,21.95,22.38,18.12,17.54,17.64
douglas emmett inc,DEI,2022-04-01,2022-06-30,4228951000.0,24.057655986893003,0.1373958949619988,0.5643203153331355,-2.29526423928771,0.031717108429549605,34.01,33.41,33.42,22.5,22.25,22.56
douglas emmett inc,DEI,2022-01-01,2022-03-31,4125697000.0,23.48736735437446,0.1439632008015667,0.5629703630620762,-2.2881743375725363,-0.011039739198042927,33.6,33.6,33.72,34.2,33.805,34.0
douglas emmett inc,DEI,2021-10-01,2021-12-31,3986553000.0,664425.5,3328.8333333333335,0.5738144791465327,1.7427235393002936,-336.734379809172,32.49,31.57,31.61,33.6,33.6,33.72
douglas emmett inc,DEI,2021-07-01,2021-09-30,3954694000.0,22.536437200820608,0.10217118759972646,0.5785205555603515,1.7285470505562348,-0.004071219710468258,33.57,33.41,33.62,32.63,32.27,32.38
douglas emmett inc,DEI,2021-04-01,2021-06-30,3979132000.0,22.676863983222297,0.09108057741735101,0.5754847197705325,-2.3556278102862636,0.022758657164820915,32.23,31.4,31.4,33.71,33.62,33.64
douglas emmett inc,DEI,2021-01-01,2021-03-31,4020525000.0,-1340175.0,-3867.0,0.5653362901020862,-2.300629146691042,391.2359810382704,28.83,28.47,29.18,32.29,32.1,32.35
douglas emmett inc,DEI,2020-10-01,2020-12-31,3996019000.0,,,0.5680364724227298,1.7604503382237138,,25.6,24.82,25.1,28.73,28.59,28.87
douglas emmett inc,DEI,2020-07-01,2020-09-30,4000368000.0,,,0.5693608169248883,1.7563554959770316,,30.49,30.35,30.66,25.09,24.41,24.92
douglas emmett inc,DEI,2020-04-01,2020-06-30,4044339000.0,,,0.5637822731186533,-2.292433201074391,,30.13,28.95,30.51,30.38,29.74,30.63
douglas emmett inc,DEI,2020-01-01,2020-03-31,4129707000.0,,,0.556567909946619,-2.2551367445680772,,43.68,43.615,43.9,30.11,28.71,30.26
douglas emmett inc,DEI,2019-10-01,2019-12-31,4370934000.0,24.92605898857182,1.5885284792080112,0.5324854767217356,1.8779854920298162,-0.0037361307350559465,42.5,42.49,42.83,43.48,43.28,43.63
douglas emmett inc,DEI,2019-07-01,2019-09-30,3984062000.0,22.729960405755428,0.12829904494574335,0.5324362053516679,1.8781592798324294,-0.028363250698197347,39.55,39.48,39.84,42.71,42.21,42.49
douglas emmett inc,DEI,2019-04-01,2019-06-30,4052360000.0,23.492214402485825,0.19690663080151655,0.5330151004106959,-2.14139686503667,,,,,39.55,39.48,39.84
douglas emmett inc,DEI,2019-01-01,2019-03-31,3788182000.0,22.254492688916173,0.168610218480681,0.5389211345938715,-2.1688263657870714,,,,,,,
douglas emmett inc,DEI,2018-10-01,2018-12-31,3848430000.0,22.621722185973514,0.15068686405558396,0.5341847552364771,1.872011490775906,,,,,,,
douglas emmett inc,DEI,2018-07-01,2018-09-30,3923541000.0,23.08970375339854,0.17984887539281805,0.529989833223903,1.8868286471026197,,,,,,,
douglas emmett inc,DEI,2018-04-01,2018-06-30,3930286000.0,23.130758727841993,0.18646860801807952,0.5274953642613402,1.895751257265199,,,,,,,
douglas emmett inc,DEI,2018-01-01,2018-03-31,3926467000.0,23.151201938667814,0.16630798167463634,0.5282899842621848,1.8928997894908235,,,,,,,
douglas emmett inc,DEI,2017-10-01,2017-12-31,3902049000.0,23.01808625480029,0.17423210103762957,0.5294564180458312,1.8887295836187923,,,,,,,
douglas emmett inc,DEI,2017-07-01,2017-09-30,3787077000.0,22.88665083307649,0.1547944957122396,0.5332186967070339,1.875403106034426,,,,,,,
douglas emmett inc,DEI,2017-04-01,2017-06-30,3390535000.0,21.748418837958152,0.1298541353962206,0.5738067245703637,1.7427470909281297,,,,,,,
douglas emmett inc,DEI,2017-01-01,2017-03-31,2951307000.0,19.35410190832186,0.12491966686340088,0.6109893116887859,1.6366898419810019,,,,,,,
douglas emmett inc,DEI,2016-10-01,2016-12-31,3014071000.0,19.901951850824716,0.1300859712372727,0.604125586688741,1.6552849639775686,,,,,,,
douglas emmett inc,DEI,2016-07-01,2016-09-30,2967041000.0,19.681472342175613,0.21125947742333487,0.6119117002100514,1.634222714905973,,,,,,,
douglas emmett inc,DEI,2016-04-01,2016-06-30,2713721000.0,18.370459376396205,0.12511338866248764,0.626132137714898,1.5971069679469774,,,,,,,
douglas emmett inc,DEI,2016-01-01,2016-03-31,2560615000.0,17.39122904724388,0.10436306338123828,0.6488182555286869,1.5412636612469452,,,,,,,
douglas emmett inc,DEI,2015-10-01,2015-12-31,2281548000.0,15.543997819866467,0.09651859926420493,0.6238893098946764,1.60284842862401,,,,,,,
douglas emmett inc,DEI,2015-07-01,2015-09-30,2269811000.0,15.511484237789668,0.08248423095584667,0.6181248334414562,1.6177961892137958,,,,,,,
douglas emmett inc,DEI,2015-04-01,2015-06-30,2298111000.0,15.751490767522515,0.0921739845645588,0.6194380905524687,1.6143663349925947,,,,,,,
douglas emmett inc,DEI,2015-01-01,2015-03-31,2305191000.0,15.86209720148355,0.1286684511481005,0.6166196974623325,1.6217451439119606,,,,,,,
douglas emmett inc,DEI,2014-10-01,2014-12-31,2313724000.0,15.97621924694282,0.07521595326709156,0.6114389624417844,1.6354862241792625,,,,,,,
douglas emmett inc,DEI,2014-07-01,2014-09-30,2321016000.0,16.077860363948712,0.05118418409404202,0.5970913704024077,1.6747855513739103,,,,,,,
douglas emmett inc,DEI,2014-04-01,2014-06-30,2333373000.0,16.235887194973454,0.09298134528274317,0.5960258973006793,1.6777794463778581,,,,,,,
douglas emmett inc,DEI,2014-01-01,2014-03-31,2349490000.0,16.41393041777281,0.0906525080340925,0.595714051693758,1.6786577337847917,,,,,,,
douglas emmett inc,DEI,2013-10-01,2013-12-31,2367208000.0,16.59998737754465,0.0620113181349621,0.5951960647006929,1.6801186353657622,,,,,,,
douglas emmett inc,DEI,2013-07-01,2013-09-30,2376256000.0,16.66402053324731,0.0753937642884192,0.6030582602928968,1.6582145803198423,,,,,,,
douglas emmett inc,DEI,2013-04-01,2013-06-30,2393612000.0,16.787734691158008,0.09562985250489196,0.600098905523506,1.666391974382346,,,,,,,
douglas emmett inc,DEI,2013-01-01,2013-03-31,2382614000.0,16.727141252457177,0.08482167930356642,0.6034055719308805,1.6572601356663457,,,,,,,
douglas emmett inc,DEI,2012-10-01,2012-12-31,2390459000.0,16.978294683760076,0.04243048403707518,0.6083658936136087,1.643747636903409,,,,,,,
douglas emmett inc,DEI,2012-07-01,2012-09-30,2396239000.0,17.07927242143677,0.0360296790471914,0.6092713784773376,1.6413047376345709,,,,,,,
douglas emmett inc,DEI,2012-04-01,2012-06-30,2414946000.0,17.292722572699084,0.04673793957794788,0.5946350299229823,1.6817038177678854,,,,,,,
douglas emmett inc,DEI,2012-01-01,2012-03-31,2440399000.0,17.63306815800692,0.03891646615943757,0.5920686028427501,1.6889934632551256,,,,,,,
douglas emmett inc,DEI,2011-10-01,2011-12-31,2315955000.0,18036.049436557198,26.62627426853676,0.62835319072046,1.5914616409497588,,,,,,,
