company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"dine brands global, inc.",DIN,2023-10-01,2023-12-31,-250974000.0,5975.571428571428,-768.4047619047619,1.1442141439888938,0.7770147594103186,3.470445450370662,50.81,49.165,49.45,50.51,49.4,49.65
"dine brands global, inc.",DIN,2023-07-01,2023-09-30,-273706000.0,-17.986856804889268,1.1860419267924032,1.1649247611294657,0.686379401410741,-0.02623227118277159,59.5,57.84,58.03,50.81,49.165,49.45
"dine brands global, inc.",DIN,2023-04-01,2023-06-30,-281001000.0,-18.35648027175333,1.1629213483146068,1.1686120993451754,0.6742082352529599,-0.09866749624909062,66.91,66.39,67.64,57.49,57.49,59.1
"dine brands global, inc.",DIN,2023-01-01,2023-03-31,-288683000.0,-18.863238369053843,1.7466675378985885,1.1642045903772833,0.8598101546997324,-0.09486095553721278,64.21,63.72,64.6,66.66,66.0275,66.21
"dine brands global, inc.",DIN,2022-10-01,2022-12-31,-301084000.0,1710.7045454545455,-62.66477272727273,1.1600241510589209,1.0192087899014706,4.226007732105293,63.96,62.79,63.56,64.21,63.72,64.6
"dine brands global, inc.",DIN,2022-07-01,2022-09-30,-301594000.0,-19.61331859270339,1.3249008259088249,1.1529365052400558,1.2440349369878214,,63.82,63.0,65.08,64.5,61.31,64.38
"dine brands global, inc.",DIN,2022-03-31,2022-06-30,,,,,,,76.79,76.58,77.53,65.35,63.15,65.15
"dine brands global, inc.",DIN,2022-01-01,2022-03-31,-265172000.0,-15.857672527209663,1.4503049874416936,1.140430221529294,1.4244257251247125,-0.04629961859958272,78.75,76.81,76.92,76.79,76.58,77.53
"dine brands global, inc.",DIN,2021-10-01,2021-12-31,-242807000.0,-5166.106382978724,413.0425531914894,1.121441997113085,1.3983711927543643,-1.6500422314282268,84.64,81.04,81.21,78.75,76.81,76.92
"dine brands global, inc.",DIN,2021-07-01,2021-09-30,-254317000.0,-15.038554786825143,1.336940452959612,1.132284594166239,1.4309094387533263,-0.002319251893193836,87.02,87.01,89.25,85.31,83.73,84.11
"dine brands global, inc.",DIN,2021-04-01,2021-06-30,-282751000.0,-16.744699751273245,1.6999289352126021,1.1491363309585885,1.3372373896275247,-0.002027415044902438,90.58,89.37,90.03,88.58,85.925,86.84
"dine brands global, inc.",DIN,2021-01-01,2021-03-31,-317402000.0,-19.28323207776428,1.5221749696233293,1.170987383968768,1.15104029889942,-0.2244609767716075,58.82,56.6,58.0,88.33,87.67,90.54
"dine brands global, inc.",DIN,2020-10-01,2020-12-31,-354651000.0,-354651.0,-1561.0,1.1709206750058436,1.682615730646531,-120.03936303453212,55.89,54.47,54.59,58.38,58.25,59.08
"dine brands global, inc.",DIN,2020-07-01,2020-09-30,-356364000.0,-21.96929905677825,0.5973121262560878,1.1720803740953278,1.6330801498547232,-0.0049147053397655,42.36,41.05,42.1,56.88,54.15,55.52
"dine brands global, inc.",DIN,2020-04-01,2020-06-30,-368571000.0,-22.783643444396365,-8.037089695246337,1.1803831804654017,1.616096785564638,-0.03487614268581874,28.01,27.89,28.68,39.51,38.6101,42.51
"dine brands global, inc.",DIN,2020-01-01,2020-03-31,-236377000.0,-14.534649203713952,1.3269384492406076,1.1081584281641934,1.7206739670587587,0.14223668380728585,83.97,83.51,83.52,31.46,27.4001,28.28
"dine brands global, inc.",DIN,2019-10-01,2019-12-31,-241774000.0,1501.7018633540372,-170.1614906832298,1.1179666759534348,0.9692801582511902,2.858948579934032,73.61,73.61,75.86,81.7,81.1,84.18
"dine brands global, inc.",DIN,2019-07-01,2019-09-30,-239782000.0,-14.305094857415583,1.3794296623314641,1.1200405705509064,0.9493385706522113,-0.03539845138572513,94.57,93.01,95.47,73.83,72.37,73.4
"dine brands global, inc.",DIN,2019-04-01,2019-06-30,-215125000.0,-12.52109888830685,1.2031313660438856,1.1054194284392582,1.026575483888381,,,,,94.57,93.01,95.47
"dine brands global, inc.",DIN,2019-01-01,2019-03-31,-190821000.0,-11.00276768725134,1.760479732456899,1.0919124500208803,1.0649213105018311,,,,,,,
"dine brands global, inc.",DIN,2018-10-01,2018-12-31,-202253000.0,6974.241379310345,-930.3793103448276,1.1139646137375332,1.2087505455649523,,,,,,,
"dine brands global, inc.",DIN,2018-07-01,2018-09-30,-213394000.0,-12.23659613509949,1.3067263031137106,1.1293546271341992,1.3553181687054092,,,,,,,
"dine brands global, inc.",DIN,2018-04-01,2018-06-30,-223251000.0,-12.725205198358413,0.7002393980848153,1.1352785483419439,1.2613452042674786,,,,,,,
"dine brands global, inc.",DIN,2018-01-01,2018-03-31,-216886000.0,-12.251369824323561,0.9323278540360391,1.131362784562029,1.3085701935423721,,,,,,,
"dineequity, inc",DIN,2017-10-01,2017-12-31,-146738000.0,-20962.571428571428,12219.42857142857,1.0838407039195521,1.3378807042224943,,,,,,,
