company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
equifax inc,EFX,2023-10-01,2023-12-31,4687500000.0,23437.5,662.0,0.6182817589576547,0.6717682020802377,-10.008663165304023,184.69,182.76,183.18,249.25,246.54,247.29
equifax inc,EFX,2023-07-01,2023-09-30,4484600000.0,36.46016260162602,1.3186991869918698,0.6368421478836171,1.0098621823239347,0.009666287522293242,236.09,235.21,235.3,184.69,182.76,183.18
equifax inc,EFX,2023-04-01,2023-06-30,4208300000.0,34.297473512632436,1.1271393643031784,0.6352629161285849,1.2043581761582127,-0.00707259800194836,200.39,198.99,202.84,232.3,232.2,234.44
equifax inc,EFX,2023-01-01,2023-03-31,4082200000.0,33.296900489396414,0.9168026101141925,0.6475970959694058,0.772055130852073,-0.0018181780008859943,194.25,192.31,194.36,201.07,199.04,199.69
equifax inc,EFX,2022-10-01,2022-12-31,3973300000.0,39733.0,1082.0,0.655928783588358,0.6800813815005955,-8.527918781725889,167.45,165.63,171.43,194.25,192.31,194.36
equifax inc,EFX,2022-07-01,2022-09-30,3775600000.0,30.84640522875817,1.3537581699346406,0.6661124867350549,0.6414524198741764,0.00694465072119854,178.23,176.38,182.78,171.99,166.25,167.1
equifax inc,EFX,2022-04-01,2022-06-30,3821000000.0,31.21732026143791,1.6388888888888888,0.6594838341710334,0.5139374145526355,-0.006106929924733195,239.87,237.1,237.1,179.94,176.68,180.17
equifax inc,EFX,2022-01-01,2022-03-31,3851100000.0,31.514729950900165,1.8150572831423895,0.6619380777232546,0.5394725612358112,0.012369757699192772,293.93,291.31,291.54,241.97,237.55,239.53
equifax inc,EFX,2021-10-01,2021-12-31,3601200000.0,36012.0,1221.0,0.6738309376952966,0.48919827172347574,-8.704241719930273,258.15,253.37,253.42,293.93,291.31,291.54
equifax inc,EFX,2021-07-01,2021-09-30,3555100000.0,29.164068908941754,1.6849876948318294,0.6792381330470166,1.5317716890137263,0.05220623723108019,239.27,237.78,239.51,257.87,255.44,256.55
equifax inc,EFX,2021-04-01,2021-06-30,3498600000.0,28.724137931034484,1.7660098522167487,0.625429590055994,0.7089910409556314,-0.026765641185703883,181.5,181.1,181.13,235.95,235.03,239.31
equifax inc,EFX,2021-01-01,2021-03-31,3357000000.0,27.561576354679804,1.6551724137931034,0.652822305417089,0.7110219071614639,-0.003791223241174088,191.87,189.98,192.84,183.07,181.235,183.28
equifax inc,EFX,2020-10-01,2020-12-31,3210300000.0,32103.0,745.0,0.6660042863979692,0.9980669324634529,-3.44370024011121,158.26,156.11,156.9,190.85,190.13,191.17
equifax inc,EFX,2020-07-01,2020-09-30,2966800000.0,24.418106995884774,1.8806584362139918,0.679257929901187,0.9667921371810958,-0.0025133410359843905,167.01,166.7207,171.88,158.6,157.61,157.84
equifax inc,EFX,2020-04-01,2020-06-30,2734300000.0,22.52306425041186,0.8253706754530478,0.690437913232497,1.2707679304515818,0.055956652210518765,121.24,119.04,119.45,167.83,165.7,167.72
equifax inc,EFX,2020-01-01,2020-03-31,2429800000.0,20.031327287716405,0.9637262984336357,0.6812457364747861,1.004546249344291,0.0055142574487238,138.59,138.4,140.12,120.71,119.6245,122.1
equifax inc,EFX,2019-10-01,2019-12-31,2622900000.0,26229.0,92.0,0.6683651536224554,0.8898535795747186,9.334185122089721,140.88,140.4,140.67,140.22,138.47,138.92
equifax inc,EFX,2019-07-01,2019-09-30,2559100000.0,21.149586776859504,0.6702479338842975,0.6556044518013108,0.5717924654779462,0.018480395577665017,132.64,132.64,135.24,143.91,140.17,141.31
equifax inc,EFX,2019-04-01,2019-06-30,2587900000.0,21.42301324503311,0.5529801324503312,0.6537231551481902,0.5432939448561319,,,,,132.64,132.64,135.24
equifax inc,EFX,2019-01-01,2019-03-31,2610900000.0,21.63131731565866,-4.605633802816901,0.6440830459260874,0.5677609980302035,,,,,,,
equifax inc,EFX,2018-10-01,2018-12-31,3155700000.0,31557.0,256.0,0.5588407985237376,1.091315916787615,,,,,,,
equifax inc,EFX,2018-07-01,2018-09-30,3241500000.0,26.900414937759336,0.31867219917012446,0.5456265769554247,1.192555764579414,,,,,,,
equifax inc,EFX,2018-04-01,2018-06-30,3279700000.0,27.262676641729012,1.2036575228595179,0.5391673340920906,1.4002361275088548,,,,,,,
equifax inc,EFX,2018-01-01,2018-03-31,3336900000.0,27.761231281198004,0.7562396006655574,0.536290490682453,0.5961401000714797,,,,,,,
equifax inc,EFX,2017-10-01,2017-12-31,3239000000.0,,,0.552216108607294,0.5965939647445474,,,,,,,
equifax inc,EFX,2017-07-01,2017-09-30,3165700000.0,26.35886761032473,0.8018318068276437,0.5551105302359571,0.6729776247848537,,,,,,,
equifax inc,EFX,2017-04-01,2017-06-30,3081400000.0,25.614297589359932,1.3748960931005818,0.5634359548333168,0.7449009974691082,,,,,,,
equifax inc,EFX,2017-01-01,2017-03-31,2952200000.0,24.601666666666667,1.2775,0.5651495065547208,0.5870307167235495,,,,,,,
equifax inc,EFX,2016-10-01,2016-12-31,2721300000.0,27213.0,1230.0,0.5916416566626651,0.5342172118132741,,,,,,,
equifax inc,EFX,2016-07-01,2016-09-30,2787400000.0,23.325523012552303,1.1112970711297072,0.59048570505098,0.5099791939585421,,,,,,,
equifax inc,EFX,2016-04-01,2016-06-30,2583400000.0,21.67281879194631,1.0981543624161074,0.6109806047464161,0.6520428318952074,,,,,,,
equifax inc,EFX,2016-01-01,2016-03-31,2532800000.0,21.31986531986532,0.8594276094276094,0.6238173743854802,0.3643460159592922,,,,,,,
equifax inc,EFX,2015-10-01,2015-12-31,2350400000.0,-23504.0,-1119.0,0.47873142603681523,0.9301093077177873,,,,,,,
equifax inc,EFX,2015-07-01,2015-09-30,2267500000.0,19.15118243243243,0.995777027027027,0.5007046285286475,0.842768206167656,,,,,,,
equifax inc,EFX,2015-04-01,2015-06-30,2206600000.0,18.60539629005059,0.9359190556492412,0.5187874822811035,0.7536010197578075,,,,,,,
equifax inc,EFX,2015-01-01,2015-03-31,2189700000.0,18.339195979899497,0.7395309882747069,0.5234602829162133,0.7397572078907435,,,,,,,
equifax inc,EFX,2014-10-01,2014-12-31,2234600000.0,-4469.2,-196.0,0.52192888622652,0.7351476126837565,,,,,,,
equifax inc,EFX,2014-07-01,2014-09-30,2371000000.0,19.57886044591247,0.7654830718414534,0.4962928342291432,0.7184440673541314,,,,,,,
equifax inc,EFX,2014-04-01,2014-06-30,2441200000.0,20.009836065573772,0.760655737704918,0.4878207414556365,0.7294024743353514,,,,,,,
equifax inc,EFX,2014-01-01,2014-03-31,2395500000.0,19.635245901639344,0.6877049180327869,0.49569482747731625,0.660080543669771,,,,,,,
equifax inc,EFX,2013-10-01,2013-12-31,2341000000.0,11705.0,383.5,0.4843498755479196,0.9787169811320755,,,,,,,
equifax inc,EFX,2013-07-01,2013-09-30,2193400000.0,18.03782894736842,0.6866776315789473,0.5004099854227405,1.5839350180505416,,,,,,,
