company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
emerson electric co,EMR,2023-10-01,2023-12-31,26555000000.0,46.52242466713385,0.24877365101611773,0.42908434201191065,1.1160334835801675,0.03681572994431311,97.79,96.445,96.57,96.93,96.9,97.33
emerson electric co,EMR,2023-07-01,2023-09-30,26598000000.0,-29553.333333333332,-826.6666666666666,0.3777663407102419,2.7462241653418125,6.461534645483747,89.59,89.455,90.39,97.79,96.445,96.57
emerson electric co,EMR,2023-04-01,2023-06-30,26413000000.0,46.26554562970748,16.381152566123664,0.40205555429787426,2.382824312065316,-0.06643585799967978,86.11,85.74,87.14,89.5,88.73,89.22
emerson electric co,EMR,2023-01-01,2023-03-31,17347000000.0,30.38535645472062,1.3872832369942196,0.5200984867347221,1.1902238707113526,-0.0025740328824485734,95.95,95.14,96.06,85.95,85.46,85.59
emerson electric co,EMR,2022-10-01,2022-12-31,16714000000.0,28.639479095270733,3.9941740918437287,0.5388096354957093,1.1029411764705883,-0.06687233007313591,74.18,73.11,73.22,95.95,95.14,96.06
emerson electric co,EMR,2022-07-01,2022-09-30,16316000000.0,,,0.5426104507737161,1.0937379452230938,,79.28,78.97,79.54,74.23,73.03,74.2
emerson electric co,EMR,2022-03-31,2022-06-30,,,,,,,98.69,98.59,98.98,81.58,79.84,80.51
emerson electric co,EMR,2022-01-01,2022-03-31,10614000000.0,17.88976908815102,1.1360188774650262,0.6401667966233854,1.6772794846382557,0.03435412507247308,93.12,92.51,92.66,98.69,98.59,98.98
emerson electric co,EMR,2021-10-01,2021-12-31,10288000000.0,17.302388160107636,1.506895391860074,0.6183834711970029,2.037141249296567,0.027968904448055075,96.27,94.17,94.2,93.12,92.51,92.66
emerson electric co,EMR,2021-07-01,2021-09-30,9923000000.0,-16538.333333333332,-1116.6666666666667,0.5985029334412301,1.3499839897534422,19.955536735125982,94.46,94.46,96.24,95.87,95.28,95.64
