company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
eaton corp plc,ETN,2023-10-01,2023-12-31,19069000000.0,190690.0,9450.0,0.5038249375520399,1.5070349812830772,-16.78270090829453,216.89,212.73,213.28,241.29,239.9139,240.82
eaton corp plc,ETN,2023-07-01,2023-09-30,18420000000.0,46.11917876815223,2.2308462694041062,0.506020542251066,1.4522015073383578,-0.0049370888322875185,199.81,199.18,201.1,216.89,212.73,213.28
eaton corp plc,ETN,2023-04-01,2023-06-30,54760000000.0,137.27751316119327,1.8676359989972424,-0.4891765473730012,1.5320446096654274,0.002473908511564697,170.24,169.27,171.34,196.06,194.855,198.85
eaton corp plc,ETN,2023-01-01,2023-03-31,53002000000.0,133.0037641154329,1.603513174404015,-0.49229946222935494,1.5012321340561854,-0.004493082012817596,156.94,155.62,156.95,169.21,168.32,169.09
eaton corp plc,ETN,2022-10-01,2022-12-31,17075000000.0,-85375.0,-3605.0,0.5123379219740675,1.3751572327044026,33.35320861593501,134.17,132.53,133.36,156.94,155.62,156.95
eaton corp plc,ETN,2022-07-01,2022-09-30,16103000000.0,40.41917670682731,1.5235943775100402,0.5313991386334536,1.2836314444611454,-0.018798718172185185,125.11,124.655,125.99,132.29,131.21,134.15
eaton corp plc,ETN,2022-04-01,2022-06-30,51569000000.0,129.24561403508773,1.506265664160401,-0.46698717036952747,0.96801872074883,-0.0025861118680876056,155.06,151.59,151.76,129.69,126.04,127.27
eaton corp plc,ETN,2022-01-01,2022-03-31,51864000000.0,129.91983967935872,1.3351703406813626,-0.4730743012951602,0.9924903100775194,0.009491321089412669,172.08,171.215,171.42,156.33,154.77,155.46
eaton corp plc,ETN,2021-10-01,2021-12-31,16451000000.0,,,0.5165309900961002,1.0414586799778147,,153.84,149.25,149.31,172.08,171.215,171.42
eaton corp plc,ETN,2021-07-01,2021-09-30,16014000000.0,40.14539984958636,1.5768362998245173,0.5307665260196905,1.265979032803517,-0.05640082437517685,146.1,145.79,148.18,154.33,153.17,153.47
eaton corp plc,ETN,2021-04-01,2021-06-30,52254000000.0,131.02808425275828,1.2688064192577733,-0.4197913270296707,1.0991466427127778,0.028251253832896662,140.06,138.25,138.28,147.35,146.43,146.49
eaton corp plc,ETN,2021-01-01,2021-03-31,49117000000.0,123.31659553100678,1.1523976901832789,-0.44122652582159627,1.5050904117915211,0.039469329289372516,119.27,118.73,120.14,138.58,138.4593,139.66
eaton corp plc,ETN,2020-10-01,2020-12-31,14973000000.0,-13611.818181818182,-431.8181818181818,0.5295060331825038,1.560618942356742,5.711425532485409,101.71,100.95,102.03,117.87,117.55,119.3
eaton corp plc,ETN,2020-07-01,2020-09-30,14518000000.0,36.25874125874126,1.1138861138861138,0.5314507019525577,1.493712316968131,-0.01689648387925247,86.47,86.12,87.48,102.49,100.87,101.18
eaton corp plc,ETN,2020-04-01,2020-06-30,44583000000.0,111.34615384615384,0.13486513486513488,-0.46905891656781334,1.4962652577883038,-0.016206273448451894,77.67,75.87,77.69,86.34,85.75,86.91
eaton corp plc,ETN,2020-01-01,2020-03-31,45133000000.0,110.2687515269973,1.0701197165892988,-0.46321932241854435,1.7536407766990292,-0.03943964360585164,94.78,94.41,94.72,74.42,74.0,78.32
eaton corp plc,ETN,2019-10-01,2019-12-31,16133000000.0,-9490.0,-265.88235294117646,0.5082152110958695,1.700701480904131,0.5010762553371679,83.35,82.77,83.15,94.95,94.555,94.93
eaton corp plc,ETN,2019-07-01,2019-09-30,15900000000.0,38.166106577052325,1.442630820931349,0.5014892616397555,1.7189444325252092,-0.023867702022863056,82.87,82.72,83.28,82.89,81.78,83.01
eaton corp plc,ETN,2019-04-01,2019-06-30,48605000000.0,115.2870018975332,1.50853889943074,-0.5074122317330356,1.8260674157303372,,,,,82.87,82.72,83.28
eaton corp plc,ETN,2019-01-01,2019-03-31,47916000000.0,113.00943396226415,1.2311320754716981,-0.5139814844070902,1.465001891789633,,,,,,,
eaton corp plc,ETN,2018-10-01,2018-12-31,16142000000.0,-10761.333333333334,-420.6666666666667,0.4808310819503409,1.4726426076833528,,,,,,,
eaton corp plc,ETN,2018-07-01,2018-09-30,16789000000.0,38.72895040369089,0.9596309111880046,0.46917288478563296,1.4936396430605658,,,,,,,
eaton corp plc,ETN,2018-04-01,2018-06-30,16725000000.0,38.43060661764706,1.4016544117647058,0.4751294523772164,1.468906627065157,,,,,,,
eaton corp plc,ETN,2018-01-01,2018-03-31,17301000000.0,39.42798541476755,1.112123974475843,0.47039916738092324,1.5064862861378798,,,,,,,
eaton corp plc,ETN,2017-10-01,2017-12-31,17290000000.0,-12350.0,-456.42857142857144,0.47000582411182296,1.6427586206896552,,,,,,,
eaton corp plc,ETN,2017-07-01,2017-09-30,16636000000.0,37.58698599186624,3.165386353366471,0.4916424751718869,1.4320338983050847,,,,,,,
eaton corp plc,ETN,2017-04-01,2017-06-30,15594000000.0,34.940622899395024,1.1561729778176115,0.5026630521447935,1.1867173878586146,,,,,,,
eaton corp plc,ETN,2017-01-01,2017-03-31,15199000000.0,33.865864527629235,0.9670231729055259,0.5034791414850871,1.255173654849739,,,,,,,
