company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
first american financial corp,FAF,2023-10-01,2023-12-31,4862800000.0,,,0.710595853072107,1.4072696817420436,,57.34,56.415,56.49,64.74,64.18,64.44
first american financial corp,FAF,2023-04-01,2023-06-30,4786900000.0,45.89549376797699,1.3279002876318313,0.6957008181350082,1.4373994883040935,0.029862557318600207,55.03,54.9,55.66,56.84,56.48,56.92
first american financial corp,FAF,2023-01-01,2023-03-31,4778900000.0,45.731100478468896,0.44019138755980863,0.6893489778008905,-3.2190462240264495,0.07739159103923372,52.39,51.835,52.34,54.59,54.32,54.66
first american financial corp,FAF,2022-10-01,2022-12-31,4688000000.0,-5860.0,-67.5,0.6865262454028753,1.4566085516704004,33.76918089474822,46.27,46.05,46.1,52.39,51.835,52.34
first american financial corp,FAF,2022-07-01,2022-09-30,4531000000.0,43.029439696106365,0.01899335232668566,0.7251607424481378,1.379004600585529,0.07058340391673724,51.8,51.521,52.92,45.88,44.93,45.98
first american financial corp,FAF,2022-04-01,2022-06-30,4933000000.0,45.71825764596849,1.0194624652455977,0.6966547780100849,-3.296574092844111,-0.0074662597647270935,67.03,64.81,64.82,52.31,51.64,52.26
first american financial corp,FAF,2022-01-01,2022-03-31,5379000000.0,48.72282608695652,0.8876811594202898,0.6745325830459249,-3.072504182933631,0.062141228817050725,79.15,78.08,78.11,67.85,66.55,67.0
first american financial corp,FAF,2021-10-01,2021-12-31,5783000000.0,,,0.6484712175551638,1.5420884889388826,,68.01,66.68,67.05,79.15,78.08,78.11
first american financial corp,FAF,2021-07-01,2021-09-30,5612985000.0,50.58748512924042,4.0128519413100685,0.6636124013428212,1.5069037256936395,,62.84,61.8,62.35,67.84,67.28,67.64
first american financial corp,FAF,2021-03-31,2021-06-30,,,,,,,56.86,56.31,56.87,62.45,62.45,62.97
first american financial corp,FAF,2021-01-01,2021-03-31,4965675000.0,44.6903152646405,2.110086128535815,0.655923754476454,-2.9063325731144305,0.2297242190770885,51.13,50.84,51.63,56.86,56.31,56.87
first american financial corp,FAF,2020-10-01,2020-12-31,4921648000.0,-29470.94610778443,-1678.3892215568862,0.6153756943191881,1.625023557529901,41.526172964538105,50.73,50.62,50.91,51.52,51.23,51.3
