company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
first capital inc,FCAP,2023-10-01,2023-12-31,105345000.0,-218558.09128630706,-6452.282157676348,0.9090190693336097,1.1000869329761005,-24.36740824556198,26.99,26.84,27.75,26.78,26.78,27.9
first capital inc,FCAP,2023-07-01,2023-09-30,89262000.0,26.67827102615195,0.9378729412299166,0.9218853509873501,1.0847335831174538,-0.10659584631224893,30.5,30.0,30.8,26.99,26.84,27.75
first capital inc,FCAP,2023-04-01,2023-06-30,92351000.0,27.616405552168125,0.8151760298774275,0.9200188800166282,-12.502950698963737,0.21742632877583637,25.99,25.5,25.65,30.231,30.231,30.35
first capital inc,FCAP,2023-01-01,2023-03-31,94155000.0,28.075606590245833,1.1378738755071753,0.9170561107856567,-12.056343263767193,-0.31225930881318503,25.0,24.645,24.9,26.24,25.7,25.9
first capital inc,FCAP,2022-10-01,2022-12-31,85270000.0,54520.46035805627,2263.4271099744246,0.9259423310752127,1.0799808653728908,-88.49045519549493,25.86,25.7,25.71,25.0,24.645,24.9
first capital inc,FCAP,2022-07-01,2022-09-30,77833000.0,23.17285935453138,0.9303918065975944,0.9321332936885437,1.0728079414939693,-0.244252333226779,27.36,26.77,27.09,26.21,26.01,26.4
first capital inc,FCAP,2022-04-01,2022-06-30,85614000.0,25.550735731904396,0.8087753618971303,0.9271436558543179,-13.725640666246175,0.08886997137797652,39.2,38.855,39.2,27.0,26.75,27.47
first capital inc,FCAP,2022-01-01,2022-03-31,96520000.0,28.805534291627684,0.7541606418871027,0.9178234276451116,-12.16891835888935,0.2613376057192283,40.7,40.6,40.6,38.75,38.75,39.22
first capital inc,FCAP,2021-10-01,2021-12-31,113940000.0,94477.6119402985,2337.479270315091,0.9014873729360896,1.1092778778953507,647.5225225225225,41.44,40.0,40.78,40.7,40.6,40.6
first capital inc,FCAP,2021-07-01,2021-09-30,114462000.0,34.172922835508885,0.8765503087929102,0.898052739818144,1.1135203487074716,0.269015126661335,44.15,42.74,43.36,40.89,40.7031,41.0
first capital inc,FCAP,2021-04-01,2021-06-30,112518000.0,33.66351207743344,0.8167705431254847,0.8956878218095314,-9.58660836488384,0.12077521587786548,49.96,48.71,48.71,44.623,44.01,44.01
first capital inc,FCAP,2021-01-01,2021-03-31,109886000.0,32.875471354905265,0.8792840790643628,0.8959093509751098,-9.607010902207742,0.18980103105013366,61.7,60.56,60.56,50.42,49.04,49.14
first capital inc,FCAP,2020-10-01,2020-12-31,110751000.0,100046.0704607046,2577.2357723577234,0.8911592637617181,1.1221338773709748,1052.3851208853805,56.87,55.57,56.05,63.43,63.01,63.66
first capital inc,FCAP,2020-07-01,2020-09-30,108090000.0,32.332866093654935,0.8214085511441988,0.8860009745129017,1.1286669301348926,0.10605836453463671,70.0,69.47,69.47,57.09,56.7,56.7
first capital inc,FCAP,2020-04-01,2020-06-30,105978000.0,31.76252999709582,0.7306898425420334,0.8847586715353549,-8.67744248806356,0.42359770767132593,59.56,58.53,59.9,69.93,69.54,70.0
first capital inc,FCAP,2020-01-01,2020-03-31,102908000.0,30.843478070613187,0.6276114887070394,0.8761897314043372,1.1413053179671742,-0.0016165599534808924,68.6,67.65,73.0,57.46,57.46,59.94
first capital inc,FCAP,2019-10-01,2019-12-31,98948000.0,97485.71428571429,2367.487684729064,0.8804247996364937,1.1358153477876543,35.01200993364003,55.66,55.2,57.83,68.5,68.245,68.62
first capital inc,FCAP,2019-07-01,2019-09-30,97000000.0,29.078342450542834,0.8738491571477564,0.8821877611302201,1.133545537651581,-0.09770230730935793,49.35,49.35,50.54,56.61,56.61,57.64
first capital inc,FCAP,2019-04-01,2019-06-30,94430000.0,28.358745488142514,0.8589009011552217,0.8868990727233094,1.127524011192619,,,,,49.35,49.35,50.54
first capital inc,FCAP,2019-01-01,2019-03-31,89228000.0,26.79645052440895,0.6447749504180976,0.8903645708542368,1.123135435454913,,,,,,,
