company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"four corners property trust, inc.",FCPT,2023-10-01,2023-12-31,1259863000.0,1925.9896229847525,37.34533080175743,0.48611293529132,2.057135137539007,-1.3441540748429637,22.23,21.91,22.19,25.39,25.25,25.3
"four corners property trust, inc.",FCPT,2023-07-01,2023-09-30,1253644000.0,13.872828890227801,0.26736571053408614,0.48953660052103226,2.0427481804949053,0.035853678834052494,25.66,24.995,25.4,22.23,21.91,22.19
"four corners property trust, inc.",FCPT,2023-04-01,2023-06-30,1255141000.0,14.366414706534274,0.27041308302562994,0.4631517535856793,-1.8627237895981408,0.04518159792404756,26.61,26.55,26.86,25.24,25.24,25.48
"four corners property trust, inc.",FCPT,2023-01-01,2023-03-31,1132967000.0,13.199574218031769,0.269404981978969,0.48443006247087605,-1.9396010651678293,-0.01013647741445582,25.81,25.6618,25.93,26.41,26.3,26.41
"four corners property trust, inc.",FCPT,2022-10-01,2022-12-31,1138310000.0,1436.7249572444607,28.86424879621858,0.4822538293913318,2.0735968053631266,4.010834119987476,23.88,23.69,24.19,25.81,25.6618,25.93
"four corners property trust, inc.",FCPT,2022-07-01,2022-09-30,1068731000.0,13.05161310791892,0.2994200132493173,0.49105066630093097,2.0364497365067606,0.01613725886007844,26.59,26.32,26.59,24.44,23.34,23.67
"four corners property trust, inc.",FCPT,2022-04-01,2022-06-30,991548000.0,12.34884389281279,0.350334001687083,0.5068684454351359,-2.027856442653306,-0.010392496721610278,26.84,26.84,27.04,26.43,26.43,26.7
"four corners property trust, inc.",FCPT,2022-01-01,2022-03-31,975380000.0,12.16258242082999,0.27751058231209524,0.5118973091749074,-2.0487492054378804,0.025262747590838207,29.75,29.71,29.76,27.15,26.7,26.77
"four corners property trust, inc.",FCPT,2021-10-01,2021-12-31,963892000.0,1662.1320784324546,40.86819919539655,0.4934828532091772,2.0264128601366433,2.6848917167028556,27.7,26.85,26.86,29.75,29.71,29.76
"four corners property trust, inc.",FCPT,2021-07-01,2021-09-30,877053000.0,11.502241804898778,0.2775584207098975,0.5228506454999973,1.912592073102844,0.02654737171906784,27.625,27.42,27.61,27.42,27.32,27.56
"four corners property trust, inc.",FCPT,2021-04-01,2021-06-30,849323000.0,11.166661398813329,0.26476879496881967,0.5155832748718124,-2.0643383023890793,0.017823157128982473,27.46,27.33,27.4,27.74,27.45,27.56
"four corners property trust, inc.",FCPT,2021-01-01,2021-03-31,851901000.0,11.213666804585348,0.27088364630580536,0.4980778034463438,-1.9923406593019612,0.0006488419922250073,29.68,29.3,29.77,27.54,27.2,27.43
"four corners property trust, inc.",FCPT,2020-10-01,2020-12-31,844501000.0,957.170496288631,23.016267912214705,0.49375876329818325,2.025280510102249,3.259351972928657,25.71,25.21,25.59,29.84,29.84,30.05
