company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
first united corp/md/,FUNC,2023-10-01,2023-12-31,161873000.0,-13489.416666666666,-146.5,0.9150656396587368,1.0928177790316098,178.60888340530536,16.21,16.09,16.225,23.44,23.21,23.51
first united corp/md/,FUNC,2023-07-01,2023-09-30,154990000.0,23.084599344652965,0.6721775394697647,0.9196193757808444,1.0874064056674586,-0.029737598525520072,14.63,14.15,14.26,16.21,16.09,16.225
first united corp/md/,FUNC,2023-04-01,2023-06-30,155156000.0,23.14379474940334,0.6584128878281623,0.9195412968207207,-12.428736239655573,-0.12721428621420922,17.05,16.65,16.86,14.73,14.605,14.605
first united corp/md/,FUNC,2023-01-01,2023-03-31,152868000.0,22.901573033707866,0.6554307116104869,0.921098025127978,-12.673953999529006,0.6674887160280419,19.5,19.5,19.65,17.12,16.89,16.89
first united corp/md/,FUNC,2022-10-01,2022-12-31,151793000.0,30358.6,1393.8,0.917868441684716,1.089480751908775,399.88066825775655,16.76,16.55,16.55,19.5,19.5,19.65
first united corp/md/,FUNC,2022-07-01,2022-09-30,132044000.0,19.832382096725745,1.0417542805647342,0.926790349747899,1.078992676468864,0.403616574338159,16.98,16.55,18.76,17.03,16.21,16.555
first united corp/md/,FUNC,2022-04-01,2022-06-30,132892000.0,19.98375939849624,0.8162406015037594,0.924168095614438,-13.187061674141408,-0.08606957673171595,22.94,22.21,22.53,18.0,17.5,17.5
first united corp/md/,FUNC,2022-01-01,2022-03-31,137078000.0,20.681653590826794,0.8622510561255281,0.9221246398893777,-12.841032113103488,0.3204719972525732,18.1,18.1,18.55,22.75,22.7,22.7
first united corp/md/,FUNC,2021-10-01,2021-12-31,141900000.0,-4577.419354838709,-243.51612903225808,0.917969197115568,1.089361171531886,-16.35228970730421,18.35,18.35,18.6,18.1,18.1,18.55
first united corp/md/,FUNC,2021-07-01,2021-09-30,133787000.0,20.218679159740063,0.6631403959498262,0.9216958648121572,1.0849565872835953,-0.5071188807318749,17.75,17.4,17.43,18.39,18.35,18.35
first united corp/md/,FUNC,2021-04-01,2021-06-30,130556000.0,19.754274474201846,0.6662127402027538,0.9259805216673489,-13.509957412910936,-0.179794735883341,18.83,17.62,17.62,18.38,17.47,17.6
first united corp/md/,FUNC,2021-01-01,2021-03-31,129189000.0,18.466123499142366,0.49028016009148084,0.927496572349934,-13.792451369698659,0.4401343941123713,15.37,15.37,15.5,18.18,18.11,19.0
first united corp/md/,FUNC,2020-10-01,2020-12-31,131047000.0,-32761.75,-1139.0,0.9243994798703599,1.0817833867022972,-863.5901778154106,11.81,11.71,11.71,15.45,15.37,15.49
first united corp/md/,FUNC,2020-07-01,2020-09-30,130237000.0,18.63723526044648,0.7097882083571837,0.9227495941353823,1.0837176264889083,0.4329006137737686,13.7,13.25,13.34,11.85,11.62,11.73
first united corp/md/,FUNC,2020-04-01,2020-06-30,124453000.0,17.845282477774592,0.36851161456839693,0.9240971776662625,-13.174740665150699,1.7723477712776685,14.15,13.95,14.29,14.95,13.5,13.76
first united corp/md/,FUNC,2020-01-01,2020-03-31,118549000.0,16.784510831091605,0.24847798385954978,0.9188861132264988,-12.328345241208277,0.10216246622749586,24.15,24.0,24.09,13.85,13.85,13.95
first united corp/md/,FUNC,2019-10-01,2019-12-31,125940000.0,,,0.9126646033673433,1.0956927619526673,,22.1,21.96,22.0,24.22,23.9457,24.22
first united corp/md/,FUNC,2019-07-01,2019-09-30,129339000.0,,,0.9102413384373239,1.098609739826551,,18.9,18.9,19.71,22.27,22.1,22.1
first united corp/md/,FUNC,2019-04-01,2019-06-30,126155000.0,,,0.9102501442414748,-11.142079188300107,,,,,18.9,18.9,19.71
first united corp/md/,FUNC,2019-01-01,2019-03-31,122399000.0,,,0.9136149949784776,-11.576083137934134,,,,,,,
first united corp/md/,FUNC,2018-10-01,2018-12-31,117066000.0,,,0.9154462642540787,1.0923634068405066,,,,,,,
first united corp/md/,FUNC,2018-07-01,2018-09-30,115581000.0,,,0.9142514388985582,1.0937910048079849,,,,,,,
first united corp/md/,FUNC,2018-04-01,2018-06-30,112974000.0,,,0.9146281009222287,-11.713456193460443,,,,,,,
first united corp/md/,FUNC,2018-01-01,2018-03-31,111134000.0,,,0.915770055145777,-11.872262313963324,,,,,,,
first united corp/md/,FUNC,2017-10-01,2017-12-31,108390000.0,,,0.9191625541918157,1.0879468440479079,,,,,,,
first united corp/md/,FUNC,2017-07-01,2017-09-30,120838000.0,,,0.910644194734398,1.098123730192629,,,,,,,
first united corp/md/,FUNC,2017-04-01,2017-06-30,118561000.0,,,0.9105662355687815,1.0982177473068218,,,,,,,
first united corp/md/,FUNC,2017-01-01,2017-03-31,114884000.0,,,0.9129293318195529,1.0953750363206176,,,,,,,
first united corp/md/,FUNC,2016-10-01,2016-12-31,113698000.0,,,0.9137468801917781,1.0943949814527618,,,,,,,
first united corp/md/,FUNC,2016-07-01,2016-09-30,114768000.0,,,0.9142363298457841,1.0938090812565748,,,,,,,
first united corp/md/,FUNC,2016-04-01,2016-06-30,113230000.0,,,0.9133944510647671,1.0948172488176107,,,,,,,
first united corp/md/,FUNC,2016-01-01,2016-03-31,111142000.0,,,0.9161379164638817,1.0915387105249503,,,,,,,
first united corp/md/,FUNC,2015-10-01,2015-12-31,120771000.0,,,0.9087458763330608,1.1004176481495185,,,,,,,
first united corp/md/,FUNC,2015-07-01,2015-09-30,114592000.0,,,0.9132085903742667,1.095040071392849,,,,,,,
first united corp/md/,FUNC,2015-04-01,2015-06-30,113154000.0,,,0.9157498002711696,1.0920013301710603,,,,,,,
first united corp/md/,FUNC,2015-01-01,2015-03-31,112001000.0,,,0.9165096888895515,1.0910959394347548,,,,,,,
first united corp/md/,FUNC,2014-10-01,2014-12-31,108999000.0,,,0.9181870995634603,1.089102646372876,,,,,,,
first united corp/md/,FUNC,2014-07-01,2014-09-30,112270000.0,,,0.9157078974950372,1.0920513001313497,,,,,,,
first united corp/md/,FUNC,2014-04-01,2014-06-30,111911000.0,,,0.9157026909967422,1.0920575093117835,,,,,,,
first united corp/md/,FUNC,2014-01-01,2014-03-31,107879000.0,,,0.9204129299940095,1.08646887436328,,,,,,,
first united corp/md/,FUNC,2013-10-01,2013-12-31,101340000.0,,,0.9240046704056909,1.082245611984778,,,,,,,
first united corp/md/,FUNC,2013-07-01,2013-09-30,99496000.0,,,0.9258647719076544,1.0800713347583117,,,,,,,
first united corp/md/,FUNC,2013-04-01,2013-06-30,97783000.0,,,0.9264350296342327,1.0794065077556616,,,,,,,
first united corp/md/,FUNC,2013-01-01,2013-03-31,101935000.0,,,0.9229380533381918,1.0834963369243271,,,,,,,
first united corp/md/,FUNC,2012-10-01,2012-12-31,98905000.0,,,0.9251163892933207,1.0809450698023861,,,,,,,
first united corp/md/,FUNC,2012-07-01,2012-09-30,98479000.0,,,0.9275568505741885,1.0781010343257849,,,,,,,
first united corp/md/,FUNC,2012-04-01,2012-06-30,95103000.0,,,0.9294717818158627,1.0758798917449113,,,,,,,
first united corp/md/,FUNC,2012-01-01,2012-03-31,93706000.0,,,0.9323686559979099,1.0725371274195235,,,,,,,
first united corp/md/,FUNC,2011-10-01,2011-12-31,96656000.0,,,0.9305065552731574,1.0746834552997235,,,,,,,
first united corp/md/,FUNC,2011-07-01,2011-09-30,98328000.0,,,0.9314359349112756,1.0736111443834895,,,,,,,
first united corp/md/,FUNC,2011-04-01,2011-06-30,98096000.0,,,0.9329726509065118,1.0718427802019297,,,,,,,
first united corp/md/,FUNC,2011-01-01,2011-03-30,,,,,,,,,,,,
