company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
genie energy ltd.,GNE,2023-10-01,2023-12-31,184508000.0,15375.666666666666,-2042.3333333333333,0.4418235997035289,2.3392195578715955,-14.826038159371492,14.85,14.56,14.73,28.96,27.84,28.13
genie energy ltd.,GNE,2023-07-01,2023-09-30,207369000.0,7.7914334022167955,0.5432650760849145,0.3431183419019472,2.5544800597404316,-0.007759194798733587,14.13,14.1,14.14,14.85,14.56,14.73
genie energy ltd.,GNE,2023-04-01,2023-06-30,195985000.0,7.623502411700638,0.5826979928426949,0.31463471780722274,2.789643901599862,-0.017955727377316728,13.7,13.55,13.82,13.78,13.78,14.03
genie energy ltd.,GNE,2023-01-01,2023-03-31,185634000.0,7.329779673063255,0.5636105188343994,0.3664584826456435,2.35877323561968,-0.012100634689935379,10.68,10.25,10.34,13.55,13.48,13.63
genie energy ltd.,GNE,2022-10-01,2022-12-31,173644000.0,6.782074099053418,0.6318697724913397,0.3745150658285755,2.294733764793645,-0.0447564899450494,9.43,9.34,9.35,10.68,10.25,10.34
genie energy ltd.,GNE,2022-07-01,2022-09-30,162072000.0,6423.017477113304,725.7955851464352,0.3763007203989902,2.4917501712666765,-16.009521419104107,8.82,8.73,9.16,9.42,9.35,9.4
genie energy ltd.,GNE,2022-04-01,2022-06-30,153254000.0,6.01869379099085,1.329576247889094,0.35939975338056723,2.66964060487779,-0.05100218509418585,6.76,6.75,6.75,8.85,8.6174,8.8
genie energy ltd.,GNE,2022-01-01,2022-03-31,126292000.0,4.9018785902810125,0.6799798167986337,0.4264277766423689,2.0550507103849154,-0.017295101473819366,5.33,5.3,5.53,6.81,6.62,6.79
genie energy ltd.,GNE,2021-10-01,2021-12-31,110789000.0,9232.416666666666,2295.9166666666665,0.5171856274377356,1.7227754273724762,-6.1289500509684,6.54,6.49,6.53,5.33,5.3,5.53
genie energy ltd.,GNE,2021-07-01,2021-09-30,82563000.0,3.235988084972956,-0.10409970996315748,0.5735822745584134,1.410751952040854,-0.012521048260423912,6.32,6.25,6.32,6.64,6.53,6.54
genie energy ltd.,GNE,2021-04-01,2021-06-30,86500000.0,3.352193458378546,0.19365214695396063,0.5327506671132094,1.4333385801983316,-0.016470314679894592,6.6,6.34,6.34,6.26,6.17,6.34
genie energy ltd.,GNE,2021-01-01,2021-03-31,83424000.0,3.2081218274111674,-0.09060144593139517,0.5638120434807615,1.3392763050746783,-0.001943795111807095,7.32,7.08,7.21,6.77,6.4,6.55
genie energy ltd.,GNE,2020-10-01,2020-12-31,86079000.0,43039500.0,-869500.0,0.5405174576569748,1.3728930062684026,-225443.81584081159,8.2016,7.93,8.0,7.43,7.32,7.32
genie energy ltd.,GNE,2020-07-01,2020-09-30,86498000.0,3336.084541808084,245.21752545510645,0.4190554227225103,1.9078289930842791,,7.18,7.16,7.36,8.12,8.1,8.19
genie energy ltd.,GNE,2020-03-31,2020-06-30,,,,,,,6.89,6.56,7.12,7.21,7.18,7.26
genie energy ltd.,GNE,2020-01-01,2020-03-31,85209000.0,3263.7122721005057,209.2079056227976,0.45787524812948543,1.7327510791779603,2.5907612191140434,7.88,7.7,7.73,6.89,6.56,7.12
genie energy ltd.,GNE,2019-10-01,2019-12-31,80930000.0,20232500.0,-11500.0,0.48202810987941935,1.5652059426797493,-130199.72451790635,7.26,7.2,7.46,7.96,7.8,7.83
genie energy ltd.,GNE,2019-07-01,2019-09-30,87784000.0,3289.884945470899,182.77554997563993,0.41566930706250416,1.8159788489485755,-20.39980254706004,10.49,10.47,10.65,7.43,7.23,7.25
genie energy ltd.,GNE,2019-04-01,2019-06-30,88708000.0,3335.514194397443,-294.6418499717992,0.39883844647298405,1.799554732371705,,,,,10.49,10.47,10.65
genie energy ltd.,GNE,2019-01-01,2019-03-31,98371000.0,3.707636062113674,0.21479722599125584,0.36220467335771156,2.023561090541905,,,,,,,
genie energy ltd.,GNE,2018-10-01,2018-12-31,92662000.0,357.7683397683398,47.343629343629345,0.369062534045103,1.9277753711652819,,,,,,,
genie energy ltd.,GNE,2018-07-01,2018-09-30,78950000.0,3.0594845960085255,0.21495834140670414,0.39945079604147177,2.0682995760715968,,,,,,,
