company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
garmin ltd,GRMN,2023-10-01,2023-12-30,7012060000.0,-36.67057786515606,-2.835131240506137,0.18498241834289933,3.4059542819910473,0.007395824396949109,106.32,104.8,105.2,128.4,128.08,128.54
garmin ltd,GRMN,2023-07-02,2023-09-30,6349280000.0,33.166766787682505,1.343761590095855,0.20285468138066662,3.1306825285171387,-0.007505099002805959,103.76,103.55,104.29,106.32,104.8,105.2
garmin ltd,GRMN,2023-04-02,2023-07-01,13995622000.0,73.163273094154,1.5052249690265718,-0.7779443075281384,2.835851752108953,-0.007607554309994464,99.49,99.3937,100.92,103.76,103.55,104.29
garmin ltd,GRMN,2023-01-01,2023-04-01,14131035000.0,73.79207615745334,1.0565488934610283,-0.8290160885971076,3.9317575877802025,-0.010943009932892418,91.76,91.34,92.29,99.49,99.3937,100.92
garmin ltd,GRMN,2022-09-25,2022-12-31,6204340000.0,-32.199316589831255,-1.5220245787518079,0.19749015996285169,3.2643089709359665,0.022887337987540907,82.23,81.26,82.77,91.76,91.34,92.29
garmin ltd,GRMN,2022-06-26,2022-09-24,5878189000.0,30.508786953994353,1.094336488955323,0.2293533514971801,2.75005873494289,-0.01157129830323099,99.1,98.5,100.13,82.23,81.26,82.77
garmin ltd,GRMN,2022-03-27,2022-06-25,13679629000.0,70.8517407833266,1.3356174316583278,-0.7507244970881898,2.5387354777367377,-0.00591690586753578,117.05,116.14,116.57,99.1,98.5,100.13
garmin ltd,GRMN,2021-12-26,2022-03-26,13952091000.0,72.3329773390638,1.0969738758962502,-0.8111956396580197,3.5420385752376786,-0.004748852841372491,134.63,134.37,134.48,117.05,116.14,116.57
garmin ltd,GRMN,2021-09-26,2021-12-25,6114159000.0,107265.94736842105,5019.929824561404,0.22156523957762927,2.9429119123183543,-14.610875651794201,170.75,170.0965,172.62,134.63,134.37,134.48
garmin ltd,GRMN,2021-06-27,2021-09-25,5854738000.0,30.44237268747205,1.3469025904472707,0.22673888848019194,2.917863165686395,-0.004652087706671427,143.93,143.794,144.37,170.75,170.0965,172.62
garmin ltd,GRMN,2021-03-28,2021-06-26,12986972000.0,67.58767629456155,1.649737184491283,-0.7543504256000899,2.662246457777808,,126.99,124.11,128.37,143.93,143.794,144.37
