company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
hawaiian holdings inc,HA,2023-10-01,2023-12-31,95425000.0,4771.25,-5059.1,0.9744410443213853,1.0222969946769733,-75.11811023622047,6.35,6.17,6.33,14.61,14.2,14.2
hawaiian holdings inc,HA,2023-07-01,2023-09-30,178758000.0,3.462155252556554,-0.9436008676789588,0.9544363615972431,1.153064444187468,-0.040382470685476686,10.82,10.57,10.77,6.35,6.17,6.33
hawaiian holdings inc,HA,2023-04-01,2023-06-30,4283667000.0,83.03772268207106,-0.2391106286467521,-0.05512937670110965,1.1926182789516295,-0.024555446650920968,8.87,8.87,9.16,10.42,10.42,10.7
hawaiian holdings inc,HA,2023-01-01,2023-03-31,4360778000.0,84.66379327081756,-1.9076436212553634,-0.05652873996537336,1.2643497682868312,-0.05087156487162716,9.93,9.93,10.26,8.6,8.545,8.75
hawaiian holdings inc,HA,2022-10-01,2022-12-31,333265000.0,19603.823529411766,-2950.5882352941176,0.9194938766163006,1.4980550269386357,-48.870818049233215,13.31,13.14,13.15,9.93,9.93,10.26
hawaiian holdings inc,HA,2022-07-01,2022-09-30,347483000.0,6.7619483147816615,-0.18037284969253523,0.9174843830070779,1.476932926599631,-0.03710112684970628,14.04,13.72,14.31,13.8,13.18,13.35
hawaiian holdings inc,HA,2022-04-01,2022-06-30,4734104000.0,92.18210140976711,-0.7160604408443025,-0.0845564298304656,1.467019396682812,-0.0832775784956909,19.27,19.2,19.7,14.65,14.1,14.4
hawaiian holdings inc,HA,2022-01-01,2022-03-31,4908414000.0,95.70297145531119,-2.394497738262362,-0.09363565753642582,1.5886328686938835,-0.07187182503045864,18.5,18.445,18.47,19.17,18.94,19.12
hawaiian holdings inc,HA,2021-10-01,2021-12-31,569086000.0,3793.9066666666668,-617.16,0.8771169825009932,1.8126794538302986,-61.95137325529041,22.21,21.55,21.66,18.5,18.445,18.47
hawaiian holdings inc,HA,2021-07-01,2021-09-30,627644000.0,12.25627807068932,0.28644795938293305,0.8736950307026741,1.8635670744120372,-0.05083927609244734,24.43,24.27,24.37,22.55,21.87,22.18
hawaiian holdings inc,HA,2021-04-01,2021-06-30,5826610000.0,113.89885839393229,-0.12074829931972789,-0.11703567545017998,1.7277521460571854,0.012586542605186367,27.03,26.61,26.67,25.25,24.41,24.43
hawaiian holdings inc,HA,2021-01-01,2021-03-31,5584901000.0,112.8901398771022,-1.2267747412677878,-0.12306745019353903,1.8130215565584278,1.047900174877174,18.05,17.66,17.7,26.33,26.13,27.07
hawaiian holdings inc,HA,2020-10-01,2020-12-31,600157000.0,5001.308333333333,-1354.6666666666667,0.8491321081037599,1.1134141922536305,16.892134255700743,13.01,12.86,12.89,18.0,18.0,18.21
hawaiian holdings inc,HA,2020-07-01,2020-09-30,717215000.0,15.591291493663181,-2.110801939088281,0.8249472314319075,1.2138772338610906,0.444284396029799,14.15,13.7001,14.04,13.24,12.85,12.86
hawaiian holdings inc,HA,2020-04-01,2020-06-30,4822428000.0,104.90152487437733,-2.3254660546866504,-0.20666433962759867,0.9280716584560429,0.07123396370069783,10.71,10.1,10.44,13.76,13.42,14.27
hawaiian holdings inc,HA,2020-01-01,2020-03-31,5061096000.0,110.10281288750626,-3.1407749037352883,-0.22345330732245033,0.9567680301274301,0.14554745810792458,29.21,29.16,29.29,10.75,10.01,10.6
hawaiian holdings inc,HA,2019-10-01,2019-12-31,1081796000.0,-3099.702005730659,-142.45558739255014,0.7378496320478919,0.8135165399324414,4.127882346150537,26.31,25.96,26.26,29.86,29.27,29.28
hawaiian holdings inc,HA,2019-07-01,2019-09-30,1066847000.0,22.64154587321463,1.6994418387487,0.7375330621688094,0.874845051218871,0.14347672286757035,27.1,27.045,27.43,26.42,26.14,26.15
hawaiian holdings inc,HA,2019-04-01,2019-06-30,4774873000.0,99.78001838926735,1.2085301124252936,-0.26715528412500134,0.6410435172170096,,,,,27.1,27.045,27.43
hawaiian holdings inc,HA,2019-01-01,2019-03-31,4729174000.0,97.72635972888081,0.7513225326500248,-0.25973105771428356,0.6426810521842878,,,,,,,
hawaiian holdings inc,HA,2018-07-01,2018-09-30,983201000.0,19.433154128948097,1.8488753607147093,0.6994146969310187,0.8159615200951579,,,,,,,
hawaiian holdings inc,HA,2018-04-01,2018-06-30,920047000.0,18.119721915865764,1.5653064439892863,0.7154078075116747,0.749246566802629,,,,,,,
hawaiian holdings inc,HA,2018-01-01,2018-03-31,838214000.0,16.417863088825776,0.5590441680540593,0.7181947281575985,0.7297536012019167,,,,,,,
hawaiian holdings inc,HA,2017-10-01,2017-12-31,965942000.0,-2528.6439790575914,-450.6020942408377,0.6622380832993279,0.7871625257870661,,,,,,,
hawaiian holdings inc,HA,2017-07-01,2017-09-30,840791000.0,15.808799473535771,1.4020118454451442,0.7021316168637539,0.9044421305672472,,,,,,,
hawaiian holdings inc,HA,2017-04-01,2017-06-30,787175000.0,14.678980345354866,1.4998881139745646,0.729443199655744,1.0465206980561916,,,,,,,
hawaiian holdings inc,HA,2017-01-01,2017-03-31,705713000.0,13.17562824390426,0.6891452895709644,0.7516982688160655,0.9462934109108979,,,,,,,
hawaiian holdings inc,HA,2016-10-01,2016-12-31,680453000.0,48603.78571428572,138.71428571428572,0.7487806435868554,0.9615957287897113,,,,,,,
hawaiian holdings inc,HA,2016-07-01,2016-09-30,665684000.0,12.459692664757519,1.917644636606959,0.747285637491762,1.0339057810853072,,,,,,,
hawaiian holdings inc,HA,2016-04-01,2016-06-30,566112000.0,10.555095648282805,1.4835738524070552,0.7789779322283635,0.9293831111695101,,,,,,,
hawaiian holdings inc,HA,2016-01-01,2016-03-31,486232000.0,9.062024750260921,0.9591844341732518,0.8108057735071585,0.947888876034352,,,,,,,
hawaiian holdings inc,HA,2015-10-01,2015-12-31,446062000.0,-1898.136170212766,-161.27659574468086,0.8222655207175331,0.9625669004936347,,,,,,,
hawaiian holdings inc,HA,2015-07-01,2015-09-30,377150000.0,7.019225400606726,1.3033258268038934,0.8563670909070829,0.9663649955756263,,,,,,,
hawaiian holdings inc,HA,2015-04-01,2015-06-30,328694000.0,6.017942474230579,0.8940844760980611,0.8743484117991557,0.9039234672051593,,,,,,,
hawaiian holdings inc,HA,2015-01-01,2015-03-31,303668000.0,5.560259274178782,0.47392609953491777,0.8811984222802448,0.7944299411151825,,,,,,,
hawaiian holdings inc,HA,2014-10-01,2014-12-31,367233000.0,1582.9008620689656,47.84051724137931,0.8588937371663244,0.8597120985919616,,,,,,,
hawaiian holdings inc,HA,2014-07-01,2014-09-30,460759000.0,8.551895022086937,0.6602880582055756,0.8238174298610145,0.8880591231568046,,,,,,,
hawaiian holdings inc,HA,2014-04-01,2014-06-30,415946000.0,7.7748369128394925,0.5107945942914821,0.8390985564183641,0.8520708640105796,,,,,,,
hawaiian holdings inc,HA,2014-01-01,2014-03-31,389032000.0,7.383972971947006,-0.09632539953687887,0.8360296993647411,0.7923481228261713,,,,,,,
hawaiian holdings inc,HA,2013-10-01,2013-12-31,396864000.0,3779.657142857143,162.65714285714284,0.8166284011031941,0.9197972764719548,,,,,,,
hawaiian holdings inc,HA,2013-07-01,2013-09-30,314494000.0,6.01292468883238,0.7763225818786685,0.8501875906275188,0.8304109090664098,,,,,,,
hawaiian holdings inc,HA,2013-04-01,2013-06-30,274703000.0,5.281937394247039,0.2175819104753115,0.8713570488964316,0.8233940074609881,,,,,,,
hawaiian holdings inc,HA,2013-01-01,2013-03-31,255202000.0,4.939552888802865,-0.33184941449724187,0.8688349167760986,0.8336162354243198,,,,,,,
hawaiian holdings inc,HA,2012-10-01,2012-12-31,268602000.0,3950.029411764706,-50.11764705882353,0.8560410842608949,0.8746814726441212,,,,,,,
hawaiian holdings inc,HA,2012-07-01,2012-09-30,286761000.0,5.574236062514579,0.8841264287380453,0.8452450080949812,1.0534688377429464,,,,,,,
hawaiian holdings inc,HA,2012-04-01,2012-06-30,238235000.0,4.645496558313671,0.07612659165805433,0.871894558146863,0.9835953011905233,,,,,,,
hawaiian holdings inc,HA,2012-01-01,2012-03-31,232470000.0,-1684.5652173913043,-52.594202898550726,0.860719928248026,0.984238121989003,,,,,,,
hawaiian holdings  inc,HA,2011-10-01,2011-12-31,222876000.0,,,0.8501703160072845,1.0219119512294914,,,,,,,
hawaiian holdings  inc,HA,2011-07-01,2011-09-30,268338000.0,,,0.8043496330343459,0.9812703499943862,,,,,,,
hawaiian holdings  inc,HA,2011-04-01,2011-06-30,241867000.0,,,0.82489609252887,0.950980621332897,,,,,,,
hawaiian holdings  inc,HA,2011-01-01,2011-03-30,,,,,,,,,,,,
