company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"hackett group, inc.",HCKT,2023-09-30,2023-12-29,90080000.0,3753.3333333333335,327.0833333333333,0.503494499195273,1.5121472097498396,-23.615160349854225,24.01,23.553,23.59,22.93,22.84,22.97
"hackett group, inc.",HCKT,2023-07-01,2023-09-29,80842000.0,2.969948567229978,0.346069066862601,0.5529812493433676,1.602265227480786,-0.019786504616085367,22.39,22.17,22.35,23.67,23.61,24.0
"hackett group, inc.",HCKT,2023-04-01,2023-06-30,72893000.0,2.6806781406295968,0.32068255369226245,0.601518638582604,1.639370145941794,-0.015325137279258733,18.36,18.25,18.48,21.56,21.56,22.19
"hackett group, inc.",HCKT,2022-12-31,2023-03-31,63441000.0,2.3474062014356547,0.3019684748020425,0.6429138312422958,1.557193816884661,-0.016788616377628435,20.38,20.22,20.37,18.21,18.14,18.26
"hackett group, inc.",HCKT,2022-10-01,2022-12-30,58278000.0,-297.33673469387753,-49.57142857142857,0.6849718638002519,1.3618227882082516,17.022289204410246,18.01,17.68,17.72,20.2,20.15,20.39
"hackett group, inc.",HCKT,2022-07-02,2022-09-30,164071000.0,5.178028151233984,0.3271476361800164,0.26968222668334396,2.356269613600046,-0.005927672967007822,18.89,18.81,19.29,18.0,17.71,17.93
"hackett group, inc.",HCKT,2022-04-02,2022-07-01,156830000.0,4.954821180336156,0.32272842158473397,0.2802298418001827,2.2114680764538432,-0.004153868977302073,23.0,22.99,23.63,18.54,18.37,18.97
"hackett group, inc.",HCKT,2022-01-01,2022-04-01,150315000.0,4.779643231899265,0.3340328786288912,0.278874523255535,2.160849076275074,-0.004688837551503664,20.86,20.66,20.67,22.98,22.9,23.06
"hackett group, inc.",HCKT,2021-10-02,2021-12-31,143853000.0,-8461.941176470587,-971.8235294117648,0.3068694860292665,1.8615023046512051,77.46436966288792,19.77,19.67,20.21,20.86,20.66,20.67
"hackett group, inc.",HCKT,2021-07-03,2021-10-01,148509000.0,4.9811833366874625,0.2727242235191521,0.2973646858440575,1.924243251606327,-0.01014748880085395,18.13,18.0,18.18,19.83,19.62,19.62
"hackett group, inc.",HCKT,2021-04-03,2021-07-02,144363000.0,4.797069183225892,0.34997009370638665,0.30846722041790015,1.8398632847634466,,,,,18.09,18.02,18.08
"hackett group, inc.",HCKT,2021-01-02,2021-04-02,143181000.0,4.739994041116297,0.21058032906280003,0.2817679280870019,2.000411522633745,-0.008718486431339328,14.11,14.0,14.39,16.54,16.25,16.82
"hackett group, inc.",HCKT,2019-12-28,2020-03-27,140799000.0,4.7107073197350395,0.18491664966495192,0.27835722596087314,2.0573802114143156,-0.018373013350991275,15.95,15.83,15.9,11.12,11.0926,12.33
"hackett group, inc.",HCKT,2019-09-28,2019-12-27,137614000.0,12945.813734713076,214.9576669802446,0.28967920097039773,1.7999450587184946,-24.29629071829647,16.99,16.62,16.685,15.81,15.76,15.95
"hackett group, inc.",HCKT,2019-06-29,2019-09-27,138747000.0,4.644022847680656,0.23125223503661813,0.2845621941598387,1.9807706962684481,-0.015940285163188486,16.54,16.52,16.79,17.03,16.755,16.875
"hackett group, inc.",HCKT,2019-03-30,2019-06-28,131201000.0,4.399334914153434,0.2343499799164515,0.3144082897438979,1.7810017026106697,,,,,16.49,16.25,16.51
"hackett group, inc.",HCKT,2018-12-29,2019-03-29,129747000.0,4.371104321115924,0.23899291740075965,0.30872754977543115,1.9325170142400305,,,,,,,
"hackett group, inc.",HCKT,2018-09-29,2018-12-28,123590000.0,2678.8772081933457,-2.947870380405332,0.31624546339736215,1.6526330069866824,,,,,,,
"hackett group, inc.",HCKT,2018-06-30,2018-09-28,128372000.0,4.354804999741674,0.17494258392537168,0.3139039576708265,1.8832686810943242,,,,,,,
"hackett group, inc.",HCKT,2018-03-31,2018-06-29,121632000.0,4.132936118593574,0.3914722854373567,0.3457690569934809,1.7264315313618384,,,,,,,
"hackett group, inc.",HCKT,2017-12-30,2018-03-30,115384000.0,3.9665367634814603,0.25325414560569853,0.39605022795199135,1.6327984635400532,,,,,,,
"hackett group, inc.",HCKT,2017-09-30,2017-12-29,107275000.0,-2747.1190781049936,-241.76696542893725,0.4208582796616117,1.4633221893951174,,,,,,,
"hackett group, inc.",HCKT,2017-07-01,2017-09-29,98079000.0,3.4097047067580597,0.1838714525438002,0.4616191113989922,1.6755295279124036,,,,,,,
"hackett group, inc.",HCKT,2017-04-01,2017-06-30,91847000.0,3.1626348842412,0.16356022189233943,0.47493797377176633,1.5032052699058314,,,,,,,
"hackett group, inc.",HCKT,2016-12-31,2017-03-31,96026000.0,3.326387914625043,0.27275923645426847,0.4026636476172111,1.519101466992665,,,,,,,
"hackett group, inc.",HCKT,2016-10-01,2016-12-30,86269000.0,-509.84598654894035,-36.78947555051239,0.45844606683030026,1.23289855591787,,,,,,,
"hackett group, inc.",HCKT,2016-07-02,2016-09-30,82882000.0,2.900077423340588,0.1920275198389656,0.46550156386031666,1.3199926377356948,,,,,,,
"hackett group, inc.",HCKT,2016-04-02,2016-07-01,76713000.0,2.6194982827437543,0.18596310466052018,0.5091027765868267,1.3989687192434421,,,,,,,
"hackett group, inc.",HCKT,2016-01-02,2016-04-01,100265000.0,3.3544931991928606,0.1466053877111965,0.34983205156470876,1.4421336056821874,,,,,,,
"hackett group, inc.",HCKT,2014-06-28,2014-09-26,90268000.0,3.1609178497522614,0.12574617803053542,0.43868769276688885,1.3783412354840927,,,,,,,
"hackett group, inc.",HCKT,2014-03-29,2014-06-27,88949000.0,3.073662010727633,0.12007977028722666,0.45203141845063916,1.3936868686868686,,,,,,,
"hackett group, inc.",HCKT,2013-12-28,2014-03-28,86920000.0,2.984940849784363,-0.07026218337159235,0.44848065684862404,1.347901633805536,,,,,,,
"hackett group, inc.",HCKT,2013-09-28,2013-12-27,93176000.0,-465.3076715639763,-6.022592211579757,0.3801407682380021,1.7678645555357884,,,,,,,
"hackett group, inc.",HCKT,2013-06-29,2013-09-27,105756000.0,3.4530499034866087,0.08603565278269994,0.2956268066230635,2.230933553198666,,,,,,,
"hackett group, inc.",HCKT,2013-03-30,2013-06-28,100117000.0,3.2790819841241428,0.09596482329158623,0.3033400598427389,1.9220458048098634,,,,,,,
"hackett group, inc.",HCKT,2012-12-29,2013-03-29,96230000.0,3.1767701415166423,0.06463801243987931,0.32699704866210677,1.9825390773922988,,,,,,,
"hackett group, inc.",HCKT,2012-09-29,2012-12-28,94726000.0,-135.12981455064195,-9.533523537803138,0.3845804016346048,1.640630897816123,,,,,,,
"hackett group, inc.",HCKT,2012-06-30,2012-09-28,89879000.0,3.0570048637801435,0.08965681439406822,0.4001027872703973,1.6787160125183036,,,,,,,
"hackett group, inc.",HCKT,2012-03-31,2012-06-29,84761000.0,2.89385455786958,0.13127347217480367,0.4382112581771907,1.542814517581089,,,,,,,
"hackett group, inc.",HCKT,2011-12-31,2012-03-30,80145000.0,2.0803914442944658,0.09170906447928565,0.4588782585798297,1.8390118703881937,,,,,,,
"hackett group, inc.",HCKT,2011-10-01,2011-12-30,130248000.0,-930.3428571428572,-69.23571428571428,0.22205631144505633,2.185100561338185,,,,,,,
"hackett group, inc.",HCKT,2011-07-02,2011-09-30,121903000.0,3.0719199657283975,0.10951792959201673,0.2003948732076561,2.198826643771911,,,,,,,
"hackett group, inc.",HCKT,2011-04-02,2011-07-01,118371000.0,2.958091763294682,0.11003098760495801,0.2195284374876373,1.9640050862378142,,,,,,,
