company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"houlihan lokey, inc.",HLI,2023-10-01,2023-12-31,1769303000.0,27.468672290865065,1.099226307879498,0.4020419019449067,2.4873029282829173,-0.0050717728178155674,108.99,106.64,107.12,121.12,119.89,119.91
"houlihan lokey, inc.",HLI,2023-07-01,2023-09-30,1646076000.0,25.50025558720667,1.0384135557933232,0.40821692054762215,2.4496779767445753,-0.010560117244598108,99.29,98.01,98.31,108.99,106.64,107.12
"houlihan lokey, inc.",HLI,2023-04-01,2023-06-30,1615053000.0,25.311868027279374,0.9621328700635092,0.4033395632736705,2.479300547369038,-0.020076004679115203,86.77,86.03,87.49,97.15,96.87,98.88
"houlihan lokey, inc.",HLI,2023-01-01,2023-03-31,1613297000.0,-691511.7873981998,-25572.224603514787,0.45658535698093583,2.1901709827320497,159.28104939274922,87.79,86.4,87.16,88.99,86.22,86.3
"houlihan lokey, inc.",HLI,2022-10-01,2022-12-31,1540657000.0,24.307859084132183,0.9947930156508674,0.423329547896013,2.362225847380823,-0.008029564658825988,76.44,75.32,75.38,87.79,86.4,87.16
"houlihan lokey, inc.",HLI,2022-07-01,2022-09-30,1446668000.0,22.809939929868328,0.9575435773383414,0.4236839390024456,2.3602499598037103,-0.00900024223394629,79.3,78.13,78.93,75.6,75.18,76.22
"houlihan lokey, inc.",HLI,2022-04-01,2022-06-30,1417563000.0,22.402289113511834,1.1185949605291579,0.41804509611374036,2.392086426312063,-0.02151497152189053,90.84,87.45,87.8,82.25,80.5,80.9
"houlihan lokey, inc.",HLI,2021-10-01,2021-12-31,1529416000.0,23.560514094467184,2.676371841410222,0.4978543957144386,2.0086194048060273,-0.017101100973721445,92.31,91.63,92.1,105.01,103.08,103.27
"houlihan lokey, inc.",HLI,2021-07-01,2021-09-30,1437737000.0,22.065744372881195,1.7324777911703932,0.38996974324399436,2.564301506269231,-0.013949295740877464,81.18,80.97,81.79,92.37,91.5,91.71
"houlihan lokey, inc.",HLI,2021-04-01,2021-06-30,1384598000.0,21.07026317475424,1.308105184683117,0.3557249407769561,2.811160774433897,-0.030208840348438775,67.36,65.8,66.51,81.99,80.94,81.08
"houlihan lokey, inc.",HLI,2021-01-01,2021-03-31,1383561000.0,13236.524883760978,950.6342919465013,0.4297103089073797,2.3271491962636186,-12.108875599108183,66.37,66.02,67.23,67.0,67.0,67.26
"houlihan lokey, inc.",HLI,2020-10-01,2020-12-31,1354266000.0,20.350339674975743,1.7809060454738952,0.3611347113570673,2.7690497992901677,-0.011018390338076849,58.11,58.02,59.05,66.89,66.44,66.46
"houlihan lokey, inc.",HLI,2020-07-01,2020-09-30,1250612000.0,18.72514741906879,0.7305222903477387,0.3186691894442135,3.138050470910244,-0.012634799442938834,53.91,53.61,55.64,57.16,56.89,58.04
"houlihan lokey, inc.",HLI,2020-04-01,2020-06-30,1209640000.0,18.99428134954994,0.7238817914538641,0.2878953871911357,3.4734839267712654,0.047606003872144226,47.92,47.44,52.12,53.88,53.46,53.98
"houlihan lokey, inc.",HLI,2020-01-01,2020-03-31,984382000.0,-21013.14946847116,-1259.744695384878,0.41301118721910457,2.421241920184343,9.07369205413114,49.11,48.76,48.87,47.08,46.61,47.98
"houlihan lokey, inc.",HLI,2019-10-01,2019-12-31,946693000.0,15.26565598364926,0.7884276990159924,0.3847169234968771,2.5993137783243827,-0.009190849994268224,44.85,44.81,45.1,49.07,48.74,49.12
