company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
honeywell international inc,HON,2023-10-01,2023-12-31,16434000000.0,-7470.0,-574.0909090909091,0.7328890694839496,1.2677059172555154,5.641367452014567,188.22,184.34,184.74,209.22,208.91,209.71
honeywell international inc,HON,2023-07-01,2023-09-30,17775000000.0,26.83423913043478,2.2856280193236715,0.7100137039937353,1.35368897660649,-0.018639056902103837,207.67,206.81,207.5,188.22,184.34,184.74
honeywell international inc,HON,2023-04-01,2023-06-30,17894000000.0,26.896137081016082,2.23508191793176,0.7129473667324382,1.4081169209269826,0.00877561677643672,190.12,189.33,191.12,202.42,201.74,206.47
honeywell international inc,HON,2023-01-01,2023-03-31,17515000000.0,26.227912548667266,2.087451332734352,0.7075129836514537,1.2578229772016094,-0.013807259502942579,213.98,211.93,214.3,189.61,187.98,189.12
honeywell international inc,HON,2022-10-01,2022-12-31,17319000000.0,-7872.272727272727,-463.1818181818182,0.7218948213568848,1.2529842511786538,-0.7455507455507455,170.1,166.63,166.97,213.98,211.93,214.3
honeywell international inc,HON,2022-07-01,2022-09-30,18330000000.0,27.191811303960836,2.302329031300994,0.6959543516844428,1.2438566458666962,-0.02405446005983419,171.26,170.18,173.81,173.36,168.11,170.07
honeywell international inc,HON,2022-04-01,2022-06-30,18190000000.0,26.78939617083947,1.8571428571428572,0.7078287127758681,1.195518123026019,-0.01582310117356789,196.67,194.55,194.58,176.05,171.41,173.2
honeywell international inc,HON,2022-01-01,2022-03-31,19051000000.0,27.823864466189573,1.6561997955308894,0.6992833691122616,1.2124132421231337,-0.012064337236615482,208.1,206.91,207.11,197.12,195.69,196.54
honeywell international inc,HON,2021-10-01,2021-12-31,19242000000.0,-14801.538461538461,-1098.4615384615386,0.7015355979525361,1.3005946278449867,10.885307503709686,216.17,212.1,212.28,208.1,206.91,207.11
honeywell international inc,HON,2021-07-01,2021-09-30,18114000000.0,26.22936576889661,1.8201563857515204,0.7178109080712249,1.2883159301232245,,215.53,215.53,219.35,215.83,214.55,214.92
honeywell international inc,HON,2021-01-01,2021-03-31,18252000000.0,26.216604424016086,2.0496983625395,0.712842780950583,1.4254596100278552,-0.015092084178022604,211.0,209.67,212.7,219.0,217.05,218.09
honeywell international inc,HON,2020-10-01,2020-12-31,17790000000.0,-25414.285714285714,-1941.4285714285713,0.7245533087666057,1.4676772412356098,17.692327579520676,165.77,163.02,164.61,210.0,209.56,210.95
honeywell international inc,HON,2020-07-01,2020-09-30,18313000000.0,26.064617136350698,1.0788499857671505,0.7114199719503932,1.6410614525139664,-0.007693702517399474,142.26,142.02,144.59,164.56,163.47,164.51
honeywell international inc,HON,2020-04-01,2020-06-30,18366000000.0,26.15121742844938,1.5392282500355974,0.711244575812842,1.6331814774234472,0.05602042318650647,131.84,130.0,133.79,140.11,139.28,143.24
honeywell international inc,HON,2020-01-01,2020-03-31,17865000000.0,25.176155580608793,2.2280157835400227,0.68888230991606,1.301317833918398,-0.01953424232887269,176.46,175.46,177.0,130.75,130.1282,131.75
honeywell international inc,HON,2019-10-01,2019-12-31,18706000000.0,-7482.4,-624.8,0.6812147446275499,1.342855564150735,9.735236628561273,168.83,168.0575,169.2,176.56,175.76,176.42
honeywell international inc,HON,2019-07-01,2019-09-30,18306000000.0,25.510033444816052,2.2630992196209587,0.6954279249301212,1.3149887019834297,0.008576086172513861,174.19,174.0,174.59,167.86,166.3097,168.04
honeywell international inc,HON,2019-04-01,2019-06-30,18060000000.0,24.972345132743364,2.130807522123894,0.6872727272727273,1.194732080024128,,,,,174.19,174.0,174.59
honeywell international inc,HON,2019-01-01,2019-03-31,18956000000.0,25.977799095518705,1.9405235028093737,0.6762978142076502,1.2419741744500588,,,,,,,
honeywell international inc,HON,2018-10-01,2018-12-31,18358000000.0,-6119.333333333333,-573.6666666666666,0.6822391082339501,1.2873599661805115,,,,,,,
honeywell international inc,HON,2018-07-01,2018-09-30,18416000000.0,24.82609867888919,3.151792936101375,0.7026175981397452,1.4875977653631285,,,,,,,
honeywell international inc,HON,2018-04-01,2018-06-30,17773000000.0,23.84037558685446,1.699530516431925,0.7030905446040762,1.3752358752358753,,,,,,,
honeywell international inc,HON,2018-01-01,2018-03-31,17774000000.0,23.679722888355982,1.917132960298428,0.7083743519065433,1.3642761930151959,,,,,,,
honeywell international inc,HON,2017-10-01,2017-12-31,17439000000.0,-17439.0,2411.0,0.7063498745516695,1.378611950585865,,,,,,,
honeywell international inc,HON,2017-07-01,2017-09-30,21228000000.0,27.850957753870375,1.7685646811860405,0.6260569334836528,1.3522085048010974,,,,,,,
honeywell international inc,HON,2017-04-01,2017-06-30,20550000000.0,26.890866265375557,1.8215126930123005,0.6308471653373572,1.338301540514988,,,,,,,
honeywell international inc,HON,2017-01-01,2017-03-31,20475000000.0,26.831345826235093,1.737649063032368,0.6262253783384144,1.3645043689601297,,,,,,,
honeywell international inc,HON,2016-10-01,2016-12-31,19547000000.0,-27924.285714285714,-1477.142857142857,0.6389945702360286,1.4119159879982854,,,,,,,
honeywell international inc,HON,2016-07-01,2016-09-30,19371000000.0,25.364671991619748,1.6236742176247216,0.638303831503473,1.198814033931807,,,,,,,
honeywell international inc,HON,2016-04-01,2016-06-30,18942000000.0,24.815930826673654,1.7280230577754487,0.6299017213419043,1.2808748664445981,,,,,,,
honeywell international inc,HON,2016-01-01,2016-03-31,18372000000.0,23.92499023310327,1.5835395233754395,0.6352228730269036,1.2473338016476148,,,,,,,
honeywell international inc,HON,2015-10-01,2015-12-31,18418000000.0,-6821.481481481482,-442.22222222222223,0.6265309433044043,1.0915573458167764,,,,,,,
honeywell international inc,HON,2015-07-01,2015-09-30,17896000000.0,22.93182983085597,1.619682214249103,0.616171581769437,1.4345329015702328,,,,,,,
honeywell international inc,HON,2015-04-01,2015-06-30,18597000000.0,23.741861355802374,1.5243201838376101,0.5993062139101957,1.4883780660074484,,,,,,,
honeywell international inc,HON,2015-01-01,2015-03-31,17677000000.0,22.552947180403166,1.4238326103597856,0.6102696386445312,1.4432348367029548,,,,,,,
honeywell international inc,HON,2014-10-01,2014-12-31,17784000000.0,-88920.0,-4780.0,0.6087214802754615,1.502132268327354,,,,,,,
honeywell international inc,HON,2014-07-01,2014-09-30,19063000000.0,24.29955385595921,1.4875717017208414,0.5872111907494424,1.603068760306876,,,,,,,
honeywell international inc,HON,2014-04-01,2014-06-30,18817000000.0,23.98597833014659,1.4008922880815806,0.5961670529659199,1.5675090756771852,,,,,,,
honeywell international inc,HON,2014-01-01,2014-03-31,18043000000.0,22.987641737800995,1.2957064594215824,0.6058500993948926,1.5001045077684108,,,,,,,
honeywell international inc,HON,2013-10-01,2013-12-31,17579000000.0,-87895.0,-4735.0,0.6130956311213822,1.4924194344545518,,,,,,,
honeywell international inc,HON,2013-07-01,2013-09-30,15073000000.0,19.169528169909704,1.2590614269362839,0.660563887762915,1.3165109459182978,,,,,,,
honeywell international inc,HON,2013-04-01,2013-06-30,13858000000.0,17.595226003047234,1.2963433214829863,0.671346582554665,1.3241097922848664,,,,,,,
honeywell international inc,HON,2013-01-01,2013-03-31,13533000000.0,17.221939424790023,1.229320437770425,0.676244019138756,1.348562275951491,,,,,,,
honeywell international inc,HON,2012-10-01,2012-12-31,13065000000.0,7685.294117647059,147.64705882352942,0.6878359974195398,1.3490226140283634,,,,,,,
honeywell international inc,HON,2012-07-01,2012-09-30,13219000000.0,16.869576314446146,1.2123532414497193,0.6781662365486683,1.395893966805632,,,,,,,
