company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
heartland financial usa inc,HTLF,2023-10-01,2023-12-31,1933117000.0,45.197599168414506,-1.6921770590264325,0.9004148888091088,1.1105991387177112,-0.5399113536756188,29.6,29.18,29.43,38.1,37.57,37.61
heartland financial usa inc,HTLF,2023-07-01,2023-09-30,1825530000.0,42.69206424279508,1.0775856524842164,0.9093120331639774,1.0997325049361453,-0.18697093312888832,28.73,27.86,27.87,29.6,29.18,29.43
heartland financial usa inc,HTLF,2023-04-01,2023-06-30,1858990000.0,43.54063173182424,1.110280370854817,0.9080832581283218,-10.879410862887912,-0.04870441235367274,38.17,37.58,38.36,28.29,28.29,28.44
heartland financial usa inc,HTLF,2023-01-01,2023-03-31,1829405000.0,42.92885904490566,1.1912057044211348,0.9093570661855116,-11.032299572811926,-0.06513362117300617,46.83,46.44,46.62,39.37,37.675,37.8
heartland financial usa inc,HTLF,2022-10-01,2022-12-31,1735055000.0,40.74910019562001,1.3772524407995992,0.9142938421756562,1.0937402767805995,0.2477724526896654,43.93,43.25,43.36,46.83,46.44,46.62
heartland financial usa inc,HTLF,2022-07-01,2022-09-30,1655958000.0,38.895483985893264,1.281305170127783,0.915868403872387,1.0918599176168715,0.043520348938435316,41.09,40.603,41.54,43.8,43.06,43.81
heartland financial usa inc,HTLF,2022-04-01,2022-06-30,1774068000.0,41.76750774900008,1.173895083995029,0.9097552145523142,-11.080972657192396,0.29618246767577044,47.77,47.551,47.83,41.89,41.455,41.69
heartland financial usa inc,HTLF,2022-01-01,2022-03-31,1931857000.0,45.60613936180957,0.9696979540544097,0.8995440094027943,-9.954607923878424,0.09760261764221553,51.27,50.7,50.77,49.84,47.66,47.86
heartland financial usa inc,HTLF,2021-10-01,2021-12-31,2182178000.0,51.57715486701495,1.1242997146493856,0.8867844845552547,1.1276697071459543,0.12028108993941587,48.88,48.08,48.08,51.27,50.7,50.77
heartland financial usa inc,HTLF,2021-07-01,2021-09-30,2172252000.0,51.35010039529317,1.2744079703508848,0.885648227476775,1.1291164696947624,0.3206583238079037,46.85,46.78,46.99,48.39,47.83,48.68
heartland financial usa inc,HTLF,2021-04-01,2021-06-30,2159786000.0,51.1277956270656,1.4107225089910391,0.8824350718735816,-8.505938088310602,-0.009640827895774194,50.3,49.97,50.26,48.27,46.96,47.09
heartland financial usa inc,HTLF,2021-01-01,2021-03-31,2056207000.0,48.7552168283789,1.2045546825287905,0.8872967070985567,-8.8728552135072,0.26687440856132705,38.47,36.71,40.37,50.2,50.1013,50.72
heartland financial usa inc,HTLF,2020-10-01,2020-12-31,2079231000.0,54.11836518852142,0.9837308179322871,0.8838959325038463,1.1313549064167103,-0.09607049532320186,30.45,29.77,29.995,40.0,39.99,40.38
heartland financial usa inc,HTLF,2020-07-01,2020-09-30,1811604000.0,49.04032391013697,1.2322585867073297,0.8839657344832375,1.1312655694562592,0.40663834483114847,32.3,32.3,33.44,30.45,29.51,30.205
heartland financial usa inc,HTLF,2020-04-01,2020-06-30,1747377000.0,47.37965297214707,0.8169938849508511,0.8837109538283019,-8.599262208441568,1.4860034325683389,29.84,29.15,30.2,31.37,30.82,32.54
heartland financial usa inc,HTLF,2020-01-01,2020-03-31,1553714000.0,42.19644174520977,0.544255051170295,0.8831311483560619,-8.556599863295304,0.033871088430632044,49.76,49.69,49.74,29.55,28.34,30.11
heartland financial usa inc,HTLF,2019-10-01,2019-12-31,1578137000.0,42.933128208057965,1.029734323321234,0.8805310260411426,1.1356783241312784,0.11670480200531798,45.07,44.49,44.74,49.75,49.45,49.85
heartland financial usa inc,HTLF,2019-07-01,2019-09-30,1563843000.0,42.620373968099805,0.9433020986018869,0.8755819554083605,1.1420975430376616,0.21541764652904877,44.43,44.37,44.73,44.49,44.49,45.12
heartland financial usa inc,HTLF,2019-04-01,2019-06-30,1521787000.0,42.57463059659882,1.2636811126772487,0.8748560272822441,-7.990796346663495,,,,,44.43,44.37,44.73
heartland financial usa inc,HTLF,2019-01-01,2019-03-31,1372102000.0,39.69699671725613,0.9112560914592475,0.878709161860403,-8.244645806215573,,,,,,,
heartland financial usa inc,HTLF,2018-10-01,2018-12-31,1325175000.0,38.43946406973582,0.932316723953726,0.8838381571678696,1.13142886159651,,,,,,,
heartland financial usa inc,HTLF,2018-07-01,2018-09-30,1280393000.0,37.16414109830506,0.9780747493852165,0.8870420741461149,1.127342241305319,,,,,,,
heartland financial usa inc,HTLF,2018-04-01,2018-06-30,1255747000.0,38.49531471891762,0.8542408940314876,0.8888908256296275,1.1249975488178434,,,,,,,
heartland financial usa inc,HTLF,2018-01-01,2018-03-31,1051505000.0,34.54151295246375,0.7639173220379784,0.8954336390621074,1.1167773427044994,,,,,,,
heartland financial usa inc,HTLF,2017-10-01,2017-12-31,991457000.0,33.105357804468305,0.45608239414440827,0.8989416597465287,1.1124192422920596,,,,,,,
heartland financial usa inc,HTLF,2017-07-01,2017-09-30,981684000.0,33.111826433861246,0.729301802976261,0.899372536485866,1.1118862978708661,,,,,,,
heartland financial usa inc,HTLF,2017-04-01,2017-06-30,805970000.0,30.201022263965637,0.8224651509011275,0.9017675311567572,1.1089332510311538,,,,,,,
heartland financial usa inc,HTLF,2017-01-01,2017-03-31,781312000.0,29.66843704988246,0.6833546562060799,0.9065622479249495,1.1030682143326862,,,,,,,
heartland financial usa inc,HTLF,2016-10-01,2016-12-31,740916000.0,29.057326407990015,0.7508699655661057,0.9101601912628702,1.0987076886020195,,,,,,,
heartland financial usa inc,HTLF,2016-07-01,2016-09-30,704388000.0,28.63247599204846,0.8199661347319964,0.9141222218632405,1.0939456191773964,,,,,,,
heartland financial usa inc,HTLF,2016-04-01,2016-06-30,687963000.0,28.052330032372417,0.8542149241284339,0.9161470776477162,1.0915277954797207,,,,,,,
heartland financial usa inc,HTLF,2016-01-01,2016-03-31,669543000.0,28.301829368555936,0.8386863823556042,0.9188804304064841,1.0882808762807485,,,,,,,
heartland financial usa inc,HTLF,2015-10-01,2015-12-31,663173000.0,31.234257425220296,0.6776018649381751,0.9138149185795933,1.094313497917467,,,,,,,
heartland financial usa inc,HTLF,2015-07-01,2015-09-30,591009000.0,28.662006615439566,0.6972375532524456,0.9131620521301862,1.0950958788390757,,,,,,,
heartland financial usa inc,HTLF,2015-04-01,2015-06-30,579206000.0,28.118298944035796,0.7260582228205498,0.9137702253399468,1.0943670216743748,,,,,,,
heartland financial usa inc,HTLF,2015-01-01,2015-03-31,567347000.0,28.06622466890485,0.7670205597127856,0.9128000410680396,1.0955301873452268,,,,,,,
heartland financial usa inc,HTLF,2014-10-01,2014-12-31,496317000.0,26.853988508531437,0.6524705932385564,0.9179961476197227,1.0893291900983524,,,,,,,
heartland financial usa inc,HTLF,2014-07-01,2014-09-30,483399000.0,26.173871318499852,0.637184019156238,0.9185485160516539,1.0886741228416135,,,,,,,
heartland financial usa inc,HTLF,2014-04-01,2014-06-30,472421000.0,25.594219734162426,0.5726479191020231,0.9201170865067795,1.0868182046227353,,,,,,,
heartland financial usa inc,HTLF,2014-01-01,2014-03-31,457335000.0,24.804942471636096,0.36263536655921574,0.9204233716401762,1.0864565490313656,,,,,,,
heartland financial usa inc,HTLF,2013-10-01,2013-12-31,439460000.0,24.284461862326342,0.4272133405944681,0.9258134589841917,1.0801311973766359,,,,,,,
heartland financial usa inc,HTLF,2013-07-01,2013-09-30,396603000.0,23.418328547452845,0.38581493011665796,0.9192703445945534,1.0878192752329596,,,,,,,
heartland financial usa inc,HTLF,2013-04-01,2013-06-30,395135000.0,23.370529066997566,0.5530712726169391,0.9203317663207625,1.086564689598545,,,,,,,
heartland financial usa inc,HTLF,2013-01-01,2013-03-31,413974000.0,24.565752288556293,0.7168428153598052,0.9155251299954005,1.0922693077851657,,,,,,,
heartland financial usa inc,HTLF,2012-10-01,2012-12-31,404539000.0,24.466776987383195,0.5442047845386329,0.9189390434286541,1.0882114620670587,,,,,,,
heartland financial usa inc,HTLF,2012-07-01,2012-09-30,394746000.0,23.962107011392664,0.7671594098736415,0.9140585522458541,1.0940218189994357,,,,,,,
heartland financial usa inc,HTLF,2012-04-01,2012-06-30,374994000.0,22.762149036189665,0.7852156566029043,0.9153069640922884,1.0925296531439612,,,,,,,
heartland financial usa inc,HTLF,2012-01-01,2012-03-31,366043000.0,22.19780884849901,0.7167958425355992,0.9151273716620398,1.0927440605167518,,,,,,,
heartland financial usa inc,HTLF,2011-10-01,2011-12-31,352893000.0,,,0.918028282081217,1.0892910594572849,,,,,,,
heartland financial usa inc,HTLF,2011-07-01,2011-09-30,353223000.0,,,0.9141136470898896,1.0939558808508465,,,,,,,
heartland financial usa inc,HTLF,2011-04-01,2011-06-30,345550000.0,,,0.9138411870293274,1.0942820417744068,,,,,,,
heartland financial usa inc,HTLF,2011-01-01,2011-03-30,,,,,,,,,,,,
