company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"interpublic group of companies, inc.",IPG,2023-10-01,2023-12-31,4046100000.0,-4495.666666666667,-514.6666666666666,0.7900017127464668,1.0599657338663622,9.30560316916162,29.17,28.48,28.66,32.94,32.355,32.64
"interpublic group of companies, inc.",IPG,2023-07-01,2023-09-30,3777700000.0,9.848018769551617,0.6352971845672576,0.7781386361901182,1.0383368163147655,-0.015300674885289042,38.42,38.155,38.58,29.17,28.48,28.66
"interpublic group of companies, inc.",IPG,2023-04-01,2023-06-30,3791300000.0,9.82966035779103,0.6883588281047446,0.7784161309175921,1.034193864971934,0.00776745457754562,36.65,36.59,37.24,38.7,38.0,38.09
"interpublic group of companies, inc.",IPG,2023-01-01,2023-03-31,3658400000.0,9.48263348885433,0.3265940902021773,0.7804621911774413,1.026494974874372,-0.021363886728875063,33.28,33.045,33.31,36.16,36.02,36.46
"interpublic group of companies, inc.",IPG,2022-10-01,2022-12-31,3744300000.0,-3120.25,-247.66666666666666,0.801310692491377,1.0342575526885167,7.964973503942097,25.79,25.56,25.6,33.28,33.045,33.31
"interpublic group of companies, inc.",IPG,2022-07-01,2022-09-30,3466200000.0,8.874039938556068,0.6446492575524834,0.7945979899497487,1.0447657053322235,-0.01967481230154041,27.3,27.04,27.53,25.84,25.54,25.65
"interpublic group of companies, inc.",IPG,2022-04-01,2022-06-30,3498400000.0,8.899516662426864,0.5840752989061307,0.7971847969760917,1.035225164545594,-0.016301553838924978,36.36,35.445,35.45,27.36,26.805,27.44
"interpublic group of companies, inc.",IPG,2022-01-01,2022-03-31,3556700000.0,9.01571609632446,0.4040557667934094,0.8010894306215012,1.0352683656831432,-0.013981960542388266,38.09,37.7,37.77,37.0,36.46,36.5
"interpublic group of companies, inc.",IPG,2021-10-01,2021-12-31,3604800000.0,18024.0,1789.5,0.8189379784220361,1.031386593204775,-81.64238410596026,37.75,36.66,36.67,38.09,37.7,37.77
"interpublic group of companies, inc.",IPG,2021-07-01,2021-09-30,3293900000.0,8.370775095298603,0.6096569250317662,0.8150045211257322,1.0092717427340037,-0.012297370143621731,31.68,31.64,32.49,37.78,37.2,37.49
