company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"jerash holdings (us), inc.",JRSH,2023-10-01,2023-12-31,68238971.0,5.550212202842818,0.01795167728900905,0.12277957140322664,5.528308461029263,-0.016045698148326435,3.1161,3.0,3.035,3.05,3.03,3.1145
"jerash holdings (us), inc.",JRSH,2023-07-01,2023-09-30,68229924.0,5.5494763656948765,0.029737434566045592,0.13747795086276066,4.964387620488862,-0.08005248110658705,3.76,3.6605,3.72,3.1161,3.0,3.035
"jerash holdings (us), inc.",JRSH,2023-04-01,2023-06-30,68292115.0,5.554534666575572,0.04027014584980366,0.17087930061628143,4.108734990232475,0.041710737533981336,4.88,4.65,4.7,3.8,3.75,3.78
"jerash holdings (us), inc.",JRSH,2023-01-01,2023-03-31,68234234.0,308.41865132277763,-8.969164568633921,0.18496443348396002,3.9652826626791566,-6.48395133793278,3.78,3.75,3.89,4.8,4.785,4.785
"jerash holdings (us), inc.",JRSH,2022-10-01,2022-12-31,71069831.0,5.7254714885020626,0.07176537482471895,0.22015694447393414,3.487954513652227,0.04663169664705435,4.24,4.2,4.24,3.78,3.75,3.89
"jerash holdings (us), inc.",JRSH,2022-07-01,2022-09-30,70987199.0,5.679688834542512,0.14335815431552967,0.23973381944022817,3.2481256682552857,-0.019974923919116993,4.8,4.7,4.71,4.3,4.23,4.245
"jerash holdings (us), inc.",JRSH,2022-04-01,2022-06-30,70586086.0,5.721719649210523,0.13953550581055463,0.18207016461162615,4.973073729052547,0.0026872641716231454,6.43,6.39,6.42,4.83,4.59,4.81
"jerash holdings (us), inc.",JRSH,2022-01-01,2022-03-31,69304258.0,413.16476690115655,-0.7828186479074759,0.18762796124822567,4.943070629172596,-0.5672496812833048,6.5,6.43,6.47,6.5,6.37,6.39
"jerash holdings (us), inc.",JRSH,2021-10-01,2021-12-31,70019677.0,5.696899235528247,0.13626383550676766,0.15188009258866722,6.404549789421099,0.06524242894050765,7.05,6.7,6.72,6.5,6.43,6.47
"jerash holdings (us), inc.",JRSH,2021-07-01,2021-09-30,62331013.0,5.499317471064426,0.3918568369089344,0.18855857017413175,5.305412263587406,-0.007473842873357678,6.69,6.37,6.66,8.17,7.86,7.86
"jerash holdings (us), inc.",JRSH,2021-04-01,2021-06-30,58141971.0,5.129902026957277,0.17069827652075617,0.1868501568784753,5.582358697504142,-0.017400494260131183,5.98,5.98,6.2999,6.48,6.48,6.61
"jerash holdings (us), inc.",JRSH,2021-01-01,2021-03-31,56693449.0,432774.4198473282,5201.595419847328,0.22602910944632776,4.450788420189257,-932.2607917856224,6.23,5.85,5.85,5.97,5.93,5.9946
"jerash holdings (us), inc.",JRSH,2020-10-01,2020-12-31,56579735.0,4.996003090507727,0.008330684326710816,0.21865977622079183,4.5366905168509595,-0.01312355859384272,4.65,4.52,4.52,6.08,5.9301,6.1465
"jerash holdings (us), inc.",JRSH,2020-07-01,2020-09-30,57034906.0,5.0361947902869755,0.2260485651214128,0.18738855158449164,5.424737561637829,0.00699333925823992,4.62,4.61,4.87,4.5999,4.54,4.5701
"jerash holdings (us), inc.",JRSH,2020-04-01,2020-06-30,55040352.0,4.8600752317880795,0.0718639293598234,0.15807552531261715,6.757542861558294,-0.010597616642346692,4.72,4.72,5.0858,5.1,4.75,4.76
"jerash holdings (us), inc.",JRSH,2020-01-01,2020-03-31,54751151.0,,,0.18861984039013244,5.435617186519326,,5.81,5.81,5.86,4.5,4.06,4.4
"jerash holdings (us), inc.",JRSH,2019-10-01,2019-12-31,55973279.0,4.94245289183223,0.18304635761589405,0.16634640327397412,6.4269094658972135,-0.006210613227831771,7.7,7.39,7.39,5.91,5.83,5.84
"jerash holdings (us), inc.",JRSH,2019-07-01,2019-09-30,54465565.0,4.809321412803532,0.3172626931567329,0.13181973509722228,8.86888671417702,-0.007480359248843328,7.3,7.05,7.17,7.6,7.43,7.43
"jerash holdings (us), inc.",JRSH,2019-04-01,2019-06-30,51246178.0,4.525048830022075,0.13677704194260484,0.15397275816932002,7.413353279086777,,,,,7.3,7.05,7.17
"jerash holdings (us), inc.",JRSH,2019-01-01,2019-03-31,50262129.0,1225.0092371435535,-5.2644406531806,0.15170973121392167,7.296567399356778,,,,,,,
"jerash holdings (us), inc.",JRSH,2018-10-01,2018-12-31,50849783.0,4.49004706401766,0.14357615894039735,0.15519875790926732,6.953788032538761,,,,,,,
"jerash holdings (us), inc.",JRSH,2018-07-01,2018-09-30,49790229.0,4.39648821192053,0.40503311258278146,0.15455288075059737,6.969402168059276,,,,,,,
"jerash holdings (us), inc.",JRSH,2018-04-01,2018-06-30,45008705.0,4.158945691255419,-8.177677933104377e-05,0.2096864118937944,4.858949989338919,,,,,,,
