company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
signet jewelers ltd,SIG,2023-10-29,2024-02-03,2822000000.0,-14110.0,-3088.0,0.5858040274760759,1.7897773279352227,2.9006526468455403,68.95,67.34,67.72,98.6,97.32,100.27
signet jewelers ltd,SIG,2023-07-30,2023-10-28,2227300000.0,49.82774049217002,0.06711409395973154,0.6327556925917988,1.6131152797819464,-0.016076093124004768,77.79,77.65,79.84,68.95,67.34,67.72
signet jewelers ltd,SIG,2023-04-30,2023-07-29,2268800000.0,50.19469026548673,1.4712389380530972,0.6272957255971351,1.6128057010203531,-0.019076492198893742,73.18,73.09,73.58,77.79,77.65,79.84
signet jewelers ltd,SIG,2023-01-29,2023-04-29,2235800000.0,49.35540838852097,1.9602649006622517,0.6397009056628098,1.736468600394255,-0.029427562316589138,75.54,74.95,76.0,73.18,73.09,73.58
signet jewelers ltd,SIG,2022-10-30,2023-01-28,2232400000.0,-4464.8,-537.4,0.662799830825932,1.560028468484498,2.4932003626473254,66.18,64.01,67.29,75.54,74.95,76.0
signet jewelers ltd,SIG,2022-07-31,2022-10-29,2011500000.0,43.633405639913235,0.6247288503253796,0.683028679483139,1.5571184371184372,-0.014328903668624951,61.16,59.0,60.96,66.18,64.01,67.29
signet jewelers ltd,SIG,2022-05-01,2022-07-30,2020900000.0,43.553879310344826,2.9482758620689653,0.6721659853351503,1.7686578824019583,-0.012075017574242446,74.07,69.56,70.2,61.16,59.0,60.96
signet jewelers ltd,SIG,2022-01-30,2022-04-30,1909400000.0,39.127049180327866,-1.8872950819672132,0.6962601212159776,1.6429105523880736,-0.08169623053190869,81.67,81.49,85.44,74.07,69.56,70.2
signet jewelers ltd,SIG,2021-10-31,2022-01-29,2216100000.0,-22161.0,-3057.0,0.6629556964913081,1.801516395421838,32.44854347092566,88.91,88.63,89.18,81.67,81.49,85.44
signet jewelers ltd,SIG,2021-08-01,2021-10-30,2186300000.0,41.3289224952741,1.5860113421550095,0.6577221135029354,2.0259661223247796,-0.018133920460310034,64.84,64.0,64.34,88.91,88.63,89.18
signet jewelers ltd,SIG,2021-05-02,2021-07-31,2206800000.0,41.874762808349146,4.098671726755218,0.650374689079358,2.0767726161369193,-0.0006969237153636833,59.9,59.25,59.75,64.84,64.0,64.34
signet jewelers ltd,SIG,2021-01-31,2021-05-01,1971500000.0,37.840690978886755,2.491362763915547,0.681028345845198,1.919262187088274,-0.006930834320682117,37.94,37.24,40.62,59.9,59.25,59.75
signet jewelers ltd,SIG,2020-11-01,2021-01-30,1832600000.0,18326.0,2457.0,0.7034099920697859,1.7921649071896733,-370.0621118012423,24.15,21.77,22.28,37.94,37.24,40.62
signet jewelers ltd,SIG,2020-08-02,2020-10-31,1549800000.0,29.746641074856047,0.01727447216890595,0.7627554535017221,2.255038983540283,-0.522239387461053,11.07,10.4881,10.74,24.15,21.77,22.28
signet jewelers ltd,SIG,2020-05-03,2020-08-01,1542000000.0,29.653846153846153,-1.7307692307692308,0.7655858074519998,2.5762304921968786,-0.035236502627806976,9.66,8.62,9.08,11.07,10.4881,10.74
signet jewelers ltd,SIG,2020-02-02,2020-05-02,1601200000.0,30.91119691119691,-3.9633204633204633,0.7671896128066069,2.3948828055108247,0.5287220477093895,26.07,24.045,24.31,9.66,8.62,9.08
signet jewelers ltd,SIG,2019-11-03,2020-02-01,1839600000.0,,,0.7079582797542506,1.908991891564807,,16.16,15.97,16.2,26.07,24.045,24.31
signet jewelers ltd,SIG,2019-08-04,2019-11-02,1667200000.0,32.18532818532819,-0.8436293436293436,0.726760194047463,2.124719832260863,0.09783025656041529,17.01,16.87,17.27,16.16,15.97,16.2
signet jewelers ltd,SIG,2019-05-05,2019-08-03,1704300000.0,32.96518375241779,-0.8568665377176016,0.7143120557865094,2.103232692894175,-0.022735903950068588,22.97,22.82,23.15,17.01,16.87,17.27
