company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
knight-swift transportation holdings inc.,KNX,2023-10-01,2023-12-31,7104081000.0,111001.265625,-166.484375,0.4480451628166624,0.9362993326528924,-42.23647434617688,50.09,49.82,50.15,58.22,57.57,57.65
knight-swift transportation holdings inc.,KNX,2023-07-01,2023-09-30,7129801000.0,44.19334663922842,0.37310638930900253,0.44473170018631214,1.017799042287968,0.005485954052303445,55.89,55.38,55.56,50.09,49.82,50.15
knight-swift transportation holdings inc.,KNX,2023-04-01,2023-06-30,7081043000.0,43.949967725117304,0.39304600412125423,0.3809136333862918,1.9939370925756885,0.041656539292386066,55.31,55.31,56.58,55.48,55.05,55.74
knight-swift transportation holdings inc.,KNX,2023-01-01,2023-03-31,7035594000.0,43.72242488270205,0.6480688562284436,0.3570692288881554,1.5926457064442803,-0.016026260342920488,52.19,51.88,52.41,55.39,54.7,54.97
knight-swift transportation holdings inc.,KNX,2022-10-01,2022-12-31,6955281000.0,-13248.154285714285,-283.24,0.36491114685199494,1.6706491112485697,0.21186204778222517,49.61,48.83,48.93,52.19,51.88,52.41
knight-swift transportation holdings inc.,KNX,2022-07-01,2022-09-30,6816613000.0,42.42749198643139,1.2124295895185635,0.3657411159403043,1.6159848391848761,-0.026934858163160245,45.4,44.89,46.29,49.78,49.45,49.78
knight-swift transportation holdings inc.,KNX,2022-04-01,2022-06-30,6631257000.0,40.84166538354941,1.351843069627075,0.38111689185821807,1.334855042068195,-0.02701689243840738,52.23,50.22,50.46,46.38,45.34,45.92
knight-swift transportation holdings inc.,KNX,2022-01-01,2022-03-31,6580943000.0,39.793580727670715,1.2597701010418618,0.3847174303647617,1.257489307727338,-0.03162301958564105,61.81,60.73,60.75,53.58,52.11,52.4
knight-swift transportation holdings inc.,KNX,2021-10-01,2021-12-31,6543450000.0,176850.0,6881.513513513513,0.3859086856552954,1.3158345242348457,-48.56751589065165,52.3,51.13,51.15,61.81,60.73,60.75
knight-swift transportation holdings inc.,KNX,2021-07-01,2021-09-30,6305440000.0,37.99235988093947,1.2422905896388416,0.39107185314276743,1.6473870464880869,0.14520756356241665,45.69,45.345,45.46,52.83,52.0965,52.17
knight-swift transportation holdings inc.,KNX,2021-04-01,2021-06-30,6098053000.0,36.829106699602,0.9228576432717105,0.2976583016401229,1.5234640307959204,-0.0052460077126525485,48.85,47.65,48.09,45.61,45.25,45.8
knight-swift transportation holdings inc.,KNX,2021-01-01,2021-03-31,5949338000.0,35.52310154169503,0.7749674584124482,0.30167786160532195,1.0161380963878541,-0.02634002994697396,42.02,41.57,41.82,48.25,48.07,49.07
knight-swift transportation holdings inc.,KNX,2020-10-01,2020-12-31,5872040000.0,-10754.652014652014,-260.6758241758242,0.3065613352476771,1.0996239168853934,8.86798520662486,41.46,40.44,40.7,42.43,41.64,42.02
knight-swift transportation holdings inc.,KNX,2020-07-01,2020-09-30,5881248000.0,34.55390852207632,0.717123468758262,0.3081992400981443,0.7911216852493149,-0.009794513805718582,41.61,41.23,41.71,42.29,41.28,41.31
knight-swift transportation holdings inc.,KNX,2020-04-01,2020-06-30,5765589000.0,33.92560665615365,0.47184432885353167,0.30359107373474276,0.8538492181541005,-0.018117642555097808,33.09,32.21,32.8,41.66,40.86,41.62
knight-swift transportation holdings inc.,KNX,2020-01-01,2020-03-31,5690324000.0,33.35144797997855,0.3834670636571971,0.3134529144194791,0.8561812186696157,-0.011905164839763628,35.39,35.39,35.84,32.06,31.76,33.29
knight-swift transportation holdings inc.,KNX,2019-10-01,2019-12-31,5668303000.0,-18894.343333333334,-224.81333333333333,0.3155655121416631,0.8962678165387428,4.198283024093049,36.11,35.6,36.3,35.85,35.25,35.53
knight-swift transportation holdings inc.,KNX,2019-07-01,2019-09-30,5605293000.0,32.874847510908836,0.437637826678553,0.3264670205383777,1.2930859782019009,0.004233216247303894,31.68,31.67,32.84,36.47,35.3401,35.88
knight-swift transportation holdings inc.,KNX,2019-04-01,2019-06-30,5532020000.0,32.148328083775965,0.46028545194621046,0.326479159402278,1.1677342395711598,,,,,31.68,31.67,32.84
knight-swift transportation holdings inc.,KNX,2019-01-01,2019-03-31,5544623000.0,32.05521734857288,0.5083973614074035,0.31388125589180343,1.0675816669225833,,,,,,,
knight-swift transportation holdings inc.,KNX,2018-10-01,2018-12-31,5462719000.0,-6845.512531328321,-190.0952380952381,0.30955530824828725,1.4762229421556456,,,,,,,
knight-swift transportation holdings inc.,KNX,2018-07-01,2018-09-30,5396186000.0,30.51295738172113,0.5987085027339708,0.3196998108689464,1.4284309561009882,,,,,,,
knight-swift transportation holdings inc.,KNX,2018-04-01,2018-06-30,5396384000.0,30.2401443533519,0.5117539268482665,0.30402833935257834,1.468030523017805,,,,,,,
knight-swift transportation holdings inc.,KNX,2018-01-01,2018-03-31,5309192000.0,29.8001347103727,0.3949483610237988,0.3065396600821882,1.4481965081603478,,,,,,,
knight-swift transportation holdings inc.,KNX,2017-07-01,2017-09-30,4798256000.0,46.65476537736033,0.03773603251463353,0.36428483607426154,1.3245496826579644,,,,,,,
knight transportation inc,KNX,2017-04-01,2017-06-30,818538000.0,10.16564828614009,0.22317436661698956,0.2554738550201563,3.214092673578694,,,,,,,
knight transportation inc,KNX,2017-01-01,2017-03-31,800409000.0,9.966492342174076,0.18523222512763043,0.25178148600658284,2.8799106592307377,,,,,,,
knight transportation inc,KNX,2016-10-01,2016-12-31,788731000.0,10111.935897435897,284.11538461538464,0.26869474513803576,2.4181945327399874,,,,,,,
