company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
lennox international inc,LII,2023-10-01,2023-12-31,285300000.0,,,0.898045241753922,1.4128720678099744,,381.76,374.11,374.44,446.38,445.97,447.52
lennox international inc,LII,2023-07-01,2023-09-30,159500000.0,4.492957746478873,3.6732394366197183,0.9448115982145947,1.388366533864542,-0.01575101270434405,325.13,323.565,326.07,381.76,374.11,374.44
lennox international inc,LII,2023-04-01,2023-06-30,62600000.0,1.763380281690141,6.118309859154929,0.97900244859625,1.0487398817383318,-0.015353535353535354,247.5,247.4,251.28,320.28,317.88,322.99
lennox international inc,LII,2023-01-01,2023-03-31,-125900000.0,-3.546478873239437,2.76056338028169,1.0454447011261911,1.095125786163522,0.011859279270190981,240.14,235.82,239.23,246.35,243.87,245.32
lennox international inc,LII,2022-10-01,2022-12-31,-203100000.0,2031.0,-944.0,1.0791011060912914,0.9378329259885944,3.797524907295715,223.83,220.09,222.67,240.14,235.82,239.23
lennox international inc,LII,2022-07-01,2022-09-30,-305200000.0,-8.621468926553673,4.008474576271187,1.11623124381141,1.7109584630245787,-0.02302379554757584,201.83,200.5,206.59,228.99,219.87,222.51
lennox international inc,LII,2022-04-01,2022-06-30,-401300000.0,-11.27247191011236,4.977528089887641,1.1509213990221887,1.6834762839723054,-0.005641299099787333,267.39,256.955,257.86,200.29,197.92,202.59
lennox international inc,LII,2022-01-01,2022-03-31,-410200000.0,-11.300275482093664,2.303030303030303,1.1669583621637023,1.6723295322317897,0.01087207700293807,327.12,322.66,323.11,265.69,264.81,266.96
lennox international inc,LII,2021-10-01,2021-12-31,-269000000.0,1345.0,-418.0,1.1238546894424237,1.4211099020674647,1.4631718646317187,301.4,294.17,294.17,327.12,322.66,323.11
lennox international inc,LII,2021-07-01,2021-09-30,-334800000.0,-9.097826086956522,3.432065217391304,1.1576642335766423,1.076790258087968,-0.01561665209008204,347.49,344.565,350.8,302.29,299.36,300.48
lennox international inc,LII,2021-04-01,2021-06-30,-213300000.0,-5.7032085561497325,4.545454545454546,1.0967478568512723,1.1915295897145017,-0.014015049772503438,315.36,309.9,311.59,338.51,337.55,347.9
lennox international inc,LII,2021-01-01,2021-03-31,-160700000.0,-4.228947368421053,2.2157894736842105,1.0774457831325301,1.3404781533388292,-0.0044063016893082785,271.74,268.53,273.97,316.51,313.48,316.26
lennox international inc,LII,2020-10-01,2020-12-31,-17100000.0,,,1.0084132841328413,1.5508341651219164,,272.01,269.92,272.61,270.01,270.01,271.99
lennox international inc,LII,2020-07-01,2020-09-30,-115700000.0,-3.02088772845953,3.4386422976501305,1.0583989501312336,1.4964838255977497,-0.04741323480288229,229.8,228.58,232.99,271.79,271.78,272.65
lennox international inc,LII,2020-04-01,2020-06-30,-228900000.0,-5.992146596858639,2.6178010471204187,1.107753142211552,1.2966603255125766,-0.011404477677748747,185.24,180.46,181.79,228.58,226.95,229.81
lennox international inc,LII,2020-01-01,2020-03-31,-318300000.0,-8.2890625,0.3359375,1.1495489569629769,1.3694388553543484,0.014306834923650983,242.09,242.09,243.97,186.37,183.11,187.18
lennox international inc,LII,2019-10-01,2019-12-31,-170200000.0,1702.0,-1140.0,1.083640473733353,1.1178817193577342,13.304008631421695,240.98,239.86,242.97,242.68,242.19,242.67
lennox international inc,LII,2019-07-01,2019-09-30,-277300000.0,-7.183937823834197,2.971502590673575,1.1252031786165795,1.1868636814127398,-0.018965872061808615,272.92,272.88,275.0,242.13,238.81,241.58
lennox international inc,LII,2019-04-01,2019-06-30,-217500000.0,-5.562659846547315,2.8312020460358056,1.0929328319945308,1.3431627906976744,,,,,272.92,272.88,275.0
lennox international inc,LII,2019-01-01,2019-03-31,-204800000.0,-5.158690176322418,1.7455919395465995,1.097259818587643,1.330826248092435,,,,,,,
lennox international inc,LII,2018-10-01,2018-12-31,-149600000.0,748.0,-378.0,1.082324455205811,1.0802181457610311,,,,,,,
lennox international inc,LII,2018-07-01,2018-09-30,-86800000.0,-2.1538461538461537,2.6799007444168734,1.045425999581327,1.7193338160753078,,,,,,,
lennox international inc,LII,2018-04-01,2018-06-30,-180200000.0,-4.427518427518428,3.380835380835381,1.0858340478231876,1.8623840881601936,,,,,,,
lennox international inc,LII,2018-01-01,2018-03-31,-102600000.0,-2.472289156626506,0.9132530120481928,1.049182685393797,1.8894500561167227,,,,,,,
lennox international inc,LII,2017-10-01,2017-12-31,50100000.0,-501.0,-431.0,0.973513084853291,1.7376623376623377,,,,,,,
lennox international inc,LII,2017-07-01,2017-09-30,32500000.0,0.7756563245823389,2.4701670644391407,0.9841903001410711,1.2411839406076,,,,,,,
lennox international inc,LII,2017-04-01,2017-06-30,10600000.0,0.25059101654846333,2.730496453900709,0.9950601174387175,1.3812026275896918,,,,,,,
lennox international inc,LII,2017-01-01,2017-03-31,-1000000.0,-0.02336448598130841,1.016355140186916,1.0005126627704297,1.1435180722891567,,,,,,,
lennox international inc,LII,2016-10-01,2016-12-31,38000000.0,-190.0,-202.0,0.9784127705504744,1.1320054017555705,,,,,,,
lennox international inc,LII,2016-07-01,2016-09-30,24200000.0,0.5601851851851852,2.3541666666666665,0.9874390117305097,0.9818197121454423,,,,,,,
lennox international inc,LII,2016-04-01,2016-06-30,31400000.0,0.7201834862385321,2.5389908256880735,0.9844876988439878,1.131379709628574,,,,,,,
lennox international inc,LII,2016-01-01,2016-03-31,-73300000.0,-1.665909090909091,0.5659090909090909,1.039387426114992,1.3964143426294822,,,,,,,
lennox international inc,LII,2015-10-01,2015-12-31,101600000.0,,,0.9395310082133079,1.1385922330097087,,,,,,,
lennox international inc,LII,2015-07-01,2015-09-30,97500000.0,2.1666666666666665,1.7844444444444445,0.9481796439011427,1.3497773611436608,,,,,,,
lennox international inc,LII,2015-04-01,2015-06-30,56300000.0,1.251111111111111,1.8044444444444445,0.9722153679119577,1.4317347279403583,,,,,,,
lennox international inc,LII,2015-01-01,2015-03-31,-16200000.0,-0.3624161073825503,0.31096196868008946,1.0086193136472466,1.4799480856586633,,,,,,,
lennox international inc,LII,2014-10-01,2014-12-31,9000000.0,-11.25,-55.75,0.994898826730148,1.2256738788831139,,,,,,,
lennox international inc,LII,2014-07-01,2014-09-30,501700000.0,10.387163561076605,1.3954451345755694,0.732640554223288,1.3777427566977816,,,,,,,
lennox international inc,LII,2014-04-01,2014-06-30,518000000.0,10.614754098360656,1.514344262295082,0.7370691843053652,1.4430544081199104,,,,,,,
lennox international inc,LII,2014-01-01,2014-03-31,491600000.0,10.03265306122449,0.4061224489795918,0.7250097891145046,1.46875,,,,,,,
lennox international inc,LII,2013-10-01,2013-12-31,485700000.0,-2428.5,-176.0,0.7014200528677691,1.2638655462184873,,,,,,,
lennox international inc,LII,2013-07-01,2013-09-30,482200000.0,9.702213279678068,1.2937625754527162,0.7253517115680356,1.3034682080924855,,,,,,,
lennox international inc,LII,2013-04-01,2013-06-30,447200000.0,8.908366533864541,1.2808764940239044,0.7582179930795848,1.4491471078619982,,,,,,,
lennox international inc,LII,2013-01-01,2013-03-31,452000000.0,8.986083499005964,0.15904572564612326,0.7363047663496879,1.7853840682788051,,,,,,,
lennox international inc,LII,2012-10-01,2012-12-31,496800000.0,-4968.0,-219.0,0.7063656244458892,1.5433083176985616,,,,,,,
lennox international inc,LII,2012-07-01,2012-09-30,509400000.0,10.067193675889328,0.5810276679841897,0.7159743518260385,1.7412280701754386,,,,,,,
lennox international inc,LII,2012-04-01,2012-06-30,492500000.0,9.656862745098039,0.8764705882352941,0.7391695794936977,1.6399410464259396,,,,,,,
