company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
lincoln national corp,LNC,2023-10-01,2023-12-31,6893000000.0,206414.3259268132,-34796.67006048991,0.9814909791011592,1.0188580652221493,4206.893392373599,24.33,24.26,24.69,27.2,26.8512,26.97
lincoln national corp,LNC,2023-07-01,2023-09-30,3199000000.0,18.856927036147727,4.827703420633006,0.9905469975857759,1.0095432144433971,0.034997231703429374,25.77,25.31,25.76,24.33,24.26,24.69
lincoln national corp,LNC,2023-04-01,2023-06-30,5819000000.0,34.3138569555963,2.9602261886422654,0.9833080903698094,1.0169752591213939,0.09024720605067861,22.02,21.8997,22.47,25.3,25.2,25.49
lincoln national corp,LNC,2023-01-01,2023-03-31,6732000000.0,39.750151286170706,-5.367333261902728,0.9803812998700246,1.020011295740317,0.2970872077977235,30.25,30.17,30.72,22.15,21.655,21.83
lincoln national corp,LNC,2022-10-01,2022-12-31,4101000000.0,-6696.461374921826,-9.797309985255048,0.9877741572933219,1.0123771639664871,-110.32610225983521,44.52,43.72,43.91,30.25,30.17,30.72
lincoln national corp,LNC,2022-07-01,2022-09-30,2217000000.0,13.063728615834137,-15.167360152078064,0.9931718014186145,1.0068751434259735,0.2985869829407427,46.12,45.39,46.77,44.56,43.43,44.51
lincoln national corp,LNC,2022-04-01,2022-06-30,9188000000.0,53.690116820531586,1.3907540055819023,0.9726359491197818,1.0281339085862313,0.19740387965325765,66.9,65.3,65.36,48.63,46.66,47.29
lincoln national corp,LNC,2022-01-01,2022-03-31,14712000000.0,84.47721183858089,0.5971744175647371,0.9597954794509317,1.0418886329534163,0.06118658486480362,69.07,68.47,68.54,68.12,66.54,66.98
lincoln national corp,LNC,2021-10-01,2021-12-31,20272000000.0,-8794.126259394623,-95.43743967377748,0.9476582812850987,1.055232692784494,-6.645703297408426,70.89,68.61,68.75,69.07,68.47,68.54
lincoln national corp,LNC,2021-07-01,2021-09-30,21170000000.0,113.04119533529767,1.6980207896374426,0.9438538981360661,1.0594860094076126,0.06934435739384844,61.91,61.91,62.84,71.19,70.165,70.53
lincoln national corp,LNC,2021-04-01,2021-06-30,21745000000.0,114.45479593491514,3.379166658552105,0.9427985942317203,1.0606719251791976,0.1206884911628824,62.54,61.92,62.27,63.86,62.19,62.27
lincoln national corp,LNC,2021-01-01,2021-03-31,19593000000.0,102.1638659290755,1.1732184879315055,0.9465781437452285,1.0564368157111708,0.1049393245755398,49.49,49.04,50.31,61.42,61.1,62.71
lincoln national corp,LNC,2020-10-01,2020-12-31,22699000000.0,-94735.48020901154,-596.8180831705648,0.937972061604381,1.0661298357751952,-262.4066128269472,31.11,30.86,31.33,49.5,49.31,49.58
lincoln national corp,LNC,2020-07-01,2020-09-30,21549000000.0,111.50798930759004,2.05950066102468,0.9380426907108601,1.0660495624588129,0.30857181740550854,35.3,35.27,36.79,31.83,30.52,30.94
lincoln national corp,LNC,2020-04-01,2020-06-30,20731000000.0,107.28745996314923,-0.4864705627579966,0.9389652563306139,1.065002132142678,0.30400822913535086,27.05,26.1,26.32,35.18,34.555,35.74
lincoln national corp,LNC,2020-01-01,2020-03-31,16575000000.0,84.96653756315263,0.2665616864726357,0.9479835179146961,1.054870660831452,0.2135109481776776,58.63,58.38,59.01,27.1,25.36,27.28
lincoln national corp,LNC,2019-10-01,2019-12-31,19689000000.0,-19007.504918646835,-416.0818030340183,0.9411849050516637,1.0624904783668494,-41.974032708479186,61.34,60.17,60.32,59.07,58.45,58.67
lincoln national corp,LNC,2019-07-01,2019-09-30,19999000000.0,100.39617760391548,-0.8082296411935793,0.9385172068200124,1.0655105657447776,0.16922790620995284,63.66,63.38,64.45,60.83,60.5,60.91
lincoln national corp,LNC,2019-04-01,2019-06-30,18455000000.0,91.5889361299653,1.8015054898497647,0.942732398474519,1.0607464022856843,,,,,63.66,63.38,64.45
lincoln national corp,LNC,2019-01-01,2019-03-31,16417000000.0,80.36095259697969,1.2335359721288226,0.947766298970089,1.0551124270684364,,,,,,,
lincoln national corp,LNC,2018-10-01,2018-12-31,14350000000.0,-9715.429320420952,-270.1363274458509,0.9518693798696616,1.0505643118144308,,,,,,,
lincoln national corp,LNC,2018-07-01,2018-09-30,15070000000.0,69.80042377518598,2.269555915716067,0.9504031594536778,1.052185054366646,,,,,,,
lincoln national corp,LNC,2018-04-01,2018-06-30,15177000000.0,69.62012928077728,1.7660769436054062,0.9492122664239439,1.0535051382841834,,,,,,,
lincoln national corp,LNC,2018-01-01,2018-03-31,15985000000.0,73.20178431558833,1.6806415291724062,0.9427547209001672,1.0607212860681021,,,,,,,
lincoln national corp,LNC,2017-10-01,2017-12-31,17322000000.0,-14638.647991305716,-689.5933934248623,0.9385228010775013,1.0655042145506937,,,,,,,
lincoln national corp,LNC,2017-07-01,2017-09-30,16314000000.0,73.8812877877098,1.8929985469696393,0.9410589446682444,1.0626326923150753,,,,,,,
lincoln national corp,LNC,2017-04-01,2017-06-30,15996000000.0,71.55276601159876,1.83847129474663,0.9411156226187277,1.062568696094346,,,,,,,
lincoln national corp,LNC,2017-01-01,2017-03-31,14973000000.0,66.36385548124957,1.9280222490044459,0.944019471488178,1.0593001841620626,,,,,,,
lincoln national corp,LNC,2016-10-01,2016-12-31,14478000000.0,-6604.044258682576,-86.21110408143437,0.9446616748271394,1.0585800468543267,,,,,,,
lincoln national corp,LNC,2016-07-01,2016-09-30,16323000000.0,70.6497720957292,2.0212855215772554,0.9387745916243131,1.0652184336068915,,,,,,,
lincoln national corp,LNC,2016-04-01,2016-06-30,15920000000.0,67.32549142755978,1.374421150374179,0.9394741244278175,1.0644252715411884,,,,,,,
lincoln national corp,LNC,2016-01-01,2016-03-31,14658000000.0,60.65135960358688,0.8730684183624527,0.9426790448853816,1.0608064382311457,,,,,,,
lincoln national corp,LNC,2015-10-01,2015-12-31,13617000000.0,-8849.8738517651,-183.92555629356858,0.9459507734076377,1.0571374622356495,,,,,,,
lincoln national corp,LNC,2015-07-01,2015-09-30,14401000000.0,57.782515383195395,0.9108139012558403,0.9422879630668611,1.0612467092812092,,,,,,,
lincoln national corp,LNC,2015-04-01,2015-06-30,14699000000.0,58.364264130064186,1.3658961059080263,0.9424051972070497,1.0611146913913894,,,,,,,
lincoln national corp,LNC,2015-01-01,2015-03-31,16223000000.0,63.49618868266446,1.1741882885285915,0.9372381376095325,1.0669646911195318,,,,,,,
lincoln national corp,LNC,2014-10-01,2014-12-31,15740000000.0,-17337.58952430677,-384.42304599638265,0.9378791287291269,1.0662354767986466,,,,,,,
lincoln national corp,LNC,2014-07-01,2014-09-30,15452000000.0,59.345869030534146,1.686049476081057,0.937805398356182,1.066319304359769,,,,,,,
lincoln national corp,LNC,2014-04-01,2014-06-30,15451000000.0,58.912195892144965,1.5175104501374472,0.9379789262418464,1.0661220332600119,,,,,,,
lincoln national corp,LNC,2014-01-01,2014-03-31,14486000000.0,55.134659307046014,1.252195423996834,0.9401278781892052,1.063685082848639,,,,,,,
lincoln national corp,LNC,2013-10-01,2013-12-31,13452000000.0,-12567.006283503142,-327.9080586908714,0.9432273312372069,1.0601898046023812,,,,,,,
lincoln national corp,LNC,2013-07-01,2013-09-30,13389000000.0,50.80321595702263,1.2787126579667358,0.9417677145491554,1.0618329600295564,,,,,,,
lincoln national corp,LNC,2013-04-01,2013-06-30,13317000000.0,49.994901398544016,1.1900866368805627,0.9403683486998535,1.0634130778461364,,,,,,,
lincoln national corp,LNC,2013-01-01,2013-03-31,14862000000.0,54.99031645761602,0.8843147378125574,0.9337526354968553,1.0709474458060235,,,,,,,
lincoln national corp,LNC,2012-10-01,2012-12-31,14973000000.0,-6394.960226362714,-136.67182745181785,0.9315892154667861,1.0734344960175777,,,,,,,
lincoln national corp,LNC,2012-07-01,2012-09-30,15237000000.0,54.83225622754552,1.540211699507087,0.9292808807284947,1.0761009084961117,,,,,,,
lincoln national corp,LNC,2012-04-01,2012-06-30,14182000000.0,50.27551884764399,1.141497466432193,0.93282175169343,1.0720161683457914,,,,,,,
lincoln national corp,LNC,2012-01-01,2012-03-31,13261000000.0,45.876935406184806,0.8406677704323134,0.9362507090732533,1.068089978794087,,,,,,,
lincoln national corp,LNC,2011-10-01,2011-12-31,14164000000.0,-4.5637736015881946e-05,1.6529340988525443e-06,0.9301942771529674,1.075044240285681,,,,,,,
lincoln national corp,LNC,2011-07-01,2011-09-30,14919000000.0,4.8950119998336765e-05,4.6919144445084507e-07,0.9245551133519092,1.0816012864550288,,,,,,,
lincoln national corp,LNC,2011-04-01,2011-06-30,13586000000.0,4.362999741582345e-05,1.0437030148787444e-06,0.9325937465890034,1.0722782601293837,,,,,,,
lincoln national corp,LNC,2011-01-01,2011-03-31,13090000000.0,41.55369764356314,1.0761423606698168,0.933994564258233,1.0706700427043574,,,,,,,
lincoln national corp,LNC,2010-10-01,2010-12-31,12806000000.0,,,0.9339297507016675,1.070744345866157,,,,,,,
lincoln national corp,LNC,2010-07-01,2010-09-30,,,,,,,,,,,,
lincoln national corp,LNC,2010-03-31,2010-06-30,,,,,,,,,,,,
lincoln national corp,LNC,2010-01-01,2010-03-30,,,,,,,,,,,,
