company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
lsi industries inc,LYTS,2023-10-01,2023-12-31,192934000.0,6.64739525909592,0.20348676957001102,0.32903723900009735,2.156893553406352,-0.017793846407484878,16.05,15.82,15.88,14.2,14.045,14.08
lsi industries inc,LYTS,2023-07-01,2023-09-30,488314000.0,16.980700351218832,0.2791668115589248,-0.6181768776013361,1.9775050337937492,-0.020563182985017876,12.58,12.4071,12.56,16.05,15.82,15.88
lsi industries inc,LYTS,2023-04-01,2023-06-30,177578000.0,1544.1565217391305,73.16521739130435,0.400376161999534,1.9575768658081032,-9.631911582557882,13.69,13.48,13.93,12.31,12.3,12.47
lsi industries inc,LYTS,2023-01-01,2023-03-31,167743000.0,5.9260580795591045,0.16494736098353707,0.4236012081685388,2.2081863197904203,-0.0374433543801693,12.46,12.11,12.24,13.71,13.65,13.69
lsi industries inc,LYTS,2022-10-01,2022-12-31,161316000.0,5.745281002920436,0.22854191894009546,0.4555340670912607,2.3236504818037234,-0.07080593365751128,7.64,7.62,7.69,12.46,12.11,12.24
lsi industries inc,LYTS,2022-07-01,2022-09-30,153729000.0,5.561629463478167,0.22654751998842299,0.5188465763800426,2.131819603427785,-0.02061579790316088,6.3,6.0312,6.17,7.54,7.27,7.72
lsi industries inc,LYTS,2022-04-01,2022-06-30,147769000.0,2238.9242424242425,78.42424242424242,0.52498071235695,2.1297408132086093,-17.064992688952756,6.01,5.97,6.0,6.28,6.16,6.32
lsi industries inc,LYTS,2022-01-01,2022-03-31,142545000.0,5.206552706552706,0.13214990138067062,0.5439362672169699,2.1092974684386268,-0.016345240704215065,6.8,6.8,6.87,6.06,6.03,6.06
lsi industries inc,LYTS,2021-10-01,2021-12-31,138886000.0,5.088890517367727,0.11376960281401143,0.5423387561826744,2.163163251759083,0.03214753104182273,7.91,7.65,7.75,6.8,6.8,6.87
lsi industries inc,LYTS,2021-07-01,2021-09-30,135373000.0,5.0145577122536675,0.11605423025633427,0.5481361069201703,1.9093249505433456,0.03957872783684313,7.96,7.82,8.01,7.65,7.55,7.88
lsi industries inc,LYTS,2021-04-01,2021-06-30,131170000.0,2623.4,3.96,0.5426764427988188,1.763283729459059,160.5408653846154,8.32,8.315,8.53,8.1,7.94,7.97
lsi industries inc,LYTS,2021-01-01,2021-03-31,131070000.0,4.895969519255911,0.054984871689514776,0.3349873664342902,2.104728324744598,-0.002658637227753886,8.43,8.3,8.56,8.27,8.065,8.34
lsi industries inc,LYTS,2020-10-01,2020-12-31,129273000.0,4.852772251210631,0.08288599421900221,0.2868916212951164,2.410927345038316,-0.006862420620993134,6.98,6.68,6.75,8.36,8.29,8.42
lsi industries inc,LYTS,2020-07-01,2020-09-30,127440000.0,4.8054298642533935,0.07503770739064856,0.2989906213042163,2.2852376397022796,-0.007757115448723777,6.47,6.14,6.47,7.11,6.88,6.99
lsi industries inc,LYTS,2020-04-01,2020-06-30,125700000.0,5237.5,63.041666666666664,0.27030180595949216,2.477935871165113,-101.48809523809524,3.64,3.64,3.78,6.29,6.22,6.47
lsi industries inc,LYTS,2020-01-01,2020-03-31,124707000.0,4.741530740276035,0.0707577658644158,0.3156690372711708,2.4509234014095376,-0.0233315815668106,6.01,6.01,6.05,3.72,3.55,3.6
lsi industries inc,LYTS,2019-10-01,2019-12-31,123913000.0,4.715106544901065,0.06632420091324201,0.3386403787341015,2.2373324380710296,-0.10592196314008748,5.07,5.0049,5.22,6.12,6.0,6.01
lsi industries inc,LYTS,2019-07-01,2019-09-30,123158000.0,4.694236926360726,0.17056715962799207,0.3948634293267034,2.3806340210750023,-0.18875722811676734,3.58,3.58,3.65,4.95,4.9,5.02
lsi industries inc,LYTS,2019-04-01,2019-06-30,119937000.0,4612.961538461538,33.15384615384615,0.40359522625559424,2.7831974921630094,,,,,3.58,3.58,3.65
lsi industries inc,LYTS,2019-01-01,2019-03-31,120239000.0,4.601216898821368,-0.12123067503444053,0.42385299120726416,2.594859813084112,,,,,,,
lsi industries inc,LYTS,2018-10-01,2018-12-31,124325000.0,4.766514588045854,-0.6050684353793658,0.44763593065515067,2.480152353746355,,,,,,,
lsi industries inc,LYTS,2018-07-01,2018-09-30,141063000.0,5.4188306699446835,0.06718653964351567,0.40111826240532555,2.5883034796491917,,,,,,,
lsi industries inc,LYTS,2018-04-01,2018-06-30,139251000.0,4491.967741935484,-85.93548387096774,0.39328677178596794,2.6086163179222255,,,,,,,
lsi industries inc,LYTS,2018-01-01,2018-03-31,141829000.0,5.481314009661836,0.008502415458937198,0.37894266684766187,2.686578411916903,,,,,,,
lsi industries inc,LYTS,2017-10-01,2017-12-31,142328000.0,5.504215329878567,-0.056771598731533764,0.40292145955515285,2.7101149479325826,,,,,,,
lsi industries inc,LYTS,2017-07-01,2017-09-30,144394000.0,5.598619673529526,-0.6059865844674499,0.3963183925682201,2.635660039665264,,,,,,,
lsi industries inc,LYTS,2017-04-01,2017-06-30,160078000.0,1778.6444444444444,7.733333333333333,0.3763518778245286,2.3583709411117226,,,,,,,
lsi industries inc,LYTS,2017-01-01,2017-03-31,159577000.0,6.26972340091152,-0.02086280056577086,0.37644774066490566,2.6800892610886846,,,,,,,
lsi industries inc,LYTS,2016-10-01,2016-12-31,157820000.0,6.234494745990361,0.07924468673461325,0.19412161196102862,3.5542185001490636,,,,,,,
lsi industries inc,LYTS,2016-07-01,2016-09-30,156891000.0,6.2073590504451035,0.032799208704253215,0.1863555036950603,3.564328830123599,,,,,,,
lsi industries inc,LYTS,2016-04-01,2016-06-30,155520000.0,2221.714285714286,20.4,0.204745346696666,3.256008972038845,,,,,,,
lsi industries inc,LYTS,2016-01-01,2016-03-31,154454000.0,6.158452950558214,0.020813397129186603,0.1882036349875435,3.7401548904105493,,,,,,,
lsi industries inc,LYTS,2015-10-01,2015-12-31,153299000.0,6.153867769258561,0.1518204809120469,0.1825535636204635,3.9143639531989045,,,,,,,
lsi industries inc,LYTS,2015-07-01,2015-09-30,149084000.0,6.020190599256986,0.15142949442739462,0.20871725192136215,3.4067226438452014,,,,,,,
lsi industries inc,LYTS,2015-04-01,2015-06-30,142952000.0,5498.153846153846,63.19230769230769,0.21618168758464515,3.2788015306537845,,,,,,,
lsi industries inc,LYTS,2015-01-01,2015-03-31,141436000.0,5.766307893020222,0.016022504892367905,0.18807334182941252,3.601636188642926,,,,,,,
lsi industries inc,LYTS,2014-10-01,2014-12-31,140880000.0,5.762198862939179,0.06495153175999019,0.1893104996029417,3.6060064354665715,,,,,,,
lsi industries inc,LYTS,2014-07-01,2014-09-30,138571000.0,5.670772630545097,0.06248976919299394,0.17842468799098804,3.8030704265674204,,,,,,,
lsi industries inc,LYTS,2014-04-01,2014-06-30,138412000.0,11534.333333333334,-66.33333333333333,0.18527500470898475,3.6217351224009016,,,,,,,
lsi industries inc,LYTS,2014-01-01,2014-03-31,140429000.0,5.755051022499078,-0.04135076431293799,0.16346577708941443,3.8990611228204637,,,,,,,
lsi industries inc,LYTS,2013-10-01,2013-12-31,142512000.0,5.847125918024043,0.03569523653222829,0.17131659436891622,3.7293673476588687,,,,,,,
lsi industries inc,LYTS,2013-07-01,2013-09-30,142802000.0,5.8638360776906335,0.07658194062333183,0.17025751870961744,3.7568500462600527,,,,,,,
lsi industries inc,LYTS,2013-04-01,2013-06-30,141690000.0,28338.0,162.4,0.16248470554856098,3.9264784433422357,,,,,,,
lsi industries inc,LYTS,2013-01-01,2013-03-31,142046000.0,5.842629154327081,-0.012956564659427443,0.15632609909364123,4.204778016174286,,,,,,,
lsi industries inc,LYTS,2012-10-01,2012-12-31,142184000.0,5.849508372073888,-0.10079400995597976,0.15254681781878435,4.3587026195461736,,,,,,,
lsi industries inc,LYTS,2012-07-01,2012-09-30,150226000.0,6.1811224489795915,0.07529624753127057,0.1631795900178253,4.183369030173224,,,,,,,
lsi industries inc,LYTS,2012-04-01,2012-06-30,149368000.0,149368.0,1505.0,0.14756942462876513,4.65176039439815,,,,,,,
lsi industries inc,LYTS,2012-01-01,2012-03-31,149174000.0,6.1388477366255145,-0.01551440329218107,0.13922516762645556,4.868424770426183,,,,,,,
lsi industries inc,LYTS,2011-10-01,2011-12-31,150867000.0,6.209029549757181,0.031772162317886245,0.13470373323085924,4.998691955526488,,,,,,,
