company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
mbia inc,MBI,2023-10-01,2023-12-31,-1647000000.0,3684.0362901061144,308.68063632947405,1.6320030698388335,0.6127439454502704,129.86979333969518,7.32,7.17,7.21,6.05,5.96,6.12
mbia inc,MBI,2023-07-01,2023-09-30,-1228000000.0,-26.122232263871133,-3.9353525804691856,1.4107023411371238,0.7088667614983405,-0.07026117394176347,8.78,8.63,8.64,7.32,7.17,7.21
mbia inc,MBI,2023-04-01,2023-06-30,-988000000.0,-20.146618032295724,-1.5905224762338728,1.303346638010439,0.7672555948174322,-0.15423908100724928,8.99,8.8514,9.26,8.39,8.36,8.69
mbia inc,MBI,2023-01-01,2023-03-31,-899000000.0,-17.999469305969495,-1.6617974998837242,1.2710280373831775,0.7867647058823529,-0.03190702251012766,12.55,12.45,12.85,8.99,8.82,8.97
mbia inc,MBI,2022-10-01,2022-12-31,-876000000.0,-36412.00432288636,-207.8310749023194,1.2595555555555555,0.7939308398023994,-251.1011908204938,9.27,9.18,9.2,12.55,12.45,12.85
mbia inc,MBI,2022-07-01,2022-09-30,-849000000.0,-17.021467358349064,-0.7017094906268754,1.2114570361145705,0.825452302631579,-0.09230888752765266,12.38,12.25,12.35,9.47,9.1,9.23
mbia inc,MBI,2022-04-01,2022-06-30,-735000000.0,-14.751128887838135,-0.7225042720573781,1.180722891566265,0.8469387755102041,-0.18563696798944418,15.46,15.36,15.39,12.96,12.55,12.6
mbia inc,MBI,2022-01-01,2022-03-31,-552000000.0,-11.121980563613619,-1.4708416325068734,1.12424037812289,0.8894894894894895,-0.04460358396183137,13.1,13.1,13.36,16.26,15.43,15.53
mbia inc,MBI,2021-10-01,2021-12-31,-300000000.0,-7873.189166491707,-4067.814402687382,1.0638841567291313,0.9399519615692554,-12.507051892758868,12.59,12.56,12.85,13.1,13.1,13.36
mbia inc,MBI,2021-07-01,2021-09-30,-157000000.0,-3.1683378673526312,-2.4822010043590677,1.0325996677740863,0.9684295194047858,-0.36287864313744855,10.9,10.85,11.0,11.29,11.1,12.56
mbia inc,MBI,2021-04-01,2021-06-30,-23000000.0,-0.46475567753618385,-1.2326128839003136,1.0043792840822543,0.9956398104265403,-0.20888853604176305,9.48,9.43,9.62,10.92,10.89,10.93
mbia inc,MBI,2021-01-01,2021-03-31,-28000000.0,-0.568434314674274,-2.1519299055526084,1.0052093023255815,0.9948176938737738,-0.4888485287240415,6.52,6.45,6.58,9.43,9.42,9.53
mbia inc,MBI,2020-10-01,2020-12-31,149000000.0,-44.879747878227086,24.397715289506,0.9740914623543732,1.026597643698679,35.38058250740899,6.07,6.04,6.06,6.54,6.46,6.53
mbia inc,MBI,2020-07-01,2020-09-30,243000000.0,4.620779210555274,-1.1029020337950861,0.962906426499771,1.0385225110970198,-0.1901555230681183,7.1,7.1,7.25,6.29,5.98,6.06
mbia inc,MBI,2020-04-01,2020-06-30,360000000.0,5.750279176053997,-1.693137757393677,0.9455617722667473,1.057572365264673,-0.18260851522729515,7.61,7.07,7.14,6.94,6.9,7.15
mbia inc,MBI,2020-01-01,2020-03-31,497000000.0,6.894254181524686,-4.619289019009498,0.9250603136308806,1.0810105949470252,-0.5883170167443252,9.29,9.255,9.3,7.57,7.36,7.69
mbia inc,MBI,2019-10-01,2019-12-31,839000000.0,-466.3085150491486,135.05717420374626,0.8848160351455244,1.1301784328937161,6.468255469528078,9.28,9.2,9.23,9.28,9.22,9.27
mbia inc,MBI,2019-07-01,2019-09-30,1048000000.0,13.318668902745783,0.8514797867213431,0.8622140415461478,1.1598048185422385,-0.7652522557598331,9.3,9.2,9.31,9.28,9.17,9.27
mbia inc,MBI,2019-04-01,2019-06-30,1053000000.0,12.494769965767297,-2.0171993297060213,0.8782236613854516,1.1386621016592047,,,,,9.3,9.2,9.31
mbia inc,MBI,2019-01-01,2019-03-31,1201000000.0,14.037878849154822,-0.19870436339353204,0.8631806789701526,1.1585060050151774,,,,,,,
mbia inc,MBI,2018-10-01,2018-12-31,1132000000.0,-18204.917900966535,112.57458065968704,0.8598315998018822,1.1630184331797235,,,,,,,
mbia inc,MBI,2018-07-01,2018-09-30,1120000000.0,12.51532750483357,-0.5028479801049203,0.8660447314914483,1.1546747686783594,,,,,,,
mbia inc,MBI,2018-04-01,2018-06-30,1115000000.0,12.509570101611367,-1.6380244258612193,0.8718243476261639,1.1470200421940928,,,,,,,
mbia inc,MBI,2018-01-01,2018-03-31,1260000000.0,14.296838425517324,-1.1119763219846808,0.8583155290678062,1.1650727105987162,,,,,,,
mbia inc,MBI,2017-10-01,2017-12-31,1425000000.0,-184.74439154920813,4.796871920926807,0.8433205057724025,1.1857887874837028,,,,,,,
mbia inc,MBI,2017-07-01,2017-09-30,1720000000.0,13.987387475127253,-2.1712979394528933,0.8197820620284996,1.2198364008179958,,,,,,,
mbia inc,MBI,2017-04-01,2017-06-30,1956000000.0,15.56665625096073,-9.780889842756,0.7997337974813147,1.2504160798873383,,,,,,,
mbia inc,MBI,2017-01-01,2017-03-31,3226000000.0,24.550528789547442,-0.5479349264871096,0.7071798130162477,1.414067513797972,,,,,,,
mbia inc,MBI,2016-10-01,2016-12-31,3239000000.0,-8809.674050219766,720.766787066452,0.7091676394001976,1.410103823752849,,,,,,,
mbia inc,MBI,2016-07-01,2016-09-30,3670000000.0,27.880459619784524,0.22790566446690347,0.6886400271485535,1.4521374892201553,,,,,,,
mbia inc,MBI,2016-04-01,2016-06-30,3658000000.0,27.570703138702207,-0.20350163607024593,0.6967838196286472,1.4351653580775636,,,,,,,
mbia inc,MBI,2016-01-01,2016-03-31,3639000000.0,26.793832941740128,-0.574311340878189,0.714610618774998,1.399363476733977,,,,,,,
mbia inc,MBI,2015-10-01,2015-12-31,3741000000.0,-659.3171863775658,-13.923030666620608,0.7481656008078088,1.336602483354328,,,,,,,
mbia inc,MBI,2015-07-01,2015-09-30,3714000000.0,23.924289017186663,-0.22545775864338535,0.7532389874426948,1.327599894151892,,,,,,,
mbia inc,MBI,2015-04-01,2015-06-30,3841000000.0,22.312371328095136,0.3601580375792498,0.7523533204384268,1.3291627388807952,,,,,,,
mbia inc,MBI,2015-01-01,2015-03-31,3940000000.0,21.679814061589028,0.368666888864585,0.7524348099277411,1.3290187891440501,,,,,,,
mbia inc,MBI,2014-10-01,2014-12-31,3950000000.0,-15347.73300384276,-73.82453849949682,0.7574306067305331,1.3202529592994974,,,,,,,
mbia inc,MBI,2014-07-01,2014-09-30,3902000000.0,20.85462432187397,0.8978925899730464,0.7591506697117462,1.317261565980974,,,,,,,
mbia inc,MBI,2014-04-01,2014-06-30,3808000000.0,20.130143705014905,0.6132081590813364,0.7623564653020469,1.3117223313686968,,,,,,,
mbia inc,MBI,2014-01-01,2014-03-31,3625000000.0,19.176446275146443,1.3278035903618641,0.7746627711816995,1.2908842882362381,,,,,,,
mbia inc,MBI,2013-10-01,2013-12-31,3299000000.0,-755.0811191496949,-29.06799094635079,0.8054031734796201,1.2416141789951662,,,,,,,
mbia inc,MBI,2013-07-01,2013-09-30,3201000000.0,16.610312337801677,0.6849613335175948,0.8184653774173425,1.2217987804878048,,,,,,,
mbia inc,MBI,2013-04-01,2013-06-30,3037000000.0,15.727226812451551,-0.9217801687903774,0.8324136408784902,1.2013258203513424,,,,,,,
mbia inc,MBI,2013-01-01,2013-03-31,3309000000.0,17.010760316058384,0.8430839201672937,0.8467487958503149,1.1809878028769896,,,,,,,
mbia inc,MBI,2012-10-01,2012-12-31,3194000000.0,39055.526344750004,7776.867487558235,0.8529736696740932,1.1723691311386941,,,,,,,
mbia inc,MBI,2012-07-01,2012-09-30,2587000000.0,13.343305550133243,0.0361048082145082,0.8831104283390566,1.1323612177027373,,,,,,,
mbia inc,MBI,2012-04-01,2012-06-30,2525000000.0,13.020366488200327,2.995973437482927,0.8867459071540704,1.127718765806778,,,,,,,
mbia inc,MBI,2012-01-01,2012-03-31,1881000000.0,9.721461571977185,0.051682411334275306,0.9280027558753732,1.077583006805527,,,,,,,
mbia inc,MBI,2011-10-01,2011-12-31,1723000000.0,-1386.4447067665421,503.72280118157596,0.9358836006400476,1.0685089463220676,,,,,,,
mbia inc,MBI,2011-07-01,2011-09-30,2375000000.0,12.141343747181132,2.2697922626309146,0.9191351719441607,1.08797925541767,,,,,,,
mbia inc,MBI,2011-04-01,2011-06-30,1905000000.0,9.558656171760612,0.6874204176016818,0.9398446381205002,1.064005644592279,,,,,,,
mbia inc,MBI,2011-01-01,2011-03-31,1772808000.0,8.865247491034516,-5.684574267438096,0.9448977532819226,1.0583155653896839,,,,,,,
mbia inc,MBI,2010-07-01,2010-09-30,2524327000.0,12.588308523191076,-1.0641726932493014,0.9241310828229776,1.082097570990971,,,,,,,
mbia inc,MBI,2010-04-01,2010-06-30,2665408000.0,13.041570902652637,6.3378497608397675,0.9203505354822149,1.0865425307500398,,,,,,,
mbia inc,MBI,2010-01-01,2010-03-31,,,-5662.875440428779,,,,,,,,,
