company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
methode electronics inc,MEI,2023-10-29,2024-01-27,835000000.0,23.63564646111391,-0.32835149574721123,0.4401609118337244,2.739451935624184,-0.020717806925403853,23.09,22.58,22.71,21.3,21.16,21.28
methode electronics inc,MEI,2023-07-30,2023-10-28,844900000.0,23.68545779330756,-1.5502495158834275,0.43100545491278874,2.9157123224919834,-0.009048554153936303,32.84,32.69,32.71,23.09,22.58,22.71
methode electronics inc,MEI,2023-04-30,2023-07-29,932300000.0,26.123717757817808,0.02521864848443208,0.4077250492344832,3.154990403071017,0.008607987385800524,40.69,40.685,40.99,32.84,32.69,32.71
methode electronics inc,MEI,2023-01-29,2023-04-29,952900000.0,-7155.408043732917,-60.82359655182771,0.39655499968336394,2.914035087719298,-10.738748542126467,46.71,46.54,46.97,40.69,40.685,40.99
methode electronics inc,MEI,2022-10-30,2023-01-28,942600000.0,26.360929109488048,0.5565271475480714,0.3401470073503675,3.5149292823467784,-0.010314262523591055,40.4,40.12,40.94,46.71,46.54,46.97
methode electronics inc,MEI,2022-07-31,2022-10-29,898800000.0,24.87949720163786,0.7639899007178516,0.355375457218676,3.091079812206573,-0.019187432019108882,40.25,40.25,41.24,40.4,40.12,40.94
methode electronics inc,MEI,2022-05-01,2022-07-30,911400000.0,24.924810565012965,0.5879783049679381,0.3442693718972588,3.264044943820225,-0.012762728859576118,44.57,44.48,44.61,40.25,40.25,41.24
methode electronics inc,MEI,2022-01-30,2022-04-30,913800000.0,-4315.751690784751,-76.5103714059017,0.3421639910733569,3.335100742311771,1.1951010841284238,42.68,41.52,42.74,44.57,44.48,44.61
methode electronics inc,MEI,2021-10-31,2022-01-29,916400000.0,24.86594463713019,0.7977507336661148,0.35066959540848863,3.143838978890525,-0.021807266404381537,42.43,41.8,42.07,42.68,41.52,42.74
methode electronics inc,MEI,2021-08-01,2021-10-30,919500000.0,24.491030702696545,0.7324669323808103,0.3573076116586286,3.094802694898941,-0.02909152750791921,47.06,46.645,47.83,42.43,41.8,42.07
methode electronics inc,MEI,2021-05-02,2021-07-31,934300000.0,24.62605715712347,0.7670108779538617,0.3596298834818369,3.2381185693287606,-0.010699801396643211,45.08,44.69,44.93,47.06,46.645,47.83
methode electronics inc,MEI,2021-01-31,2021-05-01,918000000.0,41910.153396639886,1419.8319941563184,0.37423312883435583,3.0264930399640773,-18.046382309860444,38.2,37.51,37.75,45.08,44.69,44.93
methode electronics inc,MEI,2020-11-01,2021-01-30,897600000.0,23.554855429581806,0.8371210875709221,0.3786085150571132,3.0831739961759084,-0.09449222756604497,30.16,29.7,30.77,38.2,37.51,37.75
methode electronics inc,MEI,2020-08-02,2020-10-31,851400000.0,22.34247316482392,1.0129427580011785,0.42832203048412004,3.4338198288877706,-0.0055719400770169155,29.2,27.71,28.2,30.16,29.7,30.77
methode electronics inc,MEI,2020-05-03,2020-08-01,813800000.0,21.508307458215725,0.5470901503871535,0.4261740234099563,3.7375,-0.011722387793704473,29.31,28.15,28.53,29.2,27.71,28.2
methode electronics inc,MEI,2020-02-02,2020-05-02,783400000.0,,,0.42842550707719246,3.933240611961057,,34.81,32.61,32.75,29.31,28.15,28.53
methode electronics inc,MEI,2019-10-27,2020-02-01,772900000.0,20.562554675404552,1.0961020217708208,0.39725493254308664,2.8355745721271393,-0.01846414043739774,33.14,33.14,34.0,34.81,32.61,32.75
methode electronics inc,MEI,2019-07-28,2019-10-26,732600000.0,19.490396629837463,0.6331851484986781,0.42886099633585406,2.525230602278893,-0.010849945008322199,30.16,29.96,30.48,33.14,33.14,34.0
methode electronics inc,MEI,2019-04-28,2019-07-27,714300000.0,19.030516791094133,0.7539739957832339,0.4370714792339822,2.5514380530973453,-0.013298008511526745,28.85,28.5426,29.33,30.16,29.96,30.48
methode electronics inc,MEI,2019-01-27,2019-04-27,689700000.0,38069.21675774135,1247.4471490864933,0.4400422180725826,2.5069098949695965,,,,,28.85,28.5426,29.33
methode electronics inc,MEI,2018-10-28,2019-01-26,674100000.0,18.021389873962555,0.8207338215852995,0.45025281357038005,2.5306122448979593,,,,,,,
methode electronics inc,MEI,2018-07-29,2018-10-27,643300000.0,17.197982652306944,0.3903164102653216,0.49366391184573005,2.5551508844953172,,,,,,,
methode electronics inc,MEI,2018-04-29,2018-07-28,632200000.0,16.926170944581006,0.6345306095959663,0.29189068100358423,3.8296783625730995,,,,,,,
methode electronics inc,MEI,2018-01-28,2018-04-28,630000000.0,95613.90195780847,5585.066019122781,0.31215198165738617,3.5031847133757963,,,,,,,
methode electronics inc,MEI,2017-10-29,2018-01-27,607200000.0,16.281904770485475,-0.6515979675935393,0.36736820170868933,4.027278775781769,,,,,,,
methode electronics inc,MEI,2017-07-30,2017-10-28,606800000.0,16.27529604248528,0.6490806925315488,0.32450183680284983,3.735390676296783,,,,,,,
methode electronics inc,MEI,2017-04-30,2017-07-29,589400000.0,15.823375689812869,0.5503549400087611,0.2476384988511616,4.323320158102767,,,,,,,
methode electronics inc,MEI,2017-01-29,2017-04-29,541100000.0,-36907.441511493074,-1575.6087579292,0.23139204545454545,4.262861736334405,,,,,,,
methode electronics inc,MEI,2016-10-30,2017-01-28,507900000.0,13.646878540523975,0.6368005934444146,0.23853073463268365,4.488309352517986,,,,,,,
methode electronics inc,MEI,2016-07-31,2016-10-29,492800000.0,13.192900688110967,0.6666055745413212,0.26061515378844713,4.364354697102722,,,,,,,
