company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
morgan stanley,MS,2023-10-01,2023-12-31,99982000000.0,-14283.142857142857,-197.57142857142858,0.9162414456648401,1.0914153738967607,-9.799163611957251,83.01,81.025,81.67,93.49,93.06,93.25
morgan stanley,MS,2023-07-01,2023-09-30,100158000000.0,61.673645320197046,1.3928571428571428,0.9143225952149378,1.093705881527429,0.0025841739176248393,86.02,85.4,85.4,83.01,81.025,81.67
morgan stanley,MS,2023-04-01,2023-06-30,101361000000.0,61.99449541284404,1.2532110091743118,0.9129882025322106,1.0953044050585303,-0.01756648205301653,86.8,86.17,87.8,85.34,84.63,85.24
morgan stanley,MS,2023-01-01,2023-03-31,101954000000.0,61.97811550151976,1.7240121580547112,0.9150315358562018,1.0928585090395737,-0.04513244466870306,84.695,84.175,85.02,87.26,85.46,86.11
morgan stanley,MS,2022-10-01,2022-12-31,101231000000.0,-7787.0,-162.53846153846155,0.9142278079460716,1.0938192771084336,-25.047974465048554,79.77,78.865,79.01,84.695,84.175,85.02
morgan stanley,MS,2022-07-01,2022-09-30,102089000000.0,60.98506571087216,1.4898446833930705,0.9119944415182724,1.0964979110346522,-0.03563008930225098,76.57,74.53,76.06,80.8,79.03,79.86
morgan stanley,MS,2022-04-01,2022-06-30,102662000000.0,60.247652582159624,1.403169014084507,0.9125369746868227,1.0958460070543379,-0.05222952367197688,89.72,87.4,87.4,78.28,77.51,78.19
morgan stanley,MS,2022-01-01,2022-03-31,104075000000.0,60.05481823427582,2.043854587420658,0.914848478154329,1.093077185871764,0.05423046036997187,98.86,98.72,98.8,91.86,89.76,90.27
morgan stanley,MS,2021-10-01,2021-12-31,106598000000.0,-8883.166666666666,-299.3333333333333,0.9102816166445031,1.0985611284628798,-16.391466294190028,100.23,96.25,97.31,98.86,98.72,98.8
morgan stanley,MS,2021-07-01,2021-09-30,107119000000.0,60.145423919146545,2.0123526108927567,0.910020025603204,1.0988769168427397,0.07337192079070559,90.17,90.13,91.69,101.08,99.11,99.55
morgan stanley,MS,2021-04-01,2021-06-30,108162000000.0,59.626240352811465,1.8787210584343992,0.9069017606224796,1.1026552636898836,0.0033985628493775166,78.67,77.65,77.66,91.09,89.78,90.64
morgan stanley,MS,2021-01-01,2021-03-31,107588000000.0,59.93760445682451,2.218384401114206,0.9071534348430925,1.1023493508272577,0.07858604284270466,67.8,67.41,68.53,78.67,78.5,79.09
morgan stanley,MS,2020-10-01,2020-12-31,103149000000.0,1809.6315789473683,57.29824561403509,0.9075611500346817,1.1018541284648267,12.829062376940884,47.67,47.54,48.35,67.83,67.57,67.84
morgan stanley,MS,2020-07-01,2020-09-30,89818000000.0,58.24773022049287,1.6841763942931258,0.9060422202230265,1.103701326141121,-0.036848949074587016,47.06,47.06,48.3,48.07,47.19,47.24
morgan stanley,MS,2020-04-01,2020-06-30,88009000000.0,57.111615833874104,1.9772874756651524,0.9097679530595276,1.0991813864590683,0.0685012214641671,34.53,33.715,34.0,47.57,46.645,47.24
