company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"mueller water products, inc.",MWA,2023-10-01,2023-12-31,731200000.0,4.687179487179487,0.09166666666666666,0.521716378859236,3.2915162454873648,-0.005650226009040362,12.82,12.585,12.68,14.54,14.39,14.4
"mueller water products, inc.",MWA,2023-07-01,2023-09-30,711500000.0,7115.0,172.0,0.5272425249169436,3.2303473491773307,-12.039312039312039,16.28,16.165,16.23,12.82,12.585,12.68
"mueller water products, inc.",MWA,2023-04-01,2023-06-30,714200000.0,4.5664961636828645,0.15664961636828645,0.5217303957677627,3.458729364682341,-0.004256338202085325,13.67,13.67,13.94,15.79,15.775,16.12
"mueller water products, inc.",MWA,2023-01-01,2023-03-31,700900000.0,4.484325015994882,0.1362763915547025,0.5254891341141426,3.5002613695765814,-0.005687069026800312,10.8,10.65,10.76,13.51,13.46,13.59
"mueller water products, inc.",MWA,2022-10-01,2022-12-31,687800000.0,4.39769820971867,0.1438618925831202,0.5373335127135745,3.1455992509363297,-0.00642445453321749,10.45,10.26,10.27,10.8,10.65,10.76
"mueller water products, inc.",MWA,2022-07-01,2022-09-30,669300000.0,-3346.5,-35.5,0.5532340965222615,2.8215767634854774,8.224543080939947,11.49,11.48,11.73,10.3,10.26,10.45
"mueller water products, inc.",MWA,2022-04-01,2022-06-30,703800000.0,4.4828025477707,0.16878980891719744,0.5337837837837838,3.2580326248146316,-0.006928669349051514,12.87,12.87,12.92,11.69,11.47,11.68
"mueller water products, inc.",MWA,2022-01-01,2022-03-31,706100000.0,4.50031867431485,0.1504142766093053,0.5328481640754218,3.2114143920595533,-0.003777531506150129,14.51,14.4,14.4,12.9,12.81,12.91
"mueller water products, inc.",MWA,2021-10-01,2021-12-31,691900000.0,4.379113924050633,0.12278481012658228,0.5367258118513559,3.1510286001003514,-0.012079973384452084,15.98,15.22,15.22,14.51,14.4,14.4
"mueller water products, inc.",MWA,2021-07-01,2021-09-30,694900000.0,,,0.5422266139657445,2.9700136301681055,,14.41,14.36,14.42,15.73,15.55,15.9
"mueller water products, inc.",MWA,2021-04-01,2021-06-30,683200000.0,4.310410094637224,0.09085173501577287,0.5398087026808568,3.347803070407623,-0.011923879052576997,13.81,13.7718,13.89,14.25,14.23,14.44
"mueller water products, inc.",MWA,2021-01-01,2021-03-31,669400000.0,4.226010101010101,0.13194444444444445,0.5337790778659981,3.8339575530586765,-0.004472658177869905,12.28,12.21,12.38,13.63,13.61,13.81
"mueller water products, inc.",MWA,2020-10-01,2020-12-31,655200000.0,4.144212523719165,0.105629348513599,0.5311627906976745,4.23991195891416,-0.0035206950094755253,10.42,10.28,10.39,12.13,12.13,12.31
"mueller water products, inc.",MWA,2020-07-01,2020-09-30,640700000.0,,,0.5407168458781362,3.7496774193548386,,9.15,9.11,9.43,10.52,10.3,10.4
"mueller water products, inc.",MWA,2020-04-01,2020-06-30,609700000.0,3.8637515842839036,0.07097591888466413,0.5452036401611219,3.6855172413793102,-0.006304803290137348,7.84,7.79,8.01,9.07,9.07,9.23
"mueller water products, inc.",MWA,2020-01-01,2020-03-31,606500000.0,3.8410386320455987,0.15072830905636478,0.5433669628068062,3.866616989567809,-0.00637562640529432,11.92,11.9,11.98,7.76,7.5,7.92
"mueller water products, inc.",MWA,2019-10-01,2019-12-31,595000000.0,3.772986683576411,0.0653138871274572,0.5454545454545454,4.112641815235008,-0.007227673406283897,11.23,11.165,11.24,11.94,11.875,11.93
"mueller water products, inc.",MWA,2019-07-01,2019-09-30,592300000.0,-5923.0,-402.0,0.5570926493681299,3.175910364145658,7.276507276507277,9.62,9.59,9.82,11.25,11.17,11.23
"mueller water products, inc.",MWA,2019-04-01,2019-06-30,567000000.0,3.593155893536122,0.21356147021546262,0.5615866388308977,3.146015125072717,,,,,9.62,9.59,9.82
"mueller water products, inc.",MWA,2019-01-01,2019-03-31,548800000.0,3.4690265486725664,0.06890012642225031,0.571316981721606,3.069994262765347,,,,,,,
"mueller water products, inc.",MWA,2018-10-01,2018-12-31,538900000.0,3.4172479391249206,-0.13316423589093215,0.5719958700659201,3.143620178041543,,,,,,,
"mueller water products, inc.",MWA,2018-07-01,2018-09-30,564800000.0,-5648.0,-250.0,0.5628144593234771,4.102333931777379,,,,,,,
"mueller water products, inc.",MWA,2018-04-01,2018-06-30,538100000.0,3.4035420619860846,0.0967741935483871,0.5636909105651504,5.130298273155416,,,,,,,
"mueller water products, inc.",MWA,2018-01-01,2018-03-31,531800000.0,3.359444093493367,0.06443461781427669,0.569148505225634,5.74934036939314,,,,,,,
"mueller water products, inc.",MWA,2017-10-01,2017-12-31,534300000.0,3.3709779179810724,0.3476340694006309,0.5621209637764301,6.1883495145631064,,,,,,,
"mueller water products, inc.",MWA,2017-07-01,2017-09-30,489500000.0,-979.0,-38.6,0.6109830723992689,4.733757062146893,,,,,,,
"mueller water products, inc.",MWA,2017-04-01,2017-06-30,462300000.0,2.9057196731615336,0.1508485229415462,0.6254253767622752,5.895589558955896,,,,,,,
"mueller water products, inc.",MWA,2017-01-01,2017-03-31,446900000.0,2.7775015537600996,0.4555624611559975,0.6304779229369936,6.2200198216055504,,,,,,,
"mueller water products, inc.",MWA,2016-10-01,2016-12-31,423300000.0,2.61619283065513,0.04140914709517923,0.6554054054054054,4.913043478260869,,,,,,,
"mueller water products, inc.",MWA,2016-07-01,2016-09-30,419500000.0,4195.0,265.0,0.6724191785100734,3.2954790096878366,,,,,,,
"mueller water products, inc.",MWA,2016-04-01,2016-06-30,394400000.0,2.4405940594059405,0.09591584158415842,0.6795840441953043,3.5850727387729284,,,,,,,
"mueller water products, inc.",MWA,2016-01-01,2016-03-31,373400000.0,2.314941103533788,0.09733415995040298,0.6849211037043288,3.744186046511628,,,,,,,
"mueller water products, inc.",MWA,2015-10-01,2015-12-31,366500000.0,2.279228855721393,0.03855721393034826,0.6857853223593965,3.7274791824375475,,,,,,,
"mueller water products, inc.",MWA,2015-07-01,2015-09-30,367800000.0,,,0.7009269799967475,3.2708333333333335,,,,,,,
"mueller water products, inc.",MWA,2015-04-01,2015-06-30,339900000.0,2.1138059701492535,0.10261194029850747,0.7161349590780023,3.41920216362407,,,,,,,
"mueller water products, inc.",MWA,2015-01-01,2015-03-31,329000000.0,2.047293092719353,0.07654013690105788,0.7277616880430285,3.403193612774451,,,,,,,
"mueller water products, inc.",MWA,2014-10-01,2014-12-31,324400000.0,2.0262336039975017,-0.12617114303560276,0.7243840271877655,3.442726633872101,,,,,,,
"mueller water products, inc.",MWA,2014-07-01,2014-09-30,351600000.0,1758.0,131.0,0.733049882317212,2.55278232405892,,,,,,,
"mueller water products, inc.",MWA,2014-04-01,2014-06-30,343800000.0,2.155485893416928,0.11598746081504702,0.7361271010822013,2.899290780141844,,,,,,,
"mueller water products, inc.",MWA,2014-01-01,2014-03-31,325700000.0,2.045854271356784,0.06092964824120603,0.7461220671915192,3.801561483409239,,,,,,,
"mueller water products, inc.",MWA,2013-10-01,2013-12-31,321800000.0,2.0302839116719245,0.00694006309148265,0.7465543041663385,4.057347670250896,,,,,,,
"mueller water products, inc.",MWA,2013-07-01,2013-09-30,328200000.0,3282.0,135.0,0.743973788907091,3.109776078645549,,,,,,,
"mueller water products, inc.",MWA,2013-04-01,2013-06-30,260500000.0,1.6487341772151898,0.08924050632911393,0.7882802340702211,3.4249667994687916,,,,,,,
