company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
office properties income trust,OPI,2023-10-01,2023-12-31,1255679000.0,52319.958333333336,-1551.0,0.6852673743110017,1.4592844158171756,-73.74323279195669,4.31,4.07,4.1,7.47,7.265,7.32
office properties income trust,OPI,2023-07-01,2023-09-30,1304633000.0,26.953556597731545,-0.40582195318472,0.6774694127797597,1.476081401072926,0.051283436146525,8.01,7.58,7.7,4.31,4.07,4.1
office properties income trust,OPI,2023-04-01,2023-06-30,1335955000.0,27.62863465276916,-0.25433263018571367,0.6682973447003253,-3.014748251250978,0.0558416516540569,11.96,11.88,12.3,7.8,7.71,7.945
office properties income trust,OPI,2023-01-01,2023-03-31,1359641000.0,28.1289515061238,-0.009227077126779212,0.6606835537808835,-2.9471014775223754,0.03526395478563635,13.5,13.23,13.35,11.76,11.68,11.82
office properties income trust,OPI,2022-10-01,2022-12-31,1386335000.0,77018.61111111111,347.8888888888889,0.6516726101683502,1.5345128587522874,43.25251040901298,13.61,13.555,14.05,13.5,13.23,13.35
office properties income trust,OPI,2022-07-01,2022-09-30,1406165000.0,29.121588037940604,0.34927308122437145,0.6457117762572103,1.5486785850435907,-0.12809886699571685,19.77,19.53,19.95,14.13,13.48,13.54
office properties income trust,OPI,2022-04-01,2022-06-30,1415450000.0,29.336359302783478,-0.3327737362432382,0.651595088732549,-2.8702236038009112,-0.09751798105034838,25.85,25.71,25.73,20.09,19.85,20.0
office properties income trust,OPI,2022-01-01,2022-03-31,1457082000.0,30.202972451961944,-0.2779056028853927,0.652885049001916,-2.8808900254069436,-0.022300409554691147,25.04,25.01,25.13,26.06,25.59,25.77
office properties income trust,OPI,2021-10-01,2021-12-31,1496709000.0,93544.3125,1059.0625,0.6471426554035273,1.5452543448498965,-65.50019387359441,25.79,25.2,25.33,25.04,25.01,25.13
office properties income trust,OPI,2021-07-01,2021-09-30,1505980000.0,31.237269502810562,0.0769948766878928,0.6448058175258816,1.5508544942057092,0.02120656266423165,29.21,29.21,29.31,25.7,25.42,25.75
office properties income trust,OPI,2021-04-01,2021-06-30,1528550000.0,31.73570019723866,-1.3847607183639572,0.6370285711029102,-2.7550377809034705,0.20018060786449585,28.37,27.52,27.52,29.19,29.19,29.36
office properties income trust,OPI,2021-01-01,2021-03-31,1620998000.0,33.65789746890638,0.7835593114760906,0.589888525947236,-2.43836142919362,-0.02511760322437011,22.5,22.235,22.72,28.17,28.17,28.51
office properties income trust,OPI,2020-10-01,2020-12-31,1609392000.0,,,0.5921910300838529,1.6886442873989536,,21.06,20.65,20.72,22.55,22.34,22.49
office properties income trust,OPI,2020-07-01,2020-09-30,1636672000.0,,,0.5880560124539239,1.7005182819695315,,25.94,25.25,25.97,21.32,20.57,20.96
office properties income trust,OPI,2020-04-01,2020-06-30,1666430000.0,,,0.5810529951883807,-2.3869367450177927,,25.97,25.15,27.25,25.62,25.3467,26.1
office properties income trust,OPI,2020-01-01,2020-03-31,1690374000.0,35.146564091901446,0.22538725439234847,0.5804175287095977,-2.3833216791077003,-0.09583389089027462,31.76,31.7279,32.14,26.39,24.72,26.19
office properties income trust,OPI,2019-10-01,2019-12-31,1705754000.0,155068.54545454544,5911.727272727273,0.5932032731588005,1.6857627819128707,-697.8381553825818,30.95,30.61,30.64,31.77,31.64,31.83
office properties income trust,OPI,2019-07-01,2019-09-30,1666613000.0,34.668379339754125,-0.08193788613150833,0.6177711410518069,1.6187224257472057,-0.3290441409324066,25.47,25.3714,26.27,31.16,30.53,30.85
office properties income trust,OPI,2019-04-01,2019-06-30,1696486000.0,35.307415346833444,-1.3480821661220836,0.6468833687667063,-2.831925521342351,,,,,25.47,25.3714,26.27
office properties income trust,OPI,2019-01-01,2019-03-31,1787004000.0,37.205221627698776,0.7082717411671628,0.6373184109913992,-2.7572394913497678,,,,,,,
