company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
oppenheimer holdings inc,OPY,2023-10-01,2023-12-31,789239000.0,-5723.727055820261,-80.49953223244783,0.7254645166855896,1.378427169075992,16.915611986395238,37.75,37.75,38.31,41.68,41.15,41.32
oppenheimer holdings inc,OPY,2023-07-01,2023-09-30,805289000.0,76.55252456145205,1.3176568200314256,0.729348646590311,1.3710863860171376,-0.1479749308957125,40.91,39.94,40.18,37.75,37.75,38.31
oppenheimer holdings inc,OPY,2023-04-01,2023-06-30,814370000.0,73.92322195121287,-0.8532709779847011,0.7366522494846194,1.35749263061319,0.16459729383517677,38.57,38.28,39.15,39.75,39.75,40.69
oppenheimer holdings inc,OPY,2023-01-01,2023-03-31,826415000.0,74.50144929914106,1.317724974020976,0.7170012262829313,1.3946977541226635,0.014876258008511082,42.62,42.25,42.33,38.96,38.05,38.41
oppenheimer holdings inc,OPY,2022-10-01,2022-12-31,820421000.0,-3483.2528775161018,-95.15864019054655,0.6977514669951871,1.4331750591746124,23.114578827574984,31.37,30.68,30.98,42.62,42.25,42.33
oppenheimer holdings inc,OPY,2022-07-01,2022-09-30,900340000.0,79.88402380745141,0.40104381412541973,0.6847576614350365,1.460370662964639,-0.362572460960947,33.91,32.85,33.04,31.84,30.635,31.38
oppenheimer holdings inc,OPY,2022-04-01,2022-06-30,909133000.0,75.88683414140849,-0.32336918301702444,0.6887150193745697,1.4519793700856298,0.12720374655425315,44.03,43.46,43.58,35.36,33.94,34.31
oppenheimer holdings inc,OPY,2022-01-01,2022-03-31,944711000.0,75.77308986983255,0.7452898834357639,0.6871255328358709,1.4553381474165994,-0.02009762318473532,46.51,46.16,46.32,44.78,43.94,44.11
oppenheimer holdings inc,OPY,2021-10-01,2021-12-31,953030000.0,-86607.59723736823,-5715.830607051981,0.6868380842848928,1.455947220866703,-213.16414606555094,46.41,45.2,45.29,46.51,46.16,46.32
oppenheimer holdings inc,OPY,2021-07-01,2021-09-30,774954000.0,61.0662276151411,2.068495000861282,0.7319796638306703,1.366158172710289,-0.0217311082475109,50.57,50.47,50.84,45.58,45.16,46.07
oppenheimer holdings inc,OPY,2021-04-01,2021-06-30,752507000.0,59.30299260212885,2.4555544951604875,0.7227638765980994,1.383577724867482,0.005481818481639266,40.44,40.0235,40.05,50.65,50.22,50.96
oppenheimer holdings inc,OPY,2021-01-01,2021-03-31,719740000.0,57.21699354406863,3.0731855064698435,0.7343300539541724,1.3617854731877927,-0.03322388170075642,31.46,31.13,31.43,39.57,39.54,40.28
oppenheimer holdings inc,OPY,2020-10-01,2020-12-31,685668000.0,-12800.194149383016,-1528.553027050236,0.7473498500130624,1.3380614179323402,75.9678943623764,22.3,22.215,22.32,31.43,31.09,31.41
oppenheimer holdings inc,OPY,2020-07-01,2020-09-30,615216000.0,49.006348833604356,1.2457580579970913,0.7641601798346864,1.3086261576942333,0.44656633638274507,20.31,20.31,21.79,22.27,21.91,22.31
oppenheimer holdings inc,OPY,2020-04-01,2020-06-30,601137000.0,47.55656497708984,1.396230501999808,0.7457460230586677,1.3409390986739869,-0.7822232704119456,19.78,19.29,19.76,19.57,19.57,20.46
oppenheimer holdings inc,OPY,2020-01-01,2020-03-31,586730000.0,45.49800945723968,0.6062472311569203,0.7257800753680654,1.377827848874012,0.5235386881562306,27.6,27.43,27.48,20.05,19.64,19.98
oppenheimer holdings inc,OPY,2019-10-01,2019-12-31,592722000.0,-16587.988357774542,-711.826933840815,0.7595209260149589,1.3166194185679418,1.4163650282507652,30.35,29.91,30.06,27.8,27.6,27.64
oppenheimer holdings inc,OPY,2019-07-01,2019-09-30,566627000.0,44.17819070471538,0.30789156727957023,0.7428499724073832,1.346166840067666,-0.2976653425103135,27.58,27.12,27.22,30.14,30.04,30.33
oppenheimer holdings inc,OPY,2019-04-01,2019-06-30,563610000.0,43.434016107137396,0.9536664525573095,0.7875107072193803,1.269824004718485,,,,,27.58,27.12,27.22
oppenheimer holdings inc,OPY,2019-01-01,2019-03-31,554487000.0,42.586202023541006,0.8597315093979084,0.7806239525487781,1.281026538751402,,,,,,,
oppenheimer holdings inc,OPY,2018-10-01,2018-12-31,545322000.0,-146591.93548387097,-2220.6989247311826,0.7565867998860873,1.3217254122733322,,,,,,,
oppenheimer holdings inc,OPY,2018-07-01,2018-09-30,543877000.0,40.98847059135623,0.38216827401924963,0.7691802986480838,1.3000853008814792,,,,,,,
oppenheimer holdings inc,OPY,2018-04-01,2018-06-30,538641000.0,40.65579615742151,0.6683618123647614,0.7863620859246098,1.2716788078919057,,,,,,,
oppenheimer holdings inc,OPY,2018-01-01,2018-03-31,530509000.0,40.06978141681926,0.5064341686941657,0.7906416635358819,1.2647954770405503,,,,,,,
oppenheimer holdings inc,OPY,2017-10-01,2017-12-31,523911000.0,-11913.566490813171,-481.9219574313262,0.7851517951279404,1.2736390672545683,,,,,,,
oppenheimer holdings inc,OPY,2017-07-01,2017-09-30,504775000.0,38.20250434056586,0.5894889927366994,0.7987662259742362,1.2519307495510639,,,,,,,
oppenheimer holdings inc,OPY,2017-04-01,2017-06-30,501114000.0,37.788966096077516,-0.09946568301968463,0.8078196170382651,1.2379001189229992,,,,,,,
oppenheimer holdings inc,OPY,2017-01-01,2017-03-31,502579000.0,37.50799485045805,-0.36173666436554286,0.800992465828551,1.2484511935647167,,,,,,,
oppenheimer holdings inc,OPY,2016-10-01,2016-12-31,513334000.0,-203059.33544303797,708.0696202531645,0.770518523154502,1.297827333087336,,,,,,,
oppenheimer holdings inc,OPY,2016-07-01,2016-09-30,516012000.0,38.60382200371171,-0.05326605053107823,0.8002802977612175,1.2495621881452013,,,,,,,
oppenheimer holdings inc,OPY,2016-04-01,2016-06-30,522112000.0,39.05904940194122,0.3881127962913533,0.7972954452894695,1.2542402015565706,,,,,,,
