company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
otter tail corp,OTTR,2023-10-01,2023-12-31,1443006000.0,288601.2,11553.4,0.5549804969394628,1.8407009365405786,31.67771545130036,78.44,75.42,75.92,85.62,84.64,84.97
otter tail corp,OTTR,2023-07-01,2023-09-30,1402929000.0,33.65952495201535,2.2066698656429944,0.5598611311984525,1.7957765786222757,-0.005207543102707517,78.18,77.665,78.96,78.44,75.42,75.92
otter tail corp,OTTR,2023-04-01,2023-06-30,4422425000.0,106.10933825999328,1.9667210518738902,-0.4293616713197797,1.7437733312927117,-0.009640971986155062,72.67,71.77,72.27,76.22,76.17,77.84
otter tail corp,OTTR,2023-01-01,2023-03-31,4251187000.0,102.11344638739432,1.500792659492698,-0.4230343340887257,1.7311517008046817,0.012101023078993538,59.37,58.18,58.71,72.09,71.76,72.02
otter tail corp,OTTR,2022-10-01,2022-12-31,1217317000.0,304329.25,10501.25,0.5804758033416033,1.9052332138228214,-31.540697674418603,61.92,61.3,61.52,59.37,58.18,58.71
otter tail corp,OTTR,2022-07-01,2022-09-30,1184023000.0,28.462091346153848,2.0249759615384617,0.5914209028318398,1.9040202106238087,-0.017637328819818436,64.99,64.61,67.13,63.8,61.15,61.68
otter tail corp,OTTR,2022-04-01,2022-06-30,3992043000.0,95.9694929922831,2.065942255451114,-0.38829525299947837,1.6358982901444719,-0.010335570860702373,63.15,62.42,62.5,66.47,65.13,65.52
otter tail corp,OTTR,2022-01-01,2022-03-31,3838879000.0,92.39624049292385,1.7330076056609223,-0.3750842216380388,1.078348139513071,-0.004816094830743965,70.63,70.2,70.68,63.82,62.76,62.95
otter tail corp,OTTR,2021-10-01,2021-12-31,990777000.0,247694.25,12904.25,0.6403491322513549,0.9526823644115667,-95.44658493870402,57.1,55.88,55.97,70.63,70.2,70.68
otter tail corp,OTTR,2021-07-01,2021-09-30,952482000.0,22.949161526599845,1.2710582112567463,0.6489384287182269,0.6566860163070222,-0.022813738545661377,48.27,47.95,48.81,56.24,56.0,56.8
