company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
regency centers corp,REG,2023-10-01,2023-12-31,7191935000.0,,,0.4212613381939666,2.3738233474906676,,60.63,59.16,59.44,67.43,66.845,67.0
regency centers corp,REG,2023-07-01,2023-09-30,7231527000.0,,,0.4159369034909906,2.4042108108391504,,62.15,60.89,61.77,60.63,59.16,59.44
regency centers corp,REG,2023-04-01,2023-06-30,6143786000.0,,,0.43259907581724877,-1.7624222262949913,,59.95,59.95,61.18,60.09,59.86,61.68
regency centers corp,REG,2023-01-01,2023-03-31,6139435000.0,,,0.4318326102568279,-1.7600446946665287,,62.37,61.87,62.5,59.83,59.32,59.51
regency centers corp,REG,2022-10-01,2022-12-31,6178039000.0,,,0.4311313214649427,2.3194788924221426,,53.58,53.1,53.85,62.37,61.87,62.5
regency centers corp,REG,2022-07-01,2022-09-30,6198740000.0,,,0.4312475725621,2.318853632169719,,59.34,58.75,59.31,53.73,51.97,53.17
regency centers corp,REG,2022-04-01,2022-06-30,6206135000.0,,,0.43072460870047785,-1.7566190551768532,,72.62,71.18,71.34,60.49,59.5,60.37
regency centers corp,REG,2022-01-01,2022-03-31,6205692000.0,,,0.4275278492096614,-1.746809864234319,,74.33,73.9,74.79,72.21,71.73,72.39
regency centers corp,REG,2021-10-01,2021-12-31,6109932000.0,,,0.43387571608338077,2.3048074896356345,,68.96,66.85,67.33,74.33,73.9,74.79
regency centers corp,REG,2021-07-01,2021-09-30,6143464000.0,,,0.4339857284517837,2.304223236942459,,64.59,63.86,64.07,68.45,68.17,68.65
regency centers corp,REG,2021-04-01,2021-06-30,6040031000.0,,,0.43233676993385256,-1.7616078460524458,,56.58,56.19,56.71,64.37,64.195,64.41
regency centers corp,REG,2021-01-01,2021-03-31,6043044000.0,,,0.4312958004469796,-1.7583833577912058,,45.73,44.82,45.59,56.72,55.9999,57.07
regency centers corp,REG,2020-10-01,2020-12-31,6058147000.0,40387.64666666667,256.58,0.44608209050751474,2.241739852999442,-11.682572976752315,38.14,37.575,38.02,45.62,45.355,45.59
regency centers corp,REG,2020-07-01,2020-09-30,6113123000.0,36.0292743014422,0.07478001544164883,0.4435857044178843,2.2543557874848466,-0.05466166619421699,45.96,45.27,45.89,38.25,37.0,37.77
regency centers corp,REG,2020-04-01,2020-06-30,6197202000.0,36.530844184552265,0.1122710633506835,0.4557321428743942,-1.8373306211416056,-0.03212606528117466,39.57,37.43,38.43,45.46,44.0,45.82
regency centers corp,REG,2020-01-01,2020-03-31,6275235000.0,37.37305548276437,-0.15086833265836053,0.45754959388626393,-1.843486498911993,0.047446839829481606,62.53,62.41,63.09,40.43,38.78,39.95
