company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
schwab charles corp,SCHW,2023-10-01,2023-12-31,40958000000.0,-40958.0,-926.0,0.916950877776381,1.0905709610366636,2.7767695099818512,55.1,54.64,54.9,69.65,68.73,68.8
schwab charles corp,SCHW,2023-07-01,2023-09-30,37784000000.0,20.749038989566174,0.5584843492586491,0.9204888847736972,1.0863792236294636,-0.2645265607205443,57.55,56.07,56.68,55.1,54.64,54.9
schwab charles corp,SCHW,2023-04-01,2023-06-30,37147000000.0,20.41043956043956,0.6445054945054945,0.9273770539877421,-13.769752604517189,-0.24381147927382438,52.45,50.76,52.38,56.82,56.49,57.14
schwab charles corp,SCHW,2023-01-01,2023-03-31,36347000000.0,19.818429661941114,0.8358778625954199,0.9321317070984704,-14.734420997606405,-0.06695338489946515,82.22,82.0,83.26,53.77,51.8699,52.47
schwab charles corp,SCHW,2022-10-01,2022-12-31,36608000000.0,-5229.714285714285,-260.14285714285717,0.9336537555367072,1.071060866054305,31.472351502721462,72.44,71.34,71.87,82.22,82.0,83.26
schwab charles corp,SCHW,2022-07-01,2022-09-30,37041000000.0,19.629570747217805,0.9984101748807631,0.9358667366157458,1.0685282005172778,-0.4186810724012937,62.52,60.99,63.18,72.39,71.57,72.64
schwab charles corp,SCHW,2022-04-01,2022-06-30,44513000000.0,23.477320675105485,0.8713080168776371,0.9301819288314613,-14.322939366027901,-0.16683840067930342,88.45,84.19,84.31,64.15,63.14,63.62
schwab charles corp,SCHW,2022-01-01,2022-03-31,48098000000.0,25.39493136219641,0.6747624076029567,0.929366326455687,-14.157553328620732,0.1525732294462303,85.16,84.39,84.48,91.42,88.38,88.76
schwab charles corp,SCHW,2021-10-01,2021-12-31,56261000000.0,28130.5,724.5,0.9156848052512476,1.092078840082552,324.41095169145717,75.97,72.77,72.84,85.16,84.39,84.48
schwab charles corp,SCHW,2021-07-01,2021-09-30,57442000000.0,30.42478813559322,0.7447033898305084,0.9054527378906687,1.1044198754421874,0.1926945453784132,72.86,72.29,72.81,76.49,74.73,75.38
