company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
simmons first national corp,SFNC,2023-10-01,2023-12-31,3426488000.0,-8741.040816326531,-60.98724489795919,0.874697255587849,1.1432527009907445,60.36995928178964,16.64,16.6339,16.96,20.21,19.81,19.84
simmons first national corp,SFNC,2023-07-01,2023-09-30,3285555000.0,26.093643280334195,0.3752323014120749,0.8808040828135643,1.1353262541718547,-0.15925153476988418,17.77,17.23,17.25,16.64,16.6339,16.96
simmons first national corp,SFNC,2023-04-01,2023-06-30,3356326000.0,26.406139853977844,0.4587896525679758,0.8799559628533413,-8.330276319999905,0.13569305242900068,17.42,17.23,17.49,17.35,17.35,17.64
simmons first national corp,SFNC,2023-01-01,2023-03-31,3339901000.0,26.25997358199802,0.35844353938326545,0.8789164704076495,-8.258761562094206,0.008814506555678838,21.63,21.46,21.58,18.14,17.24,17.29
simmons first national corp,SFNC,2022-10-01,2022-12-31,3269362000.0,3195.857282502444,81.3880742913001,0.8809455322938906,1.1351439599178215,11.580757524683307,22.01,21.78,21.79,21.63,21.46,21.58
simmons first national corp,SFNC,2022-07-01,2022-09-30,3157151000.0,24.68761533890088,0.6302821306809296,0.8833970168644095,1.1319938610948328,-0.035408940762025685,20.93,20.83,21.26,22.31,21.815,21.98
simmons first national corp,SFNC,2022-04-01,2022-06-30,3259895000.0,25.405804556046544,0.21396117306897977,0.880232858336001,-8.349535491173796,-0.1467244302514688,26.94,26.03,26.22,21.41,21.005,21.3
simmons first national corp,SFNC,2022-01-01,2022-03-31,2961607000.0,26.33967751402983,0.5789361342594651,0.8790305293610869,-8.266548532604089,-0.0009741861113201254,29.99,29.65,29.77,27.71,26.8,27.0
simmons first national corp,SFNC,2021-10-01,2021-12-31,3248841000.0,2245.2252937111266,33.33102971665515,0.8685996898897983,1.151278329522398,-10.1290790660939,30.1,29.54,29.56,29.99,29.65,29.77
simmons first national corp,SFNC,2021-07-01,2021-09-30,3030531000.0,28.106796386637235,0.7471666264769713,0.8695194982504468,1.1500604667429448,-0.08693767549490612,29.23,29.22,29.34,29.62,29.56,30.01
