company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
j m smucker co,SJM,2023-11-01,2024-01-31,7560100000.0,,,0.6266100991742068,0.779768177028451,,114.03,112.95,113.84,131.48,130.65,132.94
j m smucker co,SJM,2023-08-01,2023-10-31,7088900000.0,,,0.6088602216986597,3.196740078499782,,150.99,149.93,150.65,112.62,112.18,113.65
j m smucker co,SJM,2023-05-01,2023-07-31,7003400000.0,,,0.5239603583517992,1.282251437962202,,153.56,153.12,154.41,151.09,150.43,150.99
j m smucker co,SJM,2022-11-01,2023-01-31,8335000000.0,78.26291079812206,1.9577464788732395,0.47963165287966286,1.1649336473832366,-0.025590064124736918,150.66,149.8724,150.66,150.42,150.42,151.6
j m smucker co,SJM,2022-08-01,2022-10-31,8217300000.0,77.15774647887324,1.7943661971830986,0.493362845498881,1.092829052774676,,130.53,129.855,132.32,148.53,147.92,150.73
j m smucker co,SJM,2022-05-01,2022-07-30,,,-1098.0,,,,140.56,136.79,136.93,130.53,129.855,132.32
j m smucker co,SJM,2022-02-01,2022-04-30,8140100000.0,-40700.5,-1010.5,0.4929866085331672,1.0293424825891029,10.179876737852945,139.54,139.0,140.58,140.56,136.79,136.93
j m smucker co,SJM,2021-11-01,2022-01-31,8266900000.0,76.4745605920444,0.6447733580018501,0.48223143601563284,1.1944010573110657,-0.02386126986472975,124.68,122.64,122.86,138.5,137.3,140.52
j m smucker co,SJM,2021-08-01,2021-10-31,8286400000.0,76.65494912118409,1.9056429232192413,0.4897788286291316,1.0625760380851628,-0.008164247987583556,130.87,130.75,131.11,124.68,122.64,122.86
j m smucker co,SJM,2021-05-01,2021-07-31,8170300000.0,75.65092592592593,1.425,0.4960244761499411,0.7067530399536769,-0.015677832822206497,131.88,129.805,130.99,130.87,130.75,131.11
j m smucker co,SJM,2021-02-01,2021-04-30,8124800000.0,-7386.181818181818,-133.63636363636363,0.5010623794844082,0.6771403661726242,2.7158956382700676,118.26,116.1,116.41,130.45,130.45,131.94
j m smucker co,SJM,2020-11-01,2021-01-31,8211600000.0,73.25245316681534,2.3327386262265835,0.5001886861358297,0.8208418891170431,-0.07347893858114964,111.06,110.745,112.2,118.26,116.1,116.41
j m smucker co,SJM,2020-08-01,2020-10-31,8515000000.0,74.89006156552331,2.0299032541776607,0.4970377502259343,0.7676396316102199,-0.02564995248114769,109.21,107.85,109.35,111.06,110.745,112.2
j m smucker co,SJM,2020-05-01,2020-07-31,8345200000.0,73.52599118942732,2.0881057268722465,0.5062683776764109,0.9574067821137427,-0.02764086066507485,113.89,112.6,114.91,110.02,108.52,109.35
j m smucker co,SJM,2020-02-01,2020-04-30,8190900000.0,81909.0,2263.0,0.5173419601187951,1.2429588557746833,12.050699962164208,105.72,103.56,103.61,118.25,114.1,114.19
j m smucker co,SJM,2019-11-01,2020-01-31,8170400000.0,72.04938271604938,1.652557319223986,0.5088782294033494,0.7714932126696833,-0.03475643985054978,106.79,105.01,105.68,105.18,104.58,105.82
j m smucker co,SJM,2019-08-01,2019-10-31,8095300000.0,71.38712522045856,1.8624338624338623,0.5178786254541123,0.7182373057443401,-0.013457523036067098,113.1,110.08,111.19,108.26,105.64,106.34
j m smucker co,SJM,2019-05-01,2019-07-31,8007700000.0,70.73939929328623,1.3657243816254416,0.5231127468496153,0.7043390955124847,-0.016072178957142302,122.35,121.3,122.63,114.6,112.58,113.13
j m smucker co,SJM,2019-02-01,2019-04-30,7970500000.0,,,0.5230472793858049,0.6940849882553919,,,,,122.49,121.77,122.06
j m smucker co,SJM,2018-11-01,2019-01-31,8021600000.0,70.86219081272085,1.0724381625441697,0.5261230180297266,0.9503413345078177,,,,,,,
j m smucker co,SJM,2018-08-01,2018-10-31,8030000000.0,70.93639575971731,1.6651943462897527,0.5324381921719789,1.245869640989892,,,,,,,
j m smucker co,SJM,2018-05-01,2018-07-31,7930800000.0,70.12201591511936,1.1759504862953138,0.5471478330383144,1.169559585492228,,,,,,,
j m smucker co,SJM,2018-02-01,2018-04-30,7891100000.0,,,0.4842822785141035,1.5041594118785064,,,,,,,
j m smucker co,SJM,2017-11-01,2018-01-31,7804200000.0,69.06371681415929,7.356637168141593,0.4908931972966626,1.4771079915588585,,,,,,,
j m smucker co,SJM,2017-08-01,2017-10-31,7036300000.0,62.26814159292035,1.7221238938053098,0.5518851101770476,0.9629549743866271,,,,,,,
j m smucker co,SJM,2017-05-01,2017-07-31,6931900000.0,61.3985828166519,1.1231178033658105,0.5568292246317512,0.9664172711177109,,,,,,,
j m smucker co,SJM,2017-02-01,2017-04-30,6850200000.0,-17644.876953114937,-284.3704440197205,0.5619992710857625,0.895885626978064,,,,,,,
j m smucker co,SJM,2016-11-01,2017-01-31,7241900000.0,62.49032419922208,1.1614628256694088,0.5419910572550706,1.6956478138788609,,,,,,,
j m smucker co,SJM,2016-08-01,2016-10-31,7180100000.0,61.958598977845774,1.529959136888352,0.5528701847031423,1.381918395468116,,,,,,,
j m smucker co,SJM,2016-05-01,2016-07-31,7095900000.0,61.27451774068654,1.4679840493688907,0.558212653625372,1.3510555728034772,,,,,,,
j m smucker co,SJM,2016-02-01,2016-04-30,7008500000.0,-31878.408558523726,-868.7702125530473,0.5615330234420456,1.2971145919208573,,,,,,,
