company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
suburban propane partners lp,SPH,2023-10-01,2023-12-30,549888000.0,8583.416583416583,381.712037962038,0.7629387442592547,0.7159571409651359,30.398593137142754,15.72,15.62,16.05,18.37,17.76,17.76
suburban propane partners lp,SPH,2023-06-25,2023-09-30,546356000.0,8.567444594951318,-0.32707567842486324,0.7593648906065912,0.5327888557524252,-0.05185551764112833,14.81,14.73,14.82,15.72,15.62,16.05
suburban propane partners lp,SPH,2023-03-26,2023-06-24,584423000.0,9142.180020648875,-82.2982823890123,0.7437218939452076,0.6828048327278519,-44.3764636603404,14.67,14.601,14.84,14.81,14.73,14.82
suburban propane partners lp,SPH,2022-12-25,2023-03-25,608251000.0,9515.518913676042,1634.4451049716843,0.7412914353038252,0.8972939186445227,36.889551514346635,15.21,15.17,15.27,14.67,14.601,14.84
suburban propane partners lp,SPH,2022-09-25,2022-12-24,522356000.0,8.208756325234937,0.7133607819719018,0.7588411952770628,0.8039009044435705,0.009716658691185995,16.33,15.74,15.85,15.21,15.17,15.27
suburban propane partners lp,SPH,2022-06-26,2022-09-24,497530000.0,41460.833333333336,-4513.083333333333,0.7635005699411426,0.5702787145084175,-124.13600891861762,14.95,14.94,15.33,16.33,15.74,15.85
suburban propane partners lp,SPH,2022-03-27,2022-06-25,565853000.0,8.941485999620758,-0.040057518488085454,0.7325071676920859,0.8856891887433604,-0.06328712628784527,16.0,15.99,16.27,14.95,14.94,15.33
suburban propane partners lp,SPH,2021-12-26,2022-03-26,585149000.0,9.248735537712587,2.7676234431308084,0.7340058922011748,1.1143405150742072,-0.07015557124805506,14.17,14.01,14.18,16.0,15.99,16.27
suburban propane partners lp,SPH,2021-09-26,2021-12-25,427348000.0,6.779857849980962,0.3378918644498033,0.7962026318525308,0.800270843483993,0.022466793060640332,15.13,15.0,15.18,14.17,14.01,14.18
suburban propane partners lp,SPH,2021-06-27,2021-09-25,425421000.0,15193.607142857143,-584.9642857142857,0.7926525420011405,0.6272349257868819,-92.98594847775175,15.25,15.02,15.05,15.13,15.0,15.18
suburban propane partners lp,SPH,2021-03-28,2021-06-26,453875000.0,7.232491434945422,-0.4146442514540674,0.7782472998814713,0.6963091846277648,-0.07555476122443747,15.01,14.85,15.06,15.25,15.02,15.05
suburban propane partners lp,SPH,2020-12-27,2021-03-27,495348000.0,7.894746908070891,2.027540481958434,0.7673039468529183,0.9677233283791351,-0.09550524277031991,14.7,14.4728,14.57,15.01,14.85,15.06
suburban propane partners lp,SPH,2020-09-27,2020-12-26,383162000.0,6.126279099513942,0.6072045280122793,0.8184299552048054,0.7464211059732692,0.010233914205518196,14.3,14.17,14.81,14.7,14.4728,14.57
suburban propane partners lp,SPH,2020-06-28,2020-09-26,362381000.0,7105.509803921569,-807.6078431372549,0.8229915892173562,0.4742348148996385,-45.411603213694534,14.57,14.01,14.08,14.3,14.17,14.81
suburban propane partners lp,SPH,2020-03-29,2020-06-27,422168000.0,6.771481273558425,-0.2498676718261288,0.7965424045093707,0.6139269825032089,-0.07870349566119687,14.92,14.5,14.57,14.57,14.01,14.08
suburban propane partners lp,SPH,2019-12-29,2020-03-28,471322000.0,7.562326514239872,1.241251504211793,0.781797087708106,0.8531374212427677,-0.05090823649283687,21.92,21.87,22.0,14.92,14.5,14.57
suburban propane partners lp,SPH,2019-09-29,2019-12-28,428434000.0,6.89443532554472,0.6463100640468604,0.8038673160566542,0.7845279806021038,0.014253842566288581,23.81,23.63,23.77,21.92,21.87,22.0
suburban propane partners lp,SPH,2019-06-30,2019-09-28,423830000.0,14614.827586206897,-1760.7586206896551,0.7879098135059559,0.5711377411742933,-72.75216861423758,24.05,23.95,24.29,23.81,23.63,23.77
suburban propane partners lp,SPH,2019-03-31,2019-06-29,513439000.0,8.280072247576964,-0.46833524165846896,0.7477135513327565,0.9392975515877259,,,,,24.05,23.95,24.29
suburban propane partners lp,SPH,2018-12-30,2019-03-30,575048000.0,9.30859880859881,1.958948458948459,0.7312822142366482,1.2984890516245347,,,,,,,
suburban propane partners lp,SPH,2018-09-30,2018-12-29,486924000.0,7.899865340623327,0.4497136460243036,0.773723791196714,0.977110289846532,,,,,,,
suburban propane partners lp,SPH,2018-07-01,2018-09-29,493824000.0,32921.6,-3388.4,0.7649798995716255,0.7202768469398004,,,,,,,
suburban propane partners lp,SPH,2018-04-01,2018-06-30,578287000.0,9.388080781843566,-0.2694080976655086,0.7286990161541013,1.0656328697949542,,,,,,,
suburban propane partners lp,SPH,2017-12-31,2018-03-31,629253000.0,10.237915493874363,1.7374192603680263,0.7175680582554339,1.4084534364908197,,,,,,,
suburban propane partners lp,SPH,2017-10-01,2017-12-30,556047000.0,9.066032967570475,0.6060032934961603,0.7513620274265641,1.0452066976877885,,,,,,,
suburban propane partners lp,SPH,2017-06-25,2017-09-30,552982000.0,-184327.33333333334,16863.333333333332,0.7453201632398909,0.6630966981356303,,,,,,,
suburban propane partners lp,SPH,2017-03-26,2017-06-24,643518000.0,10.49955947136564,-0.4848425518029042,0.7063304887509697,0.8390097447379057,,,,,,,
suburban propane partners lp,SPH,2016-12-25,2017-03-25,725104000.0,11.847523814192115,1.3694099962420143,0.6825129111141761,1.1107839487370403,,,,,,,
suburban propane partners lp,SPH,2016-09-25,2016-12-24,692305000.0,11.341453425510304,0.5650044231840372,0.6982401464546851,0.7939862725514779,,,,,,,
suburban propane partners lp,SPH,2016-06-26,2016-09-24,708231000.0,78692.33333333333,-6693.222222222223,0.6915328560620809,0.7183424853940913,,,,,,,
suburban propane partners lp,SPH,2016-03-27,2016-06-25,822074000.0,13.475739295783884,-0.4851812995869123,0.6518678656805222,1.0342329927399838,,,,,,,
suburban propane partners lp,SPH,2015-12-27,2016-03-26,903267000.0,14.842450334390456,1.5119213894868297,0.6297617198243548,1.3880463431043955,,,,,,,
suburban propane partners lp,SPH,2015-09-27,2015-12-26,861145000.0,14.176393118775207,0.20192608445139518,0.648944544615875,1.0204595795694544,,,,,,,
suburban propane partners lp,SPH,2015-06-28,2015-09-26,898320000.0,49906.666666666664,-3729.8333333333335,0.6386091812063257,1.2998250501554582,,,,,,,
suburban propane partners lp,SPH,2015-03-29,2015-06-27,1023768000.0,16.866307517422033,-0.6746733883589515,0.5969912357222262,1.9071999173388268,,,,,,,
suburban propane partners lp,SPH,2014-12-28,2015-03-28,1115610000.0,18.41761180724085,2.2556914797021776,0.5792507139398163,2.2198101199304006,,,,,,,
suburban propane partners lp,SPH,2014-09-28,2014-12-27,1028462000.0,16.992911785602168,0.9220792095566974,0.6078408793230134,1.4334191485561698,,,,,,,
suburban propane partners lp,SPH,2014-06-29,2014-09-27,1021453000.0,30953.121212121212,-1658.1818181818182,0.6085431578511691,1.3266311536627284,,,,,,,
suburban propane partners lp,SPH,2014-03-30,2014-06-28,1129001000.0,18.672901988025536,-0.9756375905527439,0.5738814870730327,1.917079697717807,,,,,,,
suburban propane partners lp,SPH,2013-12-29,2014-03-29,1237816000.0,20.48516342573438,2.4749193214729,0.5662181602182549,2.379243581974845,,,,,,,
suburban propane partners lp,SPH,2013-09-29,2013-12-28,1137875000.0,18.84242163307887,0.971551110301545,0.5901677723387603,1.354390391128493,,,,,,,
suburban propane partners lp,SPH,2013-06-30,2013-09-28,1129126000.0,1710.7969696969697,-95.63484848484849,0.5860955349127397,1.254080908445706,,,,,,,
suburban propane partners lp,SPH,2013-03-31,2013-06-29,1237430000.0,21.06981099948919,-0.7694193768091265,0.584691204218635,2.573339450836451,,,,,,,
suburban propane partners lp,SPH,2012-12-30,2013-03-30,1190641000.0,20.820862114190785,2.293468566931888,0.5971819950003028,2.033834603226971,,,,,,,
suburban propane partners lp,SPH,2012-09-30,2012-12-29,1106072000.0,19.3470701416827,1.0457932482071017,0.6223632444738371,1.4532224680863233,,,,,,,
suburban propane partners lp,SPH,2012-06-24,2012-09-29,1091743000.0,337.7917698019802,-19.059405940594058,0.6215071306537681,1.3333070571310328,,,,,,,
suburban propane partners lp,SPH,2012-03-25,2012-06-23,337530000.0,9.467085518750176,-0.2614927215101113,0.6233193164773945,2.2430593064707787,,,,,,,
suburban propane partners lp,SPH,2011-12-25,2012-03-24,376233000.0,10568.342696629214,1392.5,0.596090299502511,2.5396273224927866,,,,,,,
suburban propane partners lp,SPH,2011-09-25,2011-12-24,354635000.0,9969.498481952098,653.0979422017317,0.6275351055002993,1.9363108338651074,,,,,,,
suburban propane partners lp,SPH,2011-06-26,2011-09-24,358218000.0,10.093638163170763,-0.6112233305850074,0.6254747981878993,1.9656401388650553,,,,,,,
suburban propane partners lp,SPH,2011-04-01,2011-06-25,418640000.0,11779.403489026448,-190.9679234665166,0.5711196232442018,2.543098335215593,,,,,,,
suburban propane partners lp,SPH,2010-12-26,2011-03-26,454193000.0,12789.485540506294,2824.7683946723737,0.5558153681253986,2.610980622431004,,,,,,,
suburban propane partners lp,SPH,2010-09-25,2010-12-24,,,-2269947.3684210526,,,,,,,,,
