company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"star equity holdings, inc.",STRR,2023-10-01,2023-12-31,65299000.0,1004.6,19.215384615384615,0.1350667585037618,3.985115640027479,14.886877828054297,1.02,0.9693,0.98,1.06,1.02,1.045
"star equity holdings, inc.",STRR,2023-07-01,2023-09-30,63994000.0,4.080989732797653,-0.19775524520119891,0.11441698264648086,5.1195089483804175,-0.004767958366187546,1.07,0.973199,1.05,1.02,0.9693,0.98
"star equity holdings, inc.",STRR,2023-04-01,2023-06-30,67029000.0,4.318878865979381,1.618041237113402,0.10002819586729145,6.269131997945557,-0.0037938953694242384,0.9171,0.8801,0.9299,1.11,1.08,1.11
"star equity holdings, inc.",STRR,2023-01-01,2023-03-31,41813000.0,2.6948311420469193,-0.0028357824181490074,0.3983827570826319,1.5142939766999917,-0.27496161045540646,0.92,0.85,0.8549,0.8999,0.881,0.9
"star equity holdings, inc.",STRR,2022-10-01,2022-12-31,41755000.0,168.36693548387098,5.766129032258065,0.4303702491064364,1.425558177527682,-3.044920108531806,1.07,0.98,0.9955,0.92,0.85,0.8549
"star equity holdings, inc.",STRR,2022-07-01,2022-09-30,40209000.0,2.6052222366204485,-0.15310353764416224,0.47763559597271843,1.3159086678662282,-0.026248965540935094,0.9207,0.9001,0.93,1.01,0.98,0.98
"star equity holdings, inc.",STRR,2022-04-01,2022-06-30,42468000.0,2.7614279211912347,-0.1336237726770271,0.479864785420341,1.3592212994050774,-0.13493814131046722,1.17,1.13,1.13,0.9211,0.9,0.9301
"star equity holdings, inc.",STRR,2022-01-01,2022-03-31,44451000.0,3.508643144683874,-0.3299392217223143,0.45251320959219615,1.4575046385208814,0.33130668677209874,2.99,2.9872,3.04,1.15,1.15,1.19
"star equity holdings, inc.",STRR,2021-10-01,2021-12-31,35742000.0,541.5454545454545,-74.04545454545455,0.47478398871451244,1.1452859350850078,-15.197255574614067,2.65,2.6,2.7175,2.99,2.9872,3.04
"star equity holdings, inc.",STRR,2021-07-01,2021-09-30,41318000.0,8.099980396000785,-0.5136247794550088,0.44826204815254983,1.1602756849893578,0.014227651604806978,2.99,2.97,3.1,2.64,2.64,2.66
"star equity holdings, inc.",STRR,2021-04-01,2021-06-30,43812000.0,8.6945822583846,-0.4633855923794404,0.4188310826943995,1.2473633748801534,-0.08927046776010902,3.01,2.97,3.12,3.08,2.89,2.93
"star equity holdings, inc.",STRR,2021-01-01,2021-03-31,45980000.0,9.35313262815297,1.007526444263629,0.43507267388286175,1.3356354947464895,,,,,3.03,2.96,3.01
