company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
taitron components inc,TAIT,2023-10-01,2023-12-31,16843000.0,3234.062980030722,27.07373271889401,0.06458958125069421,11.012037833190027,-16.386346571554473,3.5505,3.53,3.53,3.47,3.47,3.5299
taitron components inc,TAIT,2023-07-01,2023-09-30,17002000.0,2.8299655433968276,0.06841053042795531,0.061751558964737045,11.497765862377122,-0.009921899683740947,4.1101,4.11,4.132,3.5505,3.53,3.53
taitron components inc,TAIT,2023-04-01,2023-06-30,34835000.0,5.809532068750438,0.08855638089583702,-0.9350627708032441,11.052181351582549,-0.01385923922810727,3.61,3.5501,3.6,4.07,4.07,4.11
taitron components inc,TAIT,2023-01-01,2023-03-31,34371000.0,5.732149468494942,0.1270809081782068,-0.9339972991222147,10.787723785166241,-0.014607840471085327,3.425,3.4004,3.48,3.585,3.57,3.61
taitron components inc,TAIT,2022-10-01,2022-12-31,16136000.0,,,0.0584116239715236,11.97002997002997,,3.89,3.85,3.86,3.425,3.4004,3.48
taitron components inc,TAIT,2022-07-01,2022-09-30,16361000.0,,,0.06315849748053137,12.970081595648232,,3.6,3.5773,3.65,3.9178,3.85,3.87
taitron components inc,TAIT,2022-04-01,2022-06-30,33502000.0,,,-0.927396156943965,11.251188589540412,,3.94,3.83,3.91,3.57,3.57,3.6075
taitron components inc,TAIT,2022-01-01,2022-03-31,33597000.0,,,-0.9257709503611143,10.99073359073359,,4.0,3.95,4.02,3.75,3.75,3.91
taitron components inc,TAIT,2021-10-01,2021-12-31,14385000.0,,,0.1598528209321341,5.069053708439898,,3.8391,3.74,3.82,4.0,3.95,4.02
taitron components inc,TAIT,2021-07-01,2021-09-30,14200000.0,,,0.09858439662286549,8.023824855119125,,4.97,4.91,5.04,3.85,3.73,3.74
taitron components inc,TAIT,2021-04-01,2021-06-30,13747000.0,,,0.07775392459412317,9.984469370146678,,4.17,4.04,4.07,5.18,5.03,5.03
taitron components inc,TAIT,2021-01-01,2021-03-31,13341000.0,,,0.09723913926106374,8.956828885400315,,3.26,3.17,3.25,4.05,4.025,4.18
taitron components inc,TAIT,2020-10-01,2020-12-31,13242000.0,1217.655172413793,65.01149425287356,0.07145361475352359,12.68107476635514,-8.072299727998596,2.358,2.3406,2.4,3.1601,3.1601,3.171
taitron components inc,TAIT,2020-07-01,2020-09-30,12933000.0,2.2287335854279804,0.07634183703275306,0.07871491665479413,11.219745222929935,-0.013574493910420132,2.5771,2.5771,2.63,2.32,2.32,2.35
taitron components inc,TAIT,2020-04-01,2020-06-30,12687000.0,2.187282933245201,0.020516013955716787,0.07958502611723738,10.99678800856531,-0.002589751824755969,2.33,2.22,2.2302,2.55,2.55,2.57
taitron components inc,TAIT,2020-01-01,2020-03-31,12764000.0,2.2015068697052543e-06,1.5523003625311257e-08,0.06791295457864759,-0.7946568473832655,-8.896224299885984e-09,2.85,2.84,2.84,2.25,2.25,2.34
taitron components inc,TAIT,2019-10-01,2019-12-31,12815000.0,1343.0098511842382,-15.615175015719975,0.0576512978895507,12.76530612244898,-7.659915016863246,2.75,2.75,2.83,2.86,2.86,2.89
taitron components inc,TAIT,2019-07-01,2019-09-30,13163000.0,2.288084491035482,0.08308929474397633,0.04953426240161744,14.60058309037901,-0.00942698022763861,3.19,3.14,3.2,2.85,2.8,2.8
taitron components inc,TAIT,2019-04-01,2019-06-30,12944000.0,2.260428856302281,0.044705638690774416,0.05297044190810653,-0.7445148331273177,,,,,3.19,3.14,3.2
taitron components inc,TAIT,2019-01-01,2019-03-31,12803000.0,2.2462006436313113,0.03228156825963925,0.0876505380175301,-0.7781769897680231,,,,,,,
taitron components inc,TAIT,2018-10-01,2018-12-31,12698000.0,1179.6729840208102,58.992939427722035,0.09176739861240255,7.840218238503508,,,,,,,
taitron components inc,TAIT,2018-07-01,2018-09-30,12239000.0,2.1795625452888308,0.05004143109944942,0.0785967025521343,8.931034482758621,,,,,,,
taitron components inc,TAIT,2018-04-01,2018-06-30,12064000.0,2.1642645196244112,0.07193883225873582,0.09565217391304348,7.282131661442007,,,,,,,
taitron components inc,TAIT,2018-01-01,2018-03-31,11776000.0,2.113861680279498,0.010949860945741284,0.09303758471965495,12.498587570621469,,,,,,,
taitron components inc,TAIT,2017-10-01,2017-12-31,11861000.0,,,0.12574629615979951,7.7097844112769485,,,,,,,
taitron components inc,TAIT,2017-07-01,2017-09-30,11957000.0,2.1579733206854477,0.03880273178450876,0.17503794673658066,4.970544918998527,,,,,,,
taitron components inc,TAIT,2017-04-01,2017-06-30,11941000.0,2.1550856755293912,0.03916368742901582,0.16914834400222656,5.147074054893837,,,,,,,
taitron components inc,TAIT,2017-01-01,2017-03-31,11833000.0,2.13945531308315,0.05424124008492732,0.17660566418481666,6.4785435630689205,,,,,,,
taitron components inc,TAIT,2016-10-01,2016-12-31,11687000.0,1368.82173811197,-371.6327008667135,0.16735537190082644,7.066716085989622,,,,,,,
taitron components inc,TAIT,2016-07-01,2016-09-30,14987000.0,2.7097115505093523,0.0027120620042463657,0.13048271060570898,10.140112089671737,,,,,,,
taitron components inc,TAIT,2016-04-01,2016-06-30,15086000.0,2.7276111597373784,0.015006743090163225,0.13995781312353914,8.838487972508592,,,,,,,
taitron components inc,TAIT,2016-01-01,2016-03-31,15144000.0,,,0.13199977073422364,9.722947045280122,,,,,,,
taitron components inc,TAIT,2015-10-01,2015-12-31,15206000.0,,,0.15751565183666685,7.1394465545306565,,,,,,,
taitron components inc,TAIT,2015-07-01,2015-09-30,15370000.0,,,0.14890082507337063,7.716400236826525,,,,,,,
taitron components inc,TAIT,2015-04-01,2015-06-30,15401000.0,,,0.14257877741899566,8.251761691223575,,,,,,,
taitron components inc,TAIT,2015-01-01,2015-03-31,15460000.0,,,0.12427778407159851,17.981268011527376,,,,,,,
taitron components inc,TAIT,2014-10-01,2014-12-31,15790000.0,,,0.1191565324110231,11.106514084507042,,,,,,,
taitron components inc,TAIT,2014-07-01,2014-09-30,16335000.0,,,0.11535337124289195,11.507964601769912,,,,,,,
taitron components inc,TAIT,2014-04-01,2014-06-30,16490000.0,,,0.13388308209464783,12.84747378455672,,,,,,,
taitron components inc,TAIT,2014-01-01,2014-03-31,16624000.0,,,0.11536824180502342,19.600299401197606,,,,,,,
taitron components inc,TAIT,2013-10-01,2013-12-31,16877000.0,,,0.12249779025633027,15.76518691588785,,,,,,,
taitron components inc,TAIT,2013-07-01,2013-09-30,17188000.0,,,0.13086569579288027,12.714154411764707,,,,,,,
taitron components inc,TAIT,2013-04-01,2013-06-30,17357000.0,,,0.12466589338847144,14.083333333333334,,,,,,,
taitron components inc,TAIT,2013-01-01,2013-03-31,17585000.0,,,0.12582024259296082,13.80407371483996,,,,,,,
taitron components inc,TAIT,2012-10-01,2012-12-31,17811000.0,,,0.12721125104130934,5.577812018489984,,,,,,,
taitron components inc,TAIT,2012-07-01,2012-09-30,17798000.0,,,0.13936170212765958,5.12734212352533,,,,,,,
taitron components inc,TAIT,2012-04-01,2012-06-30,17959000.0,,,0.1243356575162124,13.86,,,,,,,
taitron components inc,TAIT,2012-01-01,2012-03-31,18267000.0,,,0.11346760495025479,17.435560859188545,,,,,,,
taitron components inc,TAIT,2011-10-01,2011-12-31,18533000.0,,,0.12406654693260233,13.744,,,,,,,
taitron components inc,TAIT,2011-07-01,2011-09-30,18686000.0,,,0.13730378578024008,10.863636363636363,,,,,,,
taitron components inc,TAIT,2011-04-01,2011-06-30,18843000.0,,,0.12484324926849659,13.429292929292929,,,,,,,
taitron components inc,TAIT,2011-01-01,2011-03-30,,,,,,,,,,,,
