company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
trustco bank corp n y,TRST,2023-10-01,2023-12-31,645285000.0,,,0.8953850488741351,1.1168379472690646,,27.21,27.11,27.29,31.49,31.0,31.05
trustco bank corp n y,TRST,2023-07-01,2023-09-30,623926000.0,32.79678301093356,0.7716568544995794,0.896944947209404,1.1148956277765132,-0.07558334990990487,28.92,28.44,28.61,27.21,27.11,27.29
trustco bank corp n y,TRST,2023-04-01,2023-06-30,621389000.0,32.66342514718251,0.8605971404541631,0.897724267050715,-9.777490428700862,0.030801148826554978,31.84,31.515,31.94,28.54,28.495,28.62
trustco bank corp n y,TRST,2023-01-01,2023-03-31,614703000.0,32.31197434819176,0.9328216989066442,0.8983257490148546,-9.835331859450823,0.0341834918243407,37.49,37.365,37.59,32.39,31.47,31.72
trustco bank corp n y,TRST,2022-10-01,2022-12-31,599987000.0,-21428.10714285714,-746.7857142857143,0.9000030333070447,1.1111073663002204,111.35628984466193,31.82,31.41,31.42,37.49,37.365,37.59
trustco bank corp n y,TRST,2022-07-01,2022-09-30,589006000.0,30.820260582910365,1.0132384490607504,0.9031159501103216,1.1072775316146761,-0.25132203468082864,30.51,30.455,30.84,32.26,31.68,31.91
trustco bank corp n y,TRST,2022-04-01,2022-06-30,594632000.0,31.04641570511147,0.933065316138464,0.9045042623078243,-10.471671554844004,-0.1033020758934766,32.02,31.78,31.93,31.13,30.77,30.8
trustco bank corp n y,TRST,2022-01-01,2022-03-31,592895000.0,30.865479723046487,0.8896350668957259,0.9056181173990624,-10.595253797046695,0.12201565317535613,33.38,33.14,33.18,32.85,31.92,32.1
trustco bank corp n y,TRST,2021-10-01,2021-12-31,601128000.0,-46240.61538461538,-1249.3076923076924,0.9029898269132514,1.10743218826547,-81.63863163863164,32.56,31.9,31.97,33.38,33.14,33.18
trustco bank corp n y,TRST,2021-07-01,2021-09-30,586683000.0,30.478622266091744,0.8707984830380799,0.9043685771499967,1.1057438584955857,-0.007098567602104016,34.17,34.17,34.38,32.07,31.94,32.38
trustco bank corp n y,TRST,2021-04-01,2021-06-30,578593000.0,30.00845391836523,0.748560759296717,0.9054984681289483,-10.581839047482427,0.0808584750824395,37.2,36.6,36.85,34.32,34.15,34.27
trustco bank corp n y,TRST,2021-01-01,2021-03-31,571031000.0,5.921408202416135,0.14603619017991393,0.9055594044578503,-10.588666814936492,0.04557576538135521,32.85,32.7,33.35,37.7,37.25,37.3
trustco bank corp n y,TRST,2020-10-01,2020-12-31,568161000.0,-22726.44,-552.56,0.9037308304116238,1.106524162227074,-230.73509433962263,26.5,26.1,26.1,32.8,32.55,32.9
trustco bank corp n y,TRST,2020-07-01,2020-09-30,560528000.0,5.812616013190505,0.14591478021009405,0.9022777304251848,1.108306196949763,0.014571970182907285,30.85,30.8,31.65,26.55,26.0,26.4
trustco bank corp n y,TRST,2020-04-01,2020-06-30,553421000.0,5.7389171756556365,0.11670278846452978,0.9025152884365218,-10.258018759678437,0.1512068331979817,27.85,26.35,27.05,30.0,30.0,31.05
trustco bank corp n y,TRST,2020-01-01,2020-03-31,548185000.0,5.667342107167595,0.13763478656424782,0.8957158431981451,-9.589184308217117,0.005018206875441941,43.55,43.35,43.35,26.8,25.8505,28.1
trustco bank corp n y,TRST,2019-10-01,2019-12-31,538257000.0,22427.375,579.4583333333334,0.8969117399769637,1.114936905637654,-20.464880227365004,41.05,40.7,40.75,43.55,43.3,43.6
trustco bank corp n y,TRST,2019-07-01,2019-09-30,526163000.0,5.4295664915847155,0.15177438162361853,0.8992501439453254,1.1120376312787115,-0.005972187799323616,39.1,39.0,39.6,41.2,40.7,41.025
trustco bank corp n y,TRST,2019-04-01,2019-06-30,515630000.0,5.3255458470182395,0.15148416682159013,0.9013652353725464,-10.138413203265907,,,,,39.1,39.0,39.6
trustco bank corp n y,TRST,2019-01-01,2019-03-31,501718000.0,5.186037376994956,0.15047961630695444,0.902698454964305,-10.277329097221946,,,,,,,
trustco bank corp n y,TRST,2018-10-01,2018-12-31,489871000.0,9420.596153846154,308.3269230769231,0.9012140362212444,1.1096143200265292,,,,,,,
trustco bank corp n y,TRST,2018-07-01,2018-09-30,477118000.0,4.941411630676816,0.15741287349179225,0.9023370071055283,1.1082333896597572,,,,,,,
trustco bank corp n y,TRST,2018-04-01,2018-06-30,470815000.0,4.881491772854047,0.159721718213771,0.904704103321102,1.1053337730304018,,,,,,,
trustco bank corp n y,TRST,2018-01-01,2018-03-31,462097000.0,4.795875582493539,0.15368488786026382,0.9062980831233256,1.103389733048706,,,,,,,
trustco bank corp n y,TRST,2017-10-01,2017-12-31,458308000.0,4020.245614035088,64.57894736842105,0.906620364106986,1.1029975054498056,,,,,,,
trustco bank corp n y,TRST,2017-07-01,2017-09-30,454928000.0,4.733803666937212,0.13106907244386173,0.9065909009244858,1.1030333516255915,,,,,,,
trustco bank corp n y,TRST,2017-04-01,2017-06-30,447366000.0,4.659916877597575,0.12749601574950784,0.9090808583386749,1.1000121615446592,,,,,,,
trustco bank corp n y,TRST,2017-01-01,2017-03-31,438700000.0,4.575558777208774,0.11417515827240585,0.9102265046473694,1.0986276436626174,,,,,,,
trustco bank corp n y,TRST,2016-10-01,2016-12-31,432686000.0,6978.806451612903,174.16129032258064,0.9111309836538979,1.0975370368700577,,,,,,,
trustco bank corp n y,TRST,2016-07-01,2016-09-30,435608000.0,4.556426053575724,0.11432695626706275,0.9094906156415877,1.0995165676278733,,,,,,,
trustco bank corp n y,TRST,2016-04-01,2016-06-30,430265000.0,4.506006053180014,0.10958559803952371,0.9109350551334706,1.0977731006888076,,,,,,,
trustco bank corp n y,TRST,2016-01-01,2016-03-31,423025000.0,4.435851727573009,0.10914905887904368,0.9111900626083553,1.0974658757113955,,,,,,,
trustco bank corp n y,TRST,2015-10-01,2015-12-31,413310000.0,7948.2692307692305,195.76923076923077,0.9127115737471151,1.0956363749114348,,,,,,,
