company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
texas instruments inc,TXN,2023-10-01,2023-12-31,16897000000.0,,,0.4776493137133671,4.554819277108434,,160.84,158.31,159.01,171.54,169.92,170.46
texas instruments inc,TXN,2023-07-01,2023-09-30,16631000000.0,18.316079295154186,1.8722466960352422,0.47433466085087556,5.692684766214178,-0.006870946387901618,178.88,178.326,180.02,160.84,158.31,159.01
texas instruments inc,TXN,2023-04-01,2023-06-30,15940000000.0,17.555066079295155,1.8865638766519823,0.4847926565176638,5.722611582441903,-0.00031120922979545893,184.02,183.12,186.01,175.93,174.41,176.79
texas instruments inc,TXN,2023-01-01,2023-03-31,15243000000.0,16.805953693495038,1.8732083792723264,0.47833675564681727,5.173209366391185,0.0016097871827666825,163.69,162.21,165.22,182.0,181.86,184.24
texas instruments inc,TXN,2022-10-01,2022-12-31,14577000000.0,-4859.0,-650.6666666666666,0.46421876722902194,4.69715242881072,2.404274265360641,157.22,154.68,154.78,163.69,162.21,165.22
texas instruments inc,TXN,2022-07-01,2022-09-30,14507000000.0,15.889375684556407,2.501642935377875,0.4432590090954446,4.922087205146533,-0.009236954973866814,152.49,150.885,153.65,160.82,156.125,158.45
texas instruments inc,TXN,2022-04-01,2022-06-30,14092000000.0,15.317391304347826,2.4793478260869564,0.43000444929822434,5.094921875,-0.015576647970066953,188.13,183.18,183.48,152.44,150.94,152.78
texas instruments inc,TXN,2022-01-01,2022-03-31,14017000000.0,15.1863488624052,2.3748645720476707,0.445442316822282,5.5419303797468356,-0.009093333876738554,190.87,189.01,189.41,190.0,186.71,187.45
texas instruments inc,TXN,2021-10-01,2021-12-31,13333000000.0,,,0.4596774193548387,5.3269754768392374,,194.48,192.1,192.21,190.87,189.01,189.41
texas instruments inc,TXN,2021-07-01,2021-09-30,12151000000.0,13.164680390032503,2.0996749729144097,0.47789283719331416,5.6299212598425195,0.002640578203476439,192.84,191.49,192.3,194.53,192.105,193.07
texas instruments inc,TXN,2021-04-01,2021-06-30,11153000000.0,12.083423618634887,2.084507042253521,0.45867106732029317,5.078146297137665,-0.006011961551166933,187.6,186.53,188.99,191.52,190.925,192.88
texas instruments inc,TXN,2021-01-01,2021-03-31,10166000000.0,11.026030368763557,1.8926247288503253,0.4823565354651459,6.120588235294117,-0.009362962915608005,162.87,161.89,164.13,188.51,184.62,185.94
texas instruments inc,TXN,2020-10-01,2020-12-31,9187000000.0,,,0.5252441734277299,4.284100418410042,,141.16,140.515,142.79,161.89,161.76,162.7
