company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
wynn resorts ltd,WYNN,2023-10-01,2023-12-31,-1100934000.0,3796.3241379310343,-2514.3310344827587,1.078659364029853,1.9276117564829802,7.129839910127598,92.545,91.78,92.41,91.62,90.9,91.11
wynn resorts ltd,WYNN,2023-07-01,2023-09-30,-1709049000.0,-15.151546583685736,-1.0344069434470775,1.1281505363459818,2.66253994296033,-0.0429314774056528,105.12,104.1,105.61,92.545,91.78,92.41
wynn resorts ltd,WYNN,2023-04-01,2023-06-30,-1507164000.0,-13.350849064124937,0.9317471144221314,1.1093440462877637,3.2329955789062343,-0.011314390558004234,109.46,109.46,111.91,104.7,103.72,104.5
wynn resorts ltd,WYNN,2023-01-01,2023-03-31,-1616370000.0,-14.335494399262103,0.10937181272338652,1.1177767069869684,3.10251182604319,0.013386164211875197,80.17,80.1,82.47,110.27,108.1,109.0
wynn resorts ltd,WYNN,2022-10-01,2022-12-31,-1640365000.0,3745.1255707762557,-73.99771689497717,1.1222775081810796,2.2245422521409965,1.1814711757990868,64.0,62.83,63.03,80.17,80.1,82.47
wynn resorts ltd,WYNN,2022-07-01,2022-09-30,-1596963000.0,-14.168903991695428,-1.2677958281947315,1.1355731579302584,1.4210127483431558,,56.84,55.05,56.98,65.915,63.421,64.35
wynn resorts ltd,WYNN,2022-03-31,2022-06-30,,,,,,,81.35,80.3,81.17,58.66,56.97,58.0
wynn resorts ltd,WYNN,2022-01-01,2022-03-31,-1033259000.0,-8.982517604103277,-1.5937059897418064,1.0848372362637948,2.3093924518690123,0.0011161369211728504,84.68,84.5356,86.15,81.35,80.3,81.17
wynn resorts ltd,WYNN,2021-10-01,2021-12-31,-836215000.0,-2459.455882352941,-521.1470588235294,1.0667326319908998,2.2330628629996583,5.8671918767507005,84.0,82.82,84.75,84.68,84.5356,86.15
wynn resorts ltd,WYNN,2021-07-01,2021-09-30,-592589000.0,-5.168453185643888,-1.44999345863678,1.0470021681203423,2.219729331443068,-0.015987401938604935,123.14,121.96,122.3,84.84,83.21,83.63
wynn resorts ltd,WYNN,2021-04-01,2021-06-30,-353839000.0,-3.089082893186084,-1.146876773320529,1.0271710129992593,1.2666298178861302,-0.0031001052097900162,125.06,123.75,125.37,120.95,120.83,121.64
wynn resorts ltd,WYNN,2021-01-01,2021-03-31,-202939000.0,-1.8279499189335255,-2.5308773194019096,1.0154128025928024,2.372296299973282,-0.022799222097954323,112.77,110.06,112.83,123.75,123.05,125.45
wynn resorts ltd,WYNN,2020-10-01,2020-12-31,-737317000.0,-29492.68,-10780.08,1.0531608566595578,2.0273120993913514,126.08618293021962,71.94,71.18,71.81,114.18,112.54,113.4
wynn resorts ltd,WYNN,2020-07-01,2020-09-30,-546631000.0,-5.119082625511552,-7.099837989193037,1.0391369986473944,2.2913939716942027,7.497430020372478e-05,73.57,72.12,74.49,72.98,70.55,70.98
wynn resorts ltd,WYNN,2020-04-01,2020-06-30,274198000.0,2.569490127725769,-5.974567297330222,0.9815797402536331,2.265624908080911,0.21577263638666666,60.71,59.1,60.19,69.22,67.54,74.22
wynn resorts ltd,WYNN,2020-01-01,2020-03-31,992480000.0,9.304819853182453,-3.769226442158949,0.930466203897376,1.812020880320155,0.05666011785598229,138.66,138.25,138.87,61.76,58.05,61.1
wynn resorts ltd,WYNN,2019-10-01,2019-12-31,1541472000.0,-33510.260869565216,1585.695652173913,0.8888731329139681,1.4404962670534434,-145.92121662432288,108.84,108.0,108.72,140.25,138.02,139.38
wynn resorts ltd,WYNN,2019-07-01,2019-09-30,1665879000.0,15.61171244623127,-0.03276261163747458,0.8745295079678043,1.093695347661398,0.011701582620624975,123.6,122.39,123.99,111.27,107.5,108.245
wynn resorts ltd,WYNN,2019-04-01,2019-06-30,1850939000.0,17.318565440323365,0.8846794415958681,0.8594074836573853,0.9959374246968129,,,,,123.6,122.39,123.99
wynn resorts ltd,WYNN,2019-01-01,2019-03-31,1915243000.0,17.93433028691288,0.982021125177916,0.8544783856398799,1.193775593339475,,,,,,,
wynn resorts ltd,WYNN,2018-10-01,2018-12-31,1814789000.0,4944.929155313352,1266.6648501362397,0.8626852253082924,1.4034471747226316,,,,,,,
wynn resorts ltd,WYNN,2018-07-01,2018-09-30,1540283000.0,14.253433150725495,1.444653168492745,0.8755577362164917,1.141112774463284,,,,,,,
wynn resorts ltd,WYNN,2018-04-01,2018-06-30,1819595000.0,16.880612661422,1.4449680866854684,0.8460130853693749,1.0810839588990044,,,,,,,
wynn resorts ltd,WYNN,2018-01-01,2018-03-31,771388000.0,7.520600565467485,-1.991878716973774,0.9368500194921496,1.1664626717975863,,,,,,,
wynn resorts ltd,WYNN,2017-10-01,2017-12-31,1078350000.0,9714.864864864865,4429.5675675675675,0.9149682862894434,1.7737148304140828,,,,,,,
wynn resorts ltd,WYNN,2017-07-01,2017-09-30,398210000.0,3.897409295997964,0.7807052743875583,0.9679585231808873,1.7247584694513927,,,,,,,
wynn resorts ltd,WYNN,2017-04-01,2017-06-30,357706000.0,3.5088479949776348,0.7348740484972142,0.9698314036410364,1.9742653624337543,,,,,,,
wynn resorts ltd,WYNN,2017-01-01,2017-03-31,352659000.0,3.465833931186304,0.9907914262970133,0.9701882441970635,2.0431450035473455,,,,,,,
wynn resorts ltd,WYNN,2016-10-01,2016-12-31,257881000.0,11721.863636363636,5172.727272727273,0.9784264215245722,2.1113922817254243,,,,,,,
wynn resorts ltd,WYNN,2016-07-01,2016-09-30,-64432000.0,-0.6351797632074448,-0.1718964106507359,1.005897156346399,1.4383277283310145,,,,,,,
wynn resorts ltd,WYNN,2016-04-01,2016-06-30,1695000.0,0.016709714308247404,0.6939312683609693,0.9998402503366759,2.4341697103747517,,,,,,,
wynn resorts ltd,WYNN,2016-01-01,2016-03-31,80935000.0,0.7982385198043238,0.7418829887959603,0.992398014006402,2.684370544066861,,,,,,,
wynn resorts ltd,WYNN,2015-10-01,2015-12-31,21845000.0,1820.4166666666667,7268.416666666667,0.9979239248910334,2.2571099407208437,,,,,,,
wynn resorts ltd,WYNN,2015-07-01,2015-09-30,-60782000.0,-0.600844198851336,0.9510582141339053,1.0060896576909455,2.108933201491217,,,,,,,
wynn resorts ltd,WYNN,2015-04-01,2015-06-30,-110660000.0,-1.09394307858082,0.5581422936623269,1.0119206613521732,1.701344644647092,,,,,,,
wynn resorts ltd,WYNN,2015-01-01,2015-03-31,-147152000.0,-1.4550056854699165,-0.441004597814802,1.0160792335396343,1.9100221874519059,,,,,,,
wynn resorts ltd,WYNN,2014-10-01,2014-12-31,211091000.0,7538.964285714285,3905.214285714286,0.9767081278196807,2.118797713920185,,,,,,,
wynn resorts ltd,WYNN,2014-07-01,2014-09-30,293415000.0,2.906278786438059,1.8958785249457701,0.9680434960893404,2.5814833163729847,,,,,,,
wynn resorts ltd,WYNN,2014-04-01,2014-06-30,288165000.0,2.855521973938463,2.020571768319873,0.968233476369869,2.815342776997506,,,,,,,
wynn resorts ltd,WYNN,2014-01-01,2014-03-31,320742000.0,3.1812699609212274,2.250461208863145,0.9648047600294122,3.058318762073567,,,,,,,
wynn resorts ltd,WYNN,2013-10-01,2013-12-31,132351000.0,1890.7285714285715,3055.4857142857145,0.9842007250779811,2.0396734119573985,,,,,,,
wynn resorts ltd,WYNN,2013-07-01,2013-09-30,241339000.0,2.3969707503600337,1.8078164572677162,0.9700929212598152,1.6996193372264101,,,,,,,
wynn resorts ltd,WYNN,2013-04-01,2013-06-30,177564000.0,1.7670872974801959,1.2915986624736275,0.9771573065319806,1.8203617719897898,,,,,,,
wynn resorts ltd,WYNN,2013-01-01,2013-03-31,274676000.0,2.7402655705976833,2.024831150174087,0.9635511282886802,2.0288156984477497,,,,,,,
wynn resorts ltd,WYNN,2012-10-01,2012-12-31,103932000.0,-102.699604743083,-110.05237154150197,0.9857169439438287,1.9466349413148756,,,,,,,
wynn resorts ltd,WYNN,2012-07-01,2012-09-30,719300000.0,7.202290955332379,1.1217971182825845,0.9095928258457181,2.3568226139452553,,,,,,,
wynn resorts ltd,WYNN,2012-04-01,2012-06-30,595472000.0,5.9677296506383914,1.383656370888537,0.9203977332806993,1.8478902776863657,,,,,,,
wynn resorts ltd,WYNN,2012-01-01,2012-03-31,440992000.0,3.912833617262919,1.2471961953435549,0.9404311753493518,1.7203726486067206,,,,,,,
wynn resorts ltd,WYNN,2011-10-01,2011-12-31,2223454000.0,31763.628571428573,2721.042857142857,0.6777367506264226,1.0927651429558838,,,,,,,
wynn resorts ltd,WYNN,2011-07-01,2011-09-30,2861318000.0,23.04243976291715,1.0232492591160933,0.6148434494453743,1.6632987794897556,,,,,,,
wynn resorts ltd,WYNN,2011-04-01,2011-06-30,2737735000.0,22.08385093167702,0.9843591191417278,0.6148219004934359,1.7879216162990579,,,,,,,
wynn resorts ltd,WYNN,2011-01-01,2011-03-31,2615904000.0,21.137422529634687,1.4043973270198857,0.6143535902919683,2.018792761426663,,,,,,,
