company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
xerox holdings corp,XRX,2023-10-01,2023-12-31,2772000000.0,-355.475763016158,7.822518594511413,0.7230215827338129,1.1432169845268083,3.0677799957996243,16.01,15.68,15.69,18.61,18.13,18.33
xerox holdings corp,XRX,2023-07-01,2023-09-30,3022000000.0,19.232237863706946,0.28638342285466994,0.7106472615855994,1.1157684630738522,-0.039801939451968624,15.03,14.79,14.89,16.01,15.68,15.69
xerox holdings corp,XRX,2023-04-01,2023-06-30,3616000000.0,23.030526912469984,-0.4076199453534511,0.6578673479042483,1.1495422177009156,-0.09403983638607302,14.9,14.8201,15.4,14.09,14.05,14.85
xerox holdings corp,XRX,2023-01-01,2023-03-31,3691000000.0,23.56042665373003,0.42767504356540553,0.6658518920876335,1.264327891629038,-0.22463559935569172,14.35,14.2,14.6,14.85,14.66,14.84
xerox holdings corp,XRX,2022-10-01,2022-12-31,3577000000.0,17280.193236714975,570.0483091787439,0.6901152213462705,1.2333333333333334,-24.100632731536937,13.43,13.055,13.08,14.35,14.2,14.6
xerox holdings corp,XRX,2022-07-01,2022-09-30,3478000000.0,22.338259568264,-2.4855970249908474,0.695446584938704,1.1651211486688604,-0.07295597454779706,14.79,14.545,14.85,13.86,13.13,13.43
xerox holdings corp,XRX,2022-04-01,2022-06-30,4106000000.0,26.46130050911903,-0.045111812850422116,0.6653626731866341,1.2011713030746705,-0.13939311483939956,20.25,20.13,20.17,15.49,14.885,15.07
xerox holdings corp,XRX,2022-01-01,2022-03-31,4413000000.0,28.22296977526509,-0.3837249459587368,0.6626662589818071,1.211461926240382,-0.04121613101777089,23.12,22.8,22.82,20.57,20.375,20.46
xerox holdings corp,XRX,2021-10-01,2021-12-31,4667000000.0,-1065.2818991097922,154.75918740013697,0.6470543749527339,1.6617179215270415,5.756565212308138,20.5,20.08,20.17,23.12,22.8,22.82
xerox holdings corp,XRX,2021-07-01,2021-09-30,5419000000.0,30.204896102737894,0.47935432087755286,0.6151551736382359,1.8807471264367817,-0.011032651583260333,23.24,23.235,23.49,20.85,20.39,20.43
xerox holdings corp,XRX,2021-04-01,2021-06-30,5509000000.0,29.45847526054896,0.4705655877524611,0.6095676824946846,1.9230769230769231,-0.09390123783435318,24.43,24.03,24.27,23.68,23.3,23.34
xerox holdings corp,XRX,2021-01-01,2021-03-31,5643000000.0,28.793019873969946,0.17858509579814782,0.6046104260089686,2.049149338374291,-0.071227969978441,22.78,22.67,23.19,23.99,23.99,24.5
xerox holdings corp,XRX,2020-10-01,2020-12-31,5810000000.0,-1827.0440251572327,-23.270440251572328,0.6058612034461706,2.3337368845843423,14.278429372768995,18.5,18.5,18.77,22.66,22.61,22.89
xerox holdings corp,XRX,2020-07-01,2020-09-30,5666000000.0,26.831589864042545,0.40725674696570047,0.6309275664408546,1.9660354673880374,0.2652896135719588,15.28,15.1,15.29,18.25,18.2345,18.46
xerox holdings corp,XRX,2020-04-01,2020-06-30,5695000000.0,26.743492573339157,0.11270304157333447,0.5968141592920354,1.4220522289633342,-0.09825068303637143,17.78,17.63,18.94,15.04,14.76,15.3
xerox holdings corp,XRX,2020-01-01,2020-03-31,5614000000.0,26.38777908343126,-0.0282021151586369,0.6202651515151515,1.7720130447672695,-0.007667785524371098,36.78,36.73,36.87,17.75,16.94,17.95
xerox holdings corp,XRX,2019-10-01,2019-12-31,5808000000.0,-2538.4615384615386,-357.5174825174825,0.6140094370970958,1.787481804949054,12.23891278185454,30.39,29.89,29.91,37.13,36.69,36.9
xerox holdings corp,XRX,2019-07-01,2019-09-30,5100000000.0,23.1535077564251,1.0033186694450875,0.6521145975443383,1.1062962018863114,-0.017549852623767532,35.44,35.07,35.41,30.37,30.24,30.33
xerox holdings corp,XRX,2019-04-01,2019-06-30,5206000000.0,23.282022843751957,0.8094594957201506,0.6454644511032416,1.3340680100755669,,,,,35.44,35.07,35.41
xerox corp,XRX,2019-01-01,2019-03-31,5277000000.0,23.08732231686989,0.5818862740465597,0.6434218528278938,1.4725162171389552,,,,,,,
xerox holdings corp,XRX,2019-01-01,2019-03-30,,,54.64256368118324,,,,,,,,,
xerox corp,XRX,2018-10-01,2018-12-31,5253000000.0,,,0.6468334005647438,1.4441710243002153,,,,,,,
xerox corp,XRX,2018-07-01,2018-09-30,5436000000.0,,,0.6459323910636358,1.8165204678362572,,,,,,,
xerox corp,XRX,2018-04-01,2018-06-30,5622000000.0,,,0.6385960401131396,1.8445896877269425,,,,,,,
xerox corp,XRX,2018-01-01,2018-03-31,5796000000.0,,,0.6416692426584235,1.708756345177665,,,,,,,
xerox corp,XRX,2017-10-01,2017-12-31,5507000000.0,67158.53658536586,-2487.8048780487807,0.6546469334002257,1.9080627508208683,,,,,,,
