company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
alcoa corp,AA,2023-10-01,2023-12-31,5845000000.0,,,0.5870717061109149,1.453795379537954,,29.07,28.97,29.06,34.31,33.93,34.0
alcoa corp,AA,2023-07-01,2023-09-30,6092000000.0,34.2247191011236,-0.9438202247191011,0.5622619817489402,1.6634908536585367,0.005784913606447369,33.99,33.315,33.93,29.07,28.97,29.06
alcoa corp,AA,2023-04-01,2023-06-30,6458000000.0,36.28089887640449,-0.6797752808988764,0.5428935447338619,1.7989214175654853,-0.003212567564311587,41.97,41.6,42.56,33.5,33.08,33.76
alcoa corp,AA,2023-01-01,2023-03-31,6296000000.0,35.37078651685393,-1.303370786516854,0.5618345048368014,1.7759425493716336,0.0048841360817995115,46.01,44.69,45.47,41.6,41.38,41.76
alcoa corp,AA,2022-10-01,2022-12-31,6589000000.0,-6589.0,395.0,0.5534697750067769,1.7476697736351532,0.7181844297615627,34.81,33.55,33.66,46.01,44.69,45.47
alcoa corp,AA,2022-07-01,2022-09-30,6892000000.0,38.502793296089386,-4.167597765363128,0.5369835404769903,1.8111035883547733,-0.022380241513049497,46.18,44.27,45.58,37.15,34.27,35.43
alcoa corp,AA,2022-04-01,2022-06-30,7292000000.0,40.065934065934066,3.7032967032967035,0.5358074988859889,1.811804697156984,-0.020918320252889904,91.67,89.8006,90.03,49.74,46.88,47.62
alcoa corp,AA,2022-01-01,2022-03-31,6257000000.0,34.005434782608695,3.005434782608696,0.6086439829872404,1.6151182919792268,-0.019032666977503207,59.68,59.14,59.21,92.6,90.96,92.19
alcoa corp,AA,2021-10-01,2021-12-31,6284000000.0,-6284.0,392.0,0.5817637271214642,1.5594166925224946,3.835397522972433,50.06,48.93,48.94,59.68,59.14,59.21
alcoa corp,AA,2021-07-01,2021-09-30,5461000000.0,29.203208556149733,1.8021390374331552,0.6153412692822428,1.4629566404916354,-0.07834512103961819,37.2,36.68,36.84,52.075,50.1606,50.58
alcoa corp,AA,2021-04-01,2021-06-30,5418000000.0,28.97326203208556,1.6524064171122994,0.6247402687352819,1.5728191688506177,-0.13488137111918178,33.66,32.11,32.49,36.55,36.54,37.53
alcoa corp,AA,2021-01-01,2021-03-31,4873000000.0,26.198924731182796,0.9408602150537635,0.6736320407206483,1.5184725240608508,0.10004675081813932,23.0,22.4,23.05,32.15,31.34,32.97
alcoa corp,AA,2020-10-01,2020-12-31,5016000000.0,,,0.6624495289367429,1.6370880115900037,,11.68,11.56,11.63,22.07,21.98,22.95
alcoa corp,AA,2020-07-01,2020-09-30,5019000000.0,26.983870967741936,-0.26344086021505375,0.6477894736842106,1.7598784194528876,0.3432131095504503,10.84,10.745,11.24,12.1799,11.55,11.67
alcoa corp,AA,2020-04-01,2020-06-30,5324000000.0,28.623655913978496,-1.0591397849462365,0.5996992481203007,1.4185631414547077,-0.06196760229018293,6.16,6.06,6.16,11.04,10.7,10.99
