company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
american airlines group inc.,AAL,2023-10-01,2023-12-31,-5202000000.0,-14021.563342318059,51.21293800539083,1.0824954803514224,0.6151754147402774,-168.515367193743,13.02,12.65,12.81,13.95,13.69,13.74
american airlines group inc.,AAL,2023-07-01,2023-09-30,-5136000000.0,-7.851782320953832,-0.8331817299298752,1.0781604297606184,0.6853158326497129,-0.10646201407557583,17.72,17.6715,17.94,13.02,12.65,12.81
american airlines group inc.,AAL,2023-04-01,2023-06-30,62875000000.0,96.19768605359225,2.047117358882011,0.0651947665774606,0.7493008718539234,-0.06482269168525995,14.61,14.56,14.75,17.64,17.53,17.6
american airlines group inc.,AAL,2023-01-01,2023-03-31,61015000000.0,93.58128834355828,0.015337423312883436,0.08641032551732399,0.7178527856852379,-0.06587148339158702,12.55,12.53,12.72,14.56,14.46,14.47
american airlines group inc.,AAL,2022-10-01,2022-12-31,-5799000000.0,-28995.0,4015.0,1.0896068978305211,0.7103181987346483,-529.2662819455894,12.13,12.01,12.04,12.55,12.53,12.72
american airlines group inc.,AAL,2022-07-01,2022-09-30,-7893000000.0,-12.132139332847617,0.7424076140587101,1.118421052631579,0.7909421939007738,-0.03074151611009152,12.6,12.25,12.68,12.53,12.09,12.25
american airlines group inc.,AAL,2022-04-01,2022-06-30,59541000000.0,91.55280419961066,0.7319180866800135,0.12392036843576652,0.813570487483531,-0.06646749921840996,18.16,17.98,18.25,13.23,12.77,13.03
american airlines group inc.,AAL,2022-01-01,2022-03-31,58461000000.0,90.00882213015183,-2.517309388871183,0.13263898161748341,0.8123113509558219,-0.0265528800381116,17.975,17.96,18.07,17.92,17.775,18.05
american airlines group inc.,AAL,2021-10-01,2021-12-31,-7340000000.0,-4636.765634870499,-588.7555274794694,1.1104307400664992,0.9121330106282227,-16.980852802037457,20.87,20.37,20.52,17.975,17.96,18.07
american airlines group inc.,AAL,2021-07-01,2021-09-30,-7437000000.0,-11.466871426721188,0.2605756717918355,1.1086692870815495,1.0135705987960715,-0.11762227119562697,21.0918,20.94,21.21,21.51,21.0,21.01
american airlines group inc.,AAL,2021-04-01,2021-06-30,64797000000.0,100.59724617813679,0.029497471756170793,0.10580426142636344,1.0523209888016356,0.028749972471901357,24.03,23.61,23.9,21.32,21.015,21.08
