company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
ameris bancorp,ABCB,2023-10-01,2023-12-31,3426747000.0,-75235.40518585198,-1447.6035743298132,0.8640379334795262,1.1573565942561659,344.14349725425,37.99,37.93,38.39,53.42,52.72,53.05
ameris bancorp,ABCB,2023-07-01,2023-09-30,3347069000.0,48.59346099682051,1.1631266423728568,0.8697528546184639,1.1497519033020844,-0.07948805109343006,34.8,34.07,34.21,37.99,37.93,38.39
ameris bancorp,ABCB,2023-04-01,2023-06-30,3284630000.0,47.61023336715466,0.9078852007537325,0.8726918091651913,-7.8549541348645056,-0.13310474235198416,36.6,35.915,36.58,34.15,34.15,34.4
ameris bancorp,ABCB,2023-01-01,2023-03-31,3253195000.0,47.030518128722605,0.8734892731162899,0.8753010151951152,-8.019311476871199,0.28935430525942546,46.99,46.74,47.14,37.32,35.92,36.11
ameris bancorp,ABCB,2022-10-01,2022-12-31,3197400000.0,-168284.2105263158,-4327.421052631579,0.8723760228498569,1.1462946869323898,-1331.4664165982888,44.9,44.63,44.71,46.99,46.74,47.14
ameris bancorp,ABCB,2022-07-01,2022-09-30,3119070000.0,45.12216998191682,1.3389511754068717,0.8690217970301664,1.1507191228314921,0.025772995445123965,39.53,39.365,40.18,45.13,44.47,44.92
ameris bancorp,ABCB,2022-04-01,2022-06-30,3073376000.0,44.45406155982411,1.3027366350381857,0.8702530916134141,-7.707312740126818,0.02597971148653861,45.0,43.68,43.88,40.85,39.65,40.2
ameris bancorp,ABCB,2022-01-01,2022-03-31,3007159000.0,43.364563204799126,1.1781213047616301,0.872363254241501,-7.834734378860579,-0.12074593010579106,50.35,49.62,49.71,45.91,44.6,45.0
ameris bancorp,ABCB,2021-10-01,2021-12-31,2966451000.0,-228188.53846153847,-6303.384615384615,0.8756638826344905,1.1419906882438,-768.1218496603112,52.65,51.8,51.88,50.35,49.62,49.71
ameris bancorp,ABCB,2021-07-01,2021-09-30,2900770000.0,41.773761520737324,1.1762672811059909,0.8712665047451662,1.1477544408670761,0.15935152812669473,50.39,50.26,50.63,51.78,51.78,53.29
ameris bancorp,ABCB,2021-04-01,2021-06-30,2837004000.0,40.82196353799445,1.2709469473502453,0.8703790860399752,-7.714804420437899,0.10016009472865336,53.02,52.28,52.51,51.85,50.52,50.68
ameris bancorp,ABCB,2021-01-01,2021-03-31,2757596000.0,39.7393935900392,1.800812773806779,0.8713035116653763,-7.770219785639376,0.34416354148746364,37.97,37.55,38.07,52.13,52.13,53.24
ameris bancorp,ABCB,2020-10-01,2020-12-31,2647088000.0,203622.15384615384,7252.692307692308,0.8704860862059399,1.1487834393293446,1457.1457139048127,23.08,22.53,22.78,37.28,37.04,37.96
ameris bancorp,ABCB,2020-07-01,2020-09-30,2564683000.0,37.04529762678569,1.6776444078519739,0.8709518854700078,1.1481690512218727,-0.05159431545565431,23.26,23.01,23.59,22.47,22.0736,22.76
ameris bancorp,ABCB,2020-04-01,2020-06-30,2460130000.0,35.55512197941959,0.46589201063706787,0.8762051060279946,-8.077877591834579,1.0030883932921077,23.19,23.13,23.76,21.65,21.4292,23.4
ameris bancorp,ABCB,2020-01-01,2020-03-31,2437150000.0,35.19451825323475,0.2790261090573013,0.8662710317973318,-7.477811378044027,-0.022359040459860233,42.53,42.5,42.54,22.54,21.45,23.35
ameris bancorp,ABCB,2019-10-01,2019-12-31,2469582000.0,667.4545945945946,16.553513513513515,0.8646253909603461,1.1565702447036539,2.6901592186245655,40.4,40.18,40.24,42.98,42.59,42.64
ameris bancorp,ABCB,2019-07-01,2019-09-30,2420723000.0,34.89481346941129,0.30825116761805915,0.8637308458993294,1.1577680764182796,0.2427820626909956,39.17,38.51,39.19,39.67,39.66,40.26
ameris bancorp,ABCB,2019-04-01,2019-06-30,1537121000.0,32.489716979138045,0.8223034812200123,0.8707143107066703,-7.734808125059771,,,,,39.17,38.51,39.19
ameris bancorp,ABCB,2019-01-01,2019-03-31,1495584000.0,31.575053836084955,0.8424819490773973,0.8716928006588726,-7.793794932280634,,,,,,,
ameris bancorp,ABCB,2018-10-01,2018-12-31,1456347000.0,991.3866575901974,29.63648740639891,0.8727360430776733,1.145821818557573,,,,,,,
ameris bancorp,ABCB,2018-07-01,2018-09-30,1404977000.0,29.56912553930338,0.8722298221614228,0.8770690578715852,1.1401610751458222,,,,,,,
ameris bancorp,ABCB,2018-04-01,2018-06-30,1371896000.0,34.791438425644145,0.23805538648813146,0.8774074572834918,1.1397213366479269,,,,,,,
ameris bancorp,ABCB,2018-01-01,2018-03-31,868944000.0,22.886822767139886,0.7021887428556378,0.8916910595615412,1.121464647735412,,,,,,,
ameris bancorp,ABCB,2017-10-01,2017-12-31,804479000.0,5829.557971014493,66.30434782608695,0.8975995146764919,1.1140825988084615,,,,,,,
ameris bancorp,ABCB,2017-07-01,2017-09-30,801921000.0,21.542538616521156,0.541517797179315,0.8951712589315827,1.1171046769235353,,,,,,,
ameris bancorp,ABCB,2017-04-01,2017-06-30,782682000.0,21.06078626590964,0.621236175766219,0.894201537796481,1.1183161264341266,,,,,,,
ameris bancorp,ABCB,2017-01-01,2017-03-31,758216000.0,21.259982054733065,0.5931191117092867,0.893131587166815,1.1196558428441572,,,,,,,
ameris bancorp,ABCB,2016-10-01,2016-12-31,646437000.0,-18.94506693447706,-0.5327115893242335,0.9062051520081671,1.1035028853940874,,,,,,,
ameris bancorp,ABCB,2016-07-01,2016-09-30,642583000.0,18.427960997992543,0.6182104961284772,0.9010420428444158,1.1098261262517706,,,,,,,
ameris bancorp,ABCB,2016-04-01,2016-06-30,625915000.0,17.969023627020356,0.5755748858840755,0.8993915092262157,1.1118628425348847,,,,,,,
ameris bancorp,ABCB,2016-01-01,2016-03-31,600828000.0,18.344772838299953,0.3760686370297997,0.9014676018499219,1.1093022066992508,,,,,,,
ameris bancorp,ABCB,2015-10-01,2015-12-31,514759000.0,3478.1013513513512,95.5945945945946,0.907896846271386,1.1014467162286878,,,,,,,
ameris bancorp,ABCB,2015-07-01,2015-09-30,502300000.0,15.601801521975462,0.48538592949215714,0.9037056917738627,1.1065549427238015,,,,,,,
ameris bancorp,ABCB,2015-03-23,2015-06-30,486770000.0,15.12459607258265,0.04064131245339299,0.9064934935207984,1.1031518782512433,,,,,,,
ameris bancorp,ABCB,2015-01-01,2015-03-31,489783000.0,16.08852609795355,0.3207305456098282,0.8820625278118637,1.133706475980455,,,,,,,
ameris bancorp,ABCB,2014-10-01,2014-12-31,366028000.0,-14.253967420726939,-0.41200939630654215,0.9093334112775159,1.0997066506058621,,,,,,,
