company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
automatic data processing inc,ADP,2023-10-01,2023-12-31,4319600000.0,10.50741911943566,2.136706397470202,0.9243097001195036,1.0092665553654332,0.057022143708802056,244.0,239.63,240.58,232.43,231.855,232.97
automatic data processing inc,ADP,2023-07-01,2023-09-30,3472800000.0,8.435268399319893,2.0874423123633714,0.929591514001411,0.9818427454661437,-0.02125780644004001,217.52,217.465,219.79,244.0,239.63,240.58
automatic data processing inc,ADP,2023-04-01,2023-06-30,3509100000.0,-7018.2,-1553.4,0.9311549704734065,0.9860408346505298,90.48071700162956,220.92,219.81,222.63,216.1,214.29,216.46
automatic data processing inc,ADP,2023-01-01,2023-03-31,3693800000.0,8.92869228909838,2.521392313270486,0.938315147507256,0.9996526706522224,0.039713044738361916,239.7,236.05,238.86,220.57,218.74,219.49
automatic data processing inc,ADP,2022-10-01,2022-12-31,2986700000.0,7.209027274921555,1.9625874969828627,0.9451508640478945,0.9856858141954171,0.07077085936983638,227.77,225.94,226.19,239.7,236.05,238.86
automatic data processing inc,ADP,2022-07-01,2022-09-30,2576500000.0,6.214423540762181,1.8789194404245055,0.9444297062204652,0.9694277208409292,-0.18695038043380663,210.33,209.18,210.04,230.81,225.327,227.75
automatic data processing inc,ADP,2022-04-01,2022-06-30,3225300000.0,-3225.3,-625.5,0.9488601228511357,0.9935857806656067,38.07182127585304,229.18,227.53,227.54,214.12,210.17,212.19
automatic data processing inc,ADP,2022-01-01,2022-03-31,4192900000.0,10.028462090408993,2.220760583592442,0.9418203060716184,1.0126341977450817,0.12249342623911509,248.25,245.36,245.56,223.68,222.6429,227.76
automatic data processing inc,ADP,2021-10-01,2021-12-31,5049600000.0,12.028585040495473,1.654121010004764,0.9145621343223479,1.0412211718686333,-0.018062602906989442,200.47,199.71,199.92,248.25,245.36,245.56
automatic data processing inc,ADP,2021-07-01,2021-09-30,5350700000.0,12.697437114380635,1.6623160892263882,0.9108026378960845,1.0478760778660718,0.13433547346720665,197.58,197.39,198.62,198.01,197.88,199.58
automatic data processing inc,ADP,2021-04-01,2021-06-30,5670100000.0,-5670.1,-538.2,0.8837439130657645,1.0694845490723144,34.51942522618414,187.9,187.05,188.47,196.96,196.17,197.62
automatic data processing inc,ADP,2021-01-01,2021-03-31,5673900000.0,13.325270079849695,1.9039455143259747,0.8957151285571712,1.0479029568398215,0.05626792779903203,174.14,173.33,176.2,192.73,187.21,187.89
automatic data processing inc,ADP,2020-10-01,2020-12-31,5900000000.0,13.804398689751988,1.5149742629854936,0.8803873826934734,1.0634513037152376,0.10562106437552483,137.95,137.77,139.49,175.6,173.32,173.81
automatic data processing inc,ADP,2020-07-01,2020-09-30,5808900000.0,13.553196453569763,1.4048063462435838,0.8629656452803839,1.076889290309809,0.03994014279459475,147.45,146.095,148.89,137.55,136.4989,137.54
automatic data processing inc,ADP,2020-04-01,2020-06-30,5752200000.0,-9587.0,-685.8333333333334,0.8531309443260012,1.0477153080666255,60.831234256926955,134.98,134.22,136.68,146.26,144.23,146.38
automatic data processing inc,ADP,2020-01-01,2020-03-31,5490700000.0,12.769069767441861,1.9090697674418604,0.8734377665189912,1.029876444936665,-0.08917935369671516,169.22,169.22,170.5,132.4,131.77,137.82
automatic data processing inc,ADP,2019-10-01,2019-12-31,5364400000.0,12.431981460023176,1.5100811123986095,0.8906550018956612,1.0207934377035912,0.15232395620949232,160.83,160.75,161.42,170.51,169.03,169.59
automatic data processing inc,ADP,2019-07-01,2019-09-30,5360700000.0,12.388953085278484,1.345967182805639,0.857861788639443,1.0105339218996674,-0.07096347740081367,164.33,163.55,165.33,163.79,158.94,160.43
automatic data processing inc,ADP,2019-04-01,2019-06-30,5399900000.0,-10799.8,-951.0,0.8710862615994671,1.0525504402700772,,,,,164.33,163.55,165.33
automatic data processing inc,ADP,2019-01-01,2019-03-31,5246200000.0,12.085233817092837,1.736235890347846,0.8911493205909997,1.044885870397794,,,,,,,
automatic data processing inc,ADP,2018-10-01,2018-12-31,4763900000.0,10.93389947211384,1.2811567592380078,0.877239005006919,1.0457373526664444,,,,,,,
automatic data processing inc,ADP,2018-07-01,2018-09-30,4678800000.0,10.711538461538462,1.1570512820512822,0.8749542316666088,1.031635172691676,,,,,,,
