company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
advanced energy industries inc,AEIS,2023-10-01,2023-12-31,1144182000.0,-18757.081967213115,-614.7868852459017,0.5524869981777697,5.0972285081346325,1.3493588169987536,103.51,100.8249,103.12,110.48,108.4,108.92
advanced energy industries inc,AEIS,2023-07-01,2023-09-30,1100871000.0,29.29796407185629,0.8708183632734531,0.5585366401383334,5.315785294080277,0.113337660322711,111.11,111.11,111.45,103.51,100.8249,103.12
advanced energy industries inc,AEIS,2023-04-01,2023-06-30,1125279000.0,29.949139009395044,0.7223272030447395,0.4229063232246461,3.8005569653626865,-0.002253341537140136,96.51,96.51,98.0,109.79,108.47,110.54
advanced energy industries inc,AEIS,2023-01-01,2023-03-31,1095913000.0,29.243842561707805,0.8251100733822548,0.4544170585866189,3.149716337896216,-0.0033972611095429628,84.87,84.325,85.78,96.9,95.91,96.58
advanced energy industries inc,AEIS,2022-10-01,2022-12-31,1066267000.0,-56119.31578947369,-2302.3684210526317,0.4647705414402801,3.0238777945415642,5.418508102316861,78.6,77.14,77.41,84.87,84.325,85.78
advanced energy industries inc,AEIS,2022-07-01,2022-09-30,989948000.0,26.484068594665455,1.9841889831188635,0.4985205579378487,2.7295723574043493,-0.004082211246422907,71.65,69.85,72.98,80.12,78.475,80.08
advanced energy industries inc,AEIS,2022-04-01,2022-06-30,924880000.0,24.65031982942431,1.1991204690831556,0.5075380416320123,2.7955200361934187,-0.007611032825700019,87.64,85.88,86.08,73.25,70.88,72.63
advanced energy industries inc,AEIS,2022-01-01,2022-03-31,901319000.0,24.003808357080082,0.9790939838610881,0.508109768942532,3.2319652169127258,-0.005141919133029423,92.26,91.97,92.28,91.46,86.95,87.23
advanced energy industries inc,AEIS,2021-10-01,2021-12-31,871496000.0,-5696.0522875817,-259.1830065359477,0.5204551707440545,3.1395098812520934,2.0789402191490187,90.94,87.74,87.74,92.26,91.97,92.28
advanced energy industries inc,AEIS,2021-07-01,2021-09-30,841791000.0,22.04622475970982,0.5500877353796192,0.5405208904754497,3.006437070087377,0.0068637289406107025,113.68,111.47,112.71,90.24,89.42,90.22
