company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
air t inc,AIRT,2023-10-01,2023-12-31,21040000.0,7.455705173635719,-1.0556343019135366,0.870747379931442,1.9939063860181692,-0.12205343111576741,23.0,22.35,22.35,16.72,16.72,16.8991
air t inc,AIRT,2023-07-01,2023-09-30,23257000.0,8.247163120567375,-0.5705673758865248,0.8646061953857708,1.936107334948874,-0.18619498591469544,25.05,23.3227,25.1,23.0,22.35,22.35
air t inc,AIRT,2023-04-01,2023-06-30,25244000.0,8.958126330731014,-0.18843151171043293,0.8651466911686148,2.2670765027322406,-0.06740055441751434,21.46,21.14,25.05,26.38,24.85,25.99
air t inc,AIRT,2023-01-01,2023-03-31,25692000.0,-3211.5,1130.0,0.8644665070003482,1.8131008306629748,87.38346169436562,24.67,24.52,24.72,22.43,22.0,22.02
air t inc,AIRT,2022-10-01,2022-12-31,34515000.0,12.17031029619182,-0.20803949224259521,0.8374701569497224,1.92944293178306,-0.23293762733113932,18.0,16.75,17.12,24.67,24.52,24.72
air t inc,AIRT,2022-07-01,2022-09-30,34192000.0,11.934380453752182,-0.4300174520069808,0.8486624294035373,2.0025556223692123,0.2691585481697484,15.8,15.78,16.46,19.0,18.01,18.11
air t inc,AIRT,2022-04-01,2022-06-30,35588000.0,12.417306350314027,-0.5,0.8330808376914237,4.663039782386943,0.06937407081525532,23.0,22.3,22.75,16.0,15.844,16.39
air t inc,AIRT,2022-01-01,2022-03-31,36478000.0,-18239.0,-2173.0,0.8242862441533919,4.149318924515482,-609.3497576736671,24.76,24.76,25.34,22.77,22.77,23.5
air t inc,AIRT,2021-10-01,2021-12-31,29180000.0,10.124913254684246,-0.43789035392088826,0.8218515714669467,5.035172088637435,0.15656583493599077,30.26,26.89,28.6799,24.76,24.76,25.34
air t inc,AIRT,2021-07-01,2021-09-30,30269000.0,10.502775850104094,2.621443442054129,0.805512898769557,5.355246580273578,0.13604498010168675,24.5,24.5,24.71,30.66,30.01,30.25
air t inc,AIRT,2021-04-01,2021-06-30,21883000.0,7.592990978487162,0.10027758501040944,0.8492075523704521,3.617161934353618,0.07801715492525692,25.88,23.76,23.77,24.7485,24.0,24.265
air t inc,AIRT,2021-01-01,2021-03-31,21312000.0,,,0.848582593250444,3.753646332375173,,20.3,19.5539,24.9,23.55,23.14,23.75
air t inc,AIRT,2020-10-02,2020-12-31,,,,,,,9.71,8.95,9.2546,19.25,18.645,20.37
air t inc,AIRT,2020-07-01,2020-09-30,25670000.0,8.907009021512838,-1.0131852879944483,0.8270227289573521,1.5235256669946178,-0.04121898107157386,11.6,11.15,11.75,9.69,9.69,9.69
air t inc,AIRT,2020-04-01,2020-06-30,30041000.0,10.423664122137405,-0.2918112421929216,0.8038459027097616,1.722464177665481,0.1396793582731197,12.52,12.51,12.51,11.75,11.75,12.0
air t inc,AIRT,2020-01-01,2020-03-31,31091000.0,797.2051282051282,15.076923076923077,0.7946799447918799,1.4537537271573229,-8.35368972123361,21.2527,20.15,20.15,12.18,12.0,12.4548
air t inc,AIRT,2019-10-01,2019-12-31,31591000.0,10.625967036663303,-0.1446350487722839,0.8005303867403315,1.5347990624222505,0.2933178714517523,15.8675,14.8792,18.78,20.75,20.75,20.75
air t inc,AIRT,2019-07-01,2019-09-30,33347000.0,11.023801652892562,1.8892561983471075,0.7662435071535221,1.7654406785701557,0.19492429752066115,17.5,17.49,17.49,14.729,14.729,14.729
