company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
allegiant travel co,ALGT,2023-10-01,2023-12-31,1328560000.0,20129.696969696968,-29.636363636363637,0.7271620175750245,0.8258056746352203,-3.174436224956857,77.79,76.4,76.86,83.77,81.78,82.61
allegiant travel co,ALGT,2023-07-01,2023-09-30,1343145000.0,75.79397325207381,-1.414479995485582,0.7265771315317193,1.089356432106469,0.06016457708866516,126.48,124.135,126.28,77.79,76.4,76.86
allegiant travel co,ALGT,2023-04-01,2023-06-30,1373561000.0,77.70328675680263,5.004751937545963,0.7155921074154796,1.1320760726403412,0.06673908669135249,90.06,89.32,91.98,127.06,124.54,124.94
allegiant travel co,ALGT,2023-01-01,2023-03-31,1271397000.0,71.56349206349206,3.160475064730384,0.728358410493415,1.1636482758744144,-0.009970531651715906,67.05,66.12,67.99,90.05,89.02,89.31
allegiant travel co,ALGT,2022-10-01,2022-12-31,1220698000.0,-46949.92307692308,-2018.2692307692307,0.7294130712298481,1.4649615844917,-25.167280112997847,74.61,72.97,72.98,67.05,66.12,67.99
allegiant travel co,ALGT,2022-07-01,2022-09-30,1188973000.0,66.00272010658377,-2.579049628067059,0.7304505319018699,1.3158636133389152,-0.028753334239755766,111.12,109.82,113.09,77.32,73.8,74.69
allegiant travel co,ALGT,2022-04-01,2022-06-30,1205462000.0,67.01851337076778,0.24228609551342636,0.7267123467795248,1.5273252192246873,0.027504462006208336,160.69,160.69,162.39,115.11,111.78,113.78
allegiant travel co,ALGT,2022-01-01,2022-03-31,1428902000.0,79.58683301771192,-0.4389551074969366,0.6780209798703117,1.5880056202545327,-0.01102332201453721,190.2,188.69,188.99,159.67,158.63,160.61
allegiant travel co,ALGT,2021-10-01,2021-12-31,1223552000.0,5910.87922705314,51.70531400966183,0.6934278075094091,2.018582449155035,1.9154333451487282,201.98,195.37,195.48,190.2,188.69,188.99
allegiant travel co,ALGT,2021-07-01,2021-09-30,1191064000.0,67.04176516942475,2.2095012946076777,0.6837955661016265,1.9064774370862647,-0.011820890865877927,191.01,191.01,194.0,205.27,201.3901,201.97
allegiant travel co,ALGT,2021-04-01,2021-06-30,1147134000.0,67.22538677918425,5.568858415377402,0.7039429572204963,1.7383448652737659,0.06980424291722932,245.7,240.58,244.06,191.52,189.57,190.5
allegiant travel co,ALGT,2021-01-01,2021-03-31,709654000.0,43.89521865528546,0.42487783757035935,0.7878590218820998,1.3466713365843144,-0.015718034497076733,185.61,182.96,189.24,243.47,243.055,247.58
allegiant travel co,ALGT,2020-10-01,2020-12-31,699363000.0,17932.384615384617,-739.4358974358975,0.7854007072884464,1.368883505356534,17.193056147524953,124.53,119.7,119.8,182.28,181.78,185.99
allegiant travel co,ALGT,2020-07-01,2020-09-30,711698000.0,44.4644508309384,-1.820754716981132,0.7791878794685726,1.2243665158953474,0.027383022666509133,110.23,106.9359,109.21,125.51,120.22,121.09
allegiant travel co,ALGT,2020-04-01,2020-06-30,736560000.0,46.318702050056594,-5.854798138598919,0.7749566219539507,1.0913231909684915,0.011026410845700345,85.53,80.15,81.8,107.79,104.02,111.63
allegiant travel co,ALGT,2020-01-01,2020-03-31,809903000.0,50.771251253761285,-2.0692703109327986,0.7462635972789934,0.9823807910698155,0.006368311283055516,175.14,173.77,174.04,86.77,80.301,84.99
allegiant travel co,ALGT,2019-10-01,2019-12-31,883551000.0,-88355.1,-6052.1,0.7065397503589574,0.9177859689446671,-39.87080447522643,150.16,148.55,149.66,177.44,174.89,175.32
allegiant travel co,ALGT,2019-07-01,2019-09-30,826608000.0,51.543804951050696,2.7392280351686726,0.7083740227484406,0.9566210835443776,-0.07797084490343031,141.0,140.2673,143.5,150.47,148.55,149.02
allegiant travel co,ALGT,2019-04-01,2019-06-30,804509000.0,50.08460437029198,4.391645396252256,0.7302296961974382,1.2850912372993297,,,,,141.0,140.2673,143.5
allegiant travel co,ALGT,2019-01-01,2019-03-31,738454000.0,46.12166635438136,3.5677971394666166,0.7315178421779204,1.065396372974272,,,,,,,
allegiant travel co,ALGT,2018-10-01,2018-12-31,690321000.0,57526.75,3453.8333333333335,0.7237244003605121,0.9635250079767158,,,,,,,
allegiant travel co,ALGT,2018-07-01,2018-09-30,652996000.0,40.92222848906436,0.949238578680203,0.7367477055990841,0.5263201476294124,,,,,,,
allegiant travel co,ALGT,2018-04-01,2018-06-30,644668000.0,40.44595018508062,3.1379634857895726,0.7227836534430157,0.8727685731060187,,,,,,,
allegiant travel co,ALGT,2018-01-01,2018-03-31,599804000.0,37.74963811441878,3.473661023349487,0.7379584222563473,0.921431271306109,,,,,,,
allegiant travel co,ALGT,2017-10-01,2017-12-31,547947000.0,-7941.260869565217,-1195.6811594202898,0.7486662657781068,0.9838143880184667,,,,,,,
allegiant travel co,ALGT,2017-07-01,2017-09-30,473826000.0,29.890613171839515,1.4063209689629068,0.7589863945163003,1.0488530883996696,,,,,,,
allegiant travel co,ALGT,2017-04-01,2017-06-30,459486000.0,28.36683541177923,2.9926534140017287,0.7502789406721859,0.8837591550636973,,,,,,,
