company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"auburn national bancorporation, inc",AUBN,2023-10-01,2023-12-31,76507000.0,-51415.99462365591,2678.0913978494623,0.9215517992730107,1.0851261977773525,,,,,21.0001,20.51,21.28
"auburn national bancorporation, inc",AUBN,2023-07-01,2023-09-30,61451000.0,17.57545094097919,0.42557925827369836,0.9403807420803241,1.06339906300908,0.15924952810233176,22.2,21.26,21.26,,,
"auburn national bancorporation, inc",AUBN,2023-04-01,2023-06-30,70976000.0,20.278486336249852,0.5508470702250016,0.9308313761414245,-14.45742222723174,0.12987005165749166,22.62,22.62,22.66,21.0,21.0,22.1
"auburn national bancorporation, inc",AUBN,2023-01-01,2023-03-31,73640000.0,21.027125391510285,0.5607994876280038,0.927644029060296,-13.82055947854427,-0.15341483821602545,22.8,22.45,23.0,22.85,22.75,23.6
"auburn national bancorporation, inc",AUBN,2022-10-01,2022-12-31,68041000.0,-30941.791723510687,-2030.9231468849478,0.9335464425796571,1.0711839865585182,554.1396959933431,23.5,22.9518,23.02,22.8,22.45,23.0
"auburn national bancorporation, inc",AUBN,2022-07-01,2022-09-30,59793000.0,17.0480692084379,0.5696660525221836,0.9426478501456512,1.0608415431547287,-0.28883524021404305,27.0,26.6,27.04,23.6,23.0,23.2975
"auburn national bancorporation, inc",AUBN,2022-04-01,2022-06-30,76107000.0,,,0.9298068436183134,-14.246403090385904,,33.2,33.2,33.21,27.25,26.86,27.4
"auburn national bancorporation, inc",AUBN,2022-01-01,2022-03-31,86411000.0,,,0.9221286803933443,-12.841698394880282,,31.75,31.61,32.1805,34.55,33.08,33.65
"auburn national bancorporation, inc",AUBN,2021-10-01,2021-12-31,103726000.0,,,0.9061430575035063,1.103578504210005,,34.0,33.75,33.8,31.75,31.61,32.1805
"auburn national bancorporation, inc",AUBN,2021-07-01,2021-09-30,104929000.0,,,0.9015556291521206,1.109193895157044,,35.55,35.45,35.46,,,
"auburn national bancorporation, inc",AUBN,2021-04-01,2021-06-30,106043000.0,,,0.8976648086528886,-9.771809548956556,,39.97,38.2,38.37,35.25,35.25,35.34
