company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
crossamerica partners lp,CAPL,2023-10-01,2023-12-31,30751000.0,7022.379538707468,3823.475679378854,0.973976924417906,0.6736480111238019,-284.77918586889894,21.85,21.04,21.69,22.82,22.6482,22.8
crossamerica partners lp,CAPL,2023-07-01,2023-09-30,49313000.0,1.2988564595174152,0.3237593251351179,0.9594874251064099,0.6956156142598351,-0.027459837104951118,19.74,19.5624,19.7,21.85,21.04,21.69
crossamerica partners lp,CAPL,2023-04-01,2023-06-30,55597000.0,1.4648927158494927,0.38300053092052133,0.9543379257951256,0.6817976314197977,-0.04675656999082219,21.1,20.97,21.49,19.52,19.4506,19.63
crossamerica partners lp,CAPL,2023-01-01,2023-03-31,55584000.0,-8859.419827861013,156.04080331526936,0.9545785498378331,0.7078947034248054,117.99526091847606,19.85,19.77,19.83,21.0,20.9001,20.94
crossamerica partners lp,CAPL,2022-10-01,2022-12-31,79133000.0,,,0.9369256128257817,0.6754516568833822,,18.65,18.5,18.69,19.85,19.77,19.83
crossamerica partners lp,CAPL,2022-07-01,2022-09-30,82662000.0,,,0.9336867387917577,0.69563095224582,,20.28,20.1892,20.25,18.65,18.35,18.65
crossamerica partners lp,CAPL,2022-03-31,2022-06-30,,,,,,,22.0,21.74,21.8,20.81,20.2602,20.58
crossamerica partners lp,CAPL,2022-01-01,2022-03-31,74809000.0,,,0.9415913353206546,0.7291706194858173,,19.05,18.9575,19.06,22.0,21.74,21.8
crossamerica partners lp,CAPL,2021-10-01,2021-12-31,56558000.0,,,0.9554711205518753,0.6486972969674781,,19.98,19.85,19.89,19.05,18.9575,19.06
crossamerica partners lp,CAPL,2021-07-01,2021-09-30,61549000.0,,,0.9519150315819079,0.5868497009598096,,18.87,18.8656,19.06,19.97,19.9131,20.11
crossamerica partners lp,CAPL,2021-04-01,2021-06-30,72139000.0,,,0.9281878172437238,0.5204705582299869,,19.29,18.55,18.58,18.56,18.56,18.74
crossamerica partners lp,CAPL,2021-01-01,2021-03-31,87406000.0,,,0.9134540075272022,0.5343624444914358,,17.1,16.95,17.17,19.39,19.16,19.29
crossamerica partners lp,CAPL,2020-10-01,2020-12-31,109668000.0,,,0.8918826194715392,0.5091665078803386,,14.945,14.71,14.87,17.34,17.0,17.13
crossamerica partners lp,CAPL,2020-07-01,2020-09-30,120075000.0,,,0.8834464329221239,0.5757850635620873,,13.62,13.41,13.46,14.86,14.75,15.1699
crossamerica partners lp,CAPL,2020-04-01,2020-06-30,118514000.0,,,0.8839985905291389,0.5302956827601368,,8.75,7.64,8.06,13.32,13.1956,13.59
crossamerica partners lp,CAPL,2020-01-01,2020-03-31,131417000.0,,,0.8620832598712104,0.6483502272975957,,18.0,17.9285,18.05,9.62,8.5864,8.69
crossamerica partners lp,CAPL,2019-10-01,2019-12-31,78397000.0,,,0.9133979780305239,0.5637185269363258,,17.26,17.06,17.06,18.03,17.96,18.0
crossamerica partners lp,CAPL,2019-07-01,2019-09-30,91792000.0,,,0.9001241484515173,0.43239544895448956,,15.7,15.7,16.05,16.94,16.94,17.24
crossamerica partners lp,CAPL,2019-04-01,2019-06-30,103665000.0,,,0.8883788690264687,0.43947593512517685,,,,,15.7,15.7,16.05
crossamerica partners lp,CAPL,2019-01-01,2019-03-31,121809000.0,,,0.8726726318650304,0.5246804223982214,,,,,,,
crossamerica partners lp,CAPL,2018-10-01,2018-12-31,110933000.0,,,0.8720380841644346,0.5750497467438495,,,,,,,
crossamerica partners lp,CAPL,2018-07-01,2018-09-30,116912000.0,,,0.8698784506774196,0.7113484758929325,,,,,,,
crossamerica partners lp,CAPL,2018-04-01,2018-06-30,129630000.0,,,0.8591553886672404,0.7729838554309714,,,,,,,
crossamerica partners lp,CAPL,2018-01-01,2018-03-31,150817000.0,,,0.837718458197845,0.8107822410147991,,,,,,,
crossamerica partners lp,CAPL,2017-10-01,2017-12-31,171019000.0,,,0.8194547082247718,0.8612754485252426,,,,,,,
crossamerica partners lp,CAPL,2017-07-01,2017-09-30,169275000.0,,,0.8070915988690457,0.7045292297929722,,,,,,,
crossamerica partners lp,CAPL,2017-04-01,2017-06-30,183661000.0,,,0.7972073374194923,0.7345024663251755,,,,,,,
crossamerica partners lp,CAPL,2017-01-01,2017-03-31,206203000.0,,,0.7752173666585273,0.8500454959053685,,,,,,,
crossamerica partners lp,CAPL,2016-10-01,2016-12-31,220811000.0,,,0.7630755298614039,0.8705495587824258,,,,,,,
crossamerica partners lp,CAPL,2016-07-01,2016-09-30,236565000.0,,,0.7467037708818283,0.8738349847934858,,,,,,,
crossamerica partners lp,CAPL,2016-04-01,2016-06-30,234019000.0,,,0.7392435557160081,0.8872957226090664,,,,,,,
crossamerica partners lp,CAPL,2016-01-01,2016-03-31,249723000.0,,,0.723185435374685,0.826058669596773,,,,,,,
crossamerica partners lp,CAPL,2015-10-01,2015-12-31,268856000.0,,,0.6848459841471163,0.7377775801239289,,,,,,,
crossamerica partners lp,CAPL,2015-07-01,2015-09-30,284974000.0,,,0.6771875371692995,0.8193880628175091,,,,,,,
crossamerica partners lp,CAPL,2015-04-01,2015-06-30,302447000.0,,,0.5900569005852709,0.8730985718937526,,,,,,,
crossamerica partners lp,CAPL,2015-01-01,2015-03-31,177552000.0,,,0.7613262876876401,0.8653861489911936,,,,,,,
