company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
crown holdings inc,CCK,2023-10-01,2023-12-31,2864000000.0,286400.0,3200.0,0.8094984701343622,1.1504403713401572,169.0929451287794,89.3,88.3,88.48,92.78,92.08,92.09
crown holdings inc,CCK,2023-07-01,2023-09-30,2828000000.0,23.665271966527197,1.3305439330543933,0.8025277564415892,1.1250947687642152,-0.013073811761143384,87.05,85.78,86.87,89.3,88.3,88.48
crown holdings inc,CCK,2023-04-01,2023-06-30,17284000000.0,144.7571189279732,1.5661641541038527,-0.18635458850984968,1.297692740574001,-0.016444008661192142,82.0,81.48,82.71,84.67,84.1,86.66
crown holdings inc,CCK,2023-01-01,2023-03-31,16894000000.0,141.7281879194631,1.023489932885906,-0.17221759644740495,1.3036912751677852,0.02680471435586839,82.0,81.6,82.21,81.35,80.76,81.51
crown holdings inc,CCK,2022-10-01,2022-12-31,2287000000.0,-4235.185185185185,-164.8148148148148,0.8400811132088665,1.1848931841302137,5.897471201064757,80.7,80.555,81.03,82.0,81.6,82.21
crown holdings inc,CCK,2022-07-01,2022-09-30,2135000000.0,17.83625730994152,1.0609857978279031,0.8499015748031497,1.238653366583541,0.02455518286244678,91.86,91.26,92.17,81.15,79.22,80.29
crown holdings inc,CCK,2022-04-01,2022-06-30,16589000000.0,137.099173553719,2.71900826446281,-0.15209389540940343,0.9523898431665422,-0.02320461558548671,127.86,125.05,125.09,95.21,92.16,93.24
crown holdings inc,CCK,2022-01-01,2022-03-31,16690000000.0,135.03236245954693,1.9902912621359223,-0.15661815661815662,0.991382687034861,0.023644276935913845,109.84,108.27,109.37,127.45,125.98,127.47
crown holdings inc,CCK,2021-10-01,2021-12-31,2330000000.0,,,0.8318660701399914,1.0875877086861843,,101.02,100.73,100.78,109.84,108.27,109.37
crown holdings inc,CCK,2021-04-01,2021-06-30,2724000000.0,20.46581517655898,0.9616829451540195,0.836837376460018,1.573992024811697,-0.02850055115264206,97.01,96.26,97.04,101.9,101.825,102.15
crown holdings inc,CCK,2021-01-01,2021-03-31,18988000000.0,142.125748502994,1.8338323353293413,-0.17354758961681088,1.2255058572949946,-0.004141616164050169,99.4,98.52,100.2,98.15,96.74,97.05
crown holdings inc,CCK,2020-10-01,2020-12-31,2604000000.0,19.50561797752809,1.1310861423220975,0.8437912417516497,1.145975123210514,-0.02587354961668092,76.72,76.28,76.86,99.0,98.16,99.84
crown holdings inc,CCK,2020-07-01,2020-09-30,2318000000.0,17.38934733683421,1.6054013503375844,0.8516859683920917,1.194812362030905,-0.019714311790190554,64.69,64.39,65.13,76.61,75.66,76.36
crown holdings inc,CCK,2020-04-01,2020-06-30,17486000000.0,131.17779444861216,0.9452363090772693,-0.14549623321323288,1.1525964606904555,-0.08771580998198246,58.67,57.165,58.04,64.21,63.76,64.95
crown holdings inc,CCK,2020-01-01,2020-03-31,17586000000.0,131.14093959731542,0.6562266964951529,-0.13217021824502673,1.3125386040765905,0.09055736208252363,72.63,72.14,72.54,57.86,56.27,58.52
crown holdings inc,CCK,2019-10-01,2019-12-31,2092000000.0,15.611940298507463,0.6492537313432836,0.8650757820058046,1.0264170300076942,-0.06097739665965596,66.21,65.71,66.06,73.33,72.54,72.71
crown holdings inc,CCK,2019-07-01,2019-09-30,2021000000.0,15.093353248693054,1.3666915608663182,0.8682271630697007,1.123898678414097,-0.043177838723241345,59.5,59.475,61.1,66.27,65.41,66.01
crown holdings inc,CCK,2019-04-01,2019-06-30,17265000000.0,128.9395070948469,1.0231516056758776,-0.1092194025056216,1.167960088691796,,,,,59.5,59.475,61.1
crown holdings inc,CCK,2019-01-01,2019-03-31,16859000000.0,126.0014947683109,0.7698056801195815,-0.09780556098196262,1.2040694195092758,,,,,,,
crown holdings inc,CCK,2018-10-01,2018-12-31,1286000000.0,9.61854899027674,0.39640987284966345,0.9157384353295768,1.0424226935854843,,,,,,,
crown holdings inc,CCK,2018-07-01,2018-09-30,1310000000.0,9.798055347793568,1.2266267763649963,0.9145745027714379,1.1380172174396002,,,,,,,
crown holdings inc,CCK,2018-04-01,2018-06-30,1137000000.0,8.510479041916168,0.9880239520958084,0.9259765625,1.1773873618588835,,,,,,,
crown holdings inc,CCK,2018-01-01,2018-03-31,1112000000.0,8.329588014981274,0.6741573033707865,0.9149782093432219,1.8388675288360714,,,,,,,
crown holdings inc,CCK,2017-10-01,2017-12-31,923000000.0,-1513.1147540983607,145.9016393442623,0.9134389946544125,0.9458461538461539,,,,,,,
crown holdings inc,CCK,2017-07-01,2017-09-30,1112000000.0,8.298507462686567,1.3208955223880596,0.8940548780487805,1.0381955877510702,,,,,,,
crown holdings inc,CCK,2017-04-01,2017-06-30,935000000.0,6.9105691056910565,0.9460458240946046,0.9089226573154101,1.080887616320687,,,,,,,
crown holdings inc,CCK,2017-01-01,2017-03-31,859000000.0,6.20216606498195,0.7725631768953068,0.912968591691996,1.1570512820512822,,,,,,,
crown holdings inc,CCK,2016-10-01,2016-12-31,668000000.0,5138.461538461538,500.0,0.9304094176476716,0.9810082872928176,,,,,,,
crown holdings inc,CCK,2016-07-01,2016-09-30,779000000.0,5.616438356164384,1.3193943763518385,0.9218106995884774,1.104755094744369,,,,,,,
crown holdings inc,CCK,2016-04-01,2016-06-30,623000000.0,4.498194945848375,1.220216606498195,0.9362725040916531,1.0463388751326494,,,,,,,
crown holdings inc,CCK,2016-01-01,2016-03-31,553000000.0,4.0043446777697325,0.5720492396813903,0.9443661971830986,1.0684326710816776,,,,,,,
crown holdings inc,CCK,2015-10-01,2015-12-31,435000000.0,10875.0,1650.0,0.9565868263473054,1.0484869325997248,,,,,,,
crown holdings inc,CCK,2015-07-01,2015-09-30,433000000.0,3.1354091238233166,1.0209992758870383,0.9576693713950533,1.1948717948717948,,,,,,,
crown holdings inc,CCK,2015-04-01,2015-06-30,404000000.0,2.9296591733139956,1.0297316896301667,0.9610000965344145,1.1650201244054152,,,,,,,
crown holdings inc,CCK,2015-01-01,2015-03-31,248000000.0,1.8010167029774873,0.31953522149600583,0.9755520504731862,1.1775736701109836,,,,,,,
crown holdings inc,CCK,2014-10-01,2014-12-31,387000000.0,,,0.9601359703337453,1.238550922761449,,,,,,,
crown holdings inc,CCK,2014-07-01,2014-09-30,548000000.0,3.988355167394469,1.7758369723435226,0.9441784659264542,1.304410701373825,,,,,,,
crown holdings inc,CCK,2014-04-01,2014-06-30,412000000.0,3.002915451895044,0.7725947521865889,0.9583628094997474,1.223938223938224,,,,,,,
crown holdings inc,CCK,2014-01-01,2014-03-31,258000000.0,1.8859649122807018,0.17543859649122806,0.967279644895371,1.2022647403358064,,,,,,,
crown holdings inc,CCK,2013-10-01,2013-12-31,289000000.0,-289.0,-49.0,0.9640099626400996,1.0890410958904109,,,,,,,
crown holdings inc,CCK,2013-07-01,2013-09-30,175000000.0,1.269956458635704,0.7329462989840348,0.9782121513944223,1.1970479704797048,,,,,,,
crown holdings inc,CCK,2013-04-01,2013-06-30,125000000.0,0.8852691218130312,0.9419263456090652,0.9841148811793112,1.2056252375522616,,,,,,,
crown holdings inc,CCK,2013-01-01,2013-03-31,164000000.0,1.1508771929824562,0.28771929824561404,0.9787040644072198,1.300085984522786,,,,,,,
crown holdings inc,CCK,2012-10-01,2012-12-31,123000000.0,0.8601398601398601,0.20279720279720279,0.9835781041388518,1.0921366163621922,,,,,,,
crown holdings inc,CCK,2012-07-01,2012-09-30,227000000.0,1.5601374570446735,2.2336769759450172,0.9701708278580815,1.28493265993266,,,,,,,
crown holdings inc,CCK,2012-04-01,2012-06-30,11000000.0,0.07432432432432433,0.9054054054054054,0.9984772978959026,1.2775581906016689,,,,,,,
crown holdings inc,CCK,2012-01-01,2012-03-31,-82000000.0,-0.5548037889039242,0.4668470906630582,1.0114237949289495,1.349259436215958,,,,,,,
crown holdings inc,CCK,2011-10-01,2011-12-31,-239000000.0,-1.595460614152203,0.0534045393858478,1.0347990681421084,1.139168490153173,,,,,,,
crown holdings inc,CCK,2011-07-01,2011-09-30,180000000.0,1.1992005329780147,0.8594270486342438,0.9763126727200947,1.387489504617968,,,,,,,
crown holdings inc,CCK,2011-04-01,2011-06-30,271000000.0,1.7793827971109653,0.8470124753775443,0.9663729991314058,1.3280442804428045,,,,,,,
crown holdings inc,CCK,2011-01-01,2011-03-31,339000000.0,2.1927554980595083,0.1034928848641656,0.9546548956661316,1.1885404568331397,,,,,,,
